csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/none,csv-train_loss_epoch,csv-accuracy/micro
0,4.100342750549316,0,,,,,
0,3.554145097732544,1,,,,,
0,3.1932733058929443,2,,,,,
0,3.1485629081726074,3,,,,,
0,2.781489849090576,4,,,,,
0,2.8276479244232178,5,,,,,
0,2.730461597442627,6,,,,,
0,2.476099967956543,7,,,,,
0,2.4886910915374756,8,,,,,
0,2.3427417278289795,9,,,,,
,,0,1.8281058073043823,,,,
,,1,1.764359951019287,,,,
0,,9,,1.8153566122055054,,,
0,,9,,,0.0,2.964345693588257,0.0
1,2.2067105770111084,10,,,,,
1,2.228317975997925,11,,,,,
1,2.1212542057037354,12,,,,,
1,2.008439064025879,13,,,,,
1,1.9160643815994263,14,,,,,
1,1.8895697593688965,15,,,,,
1,1.8887898921966553,16,,,,,
1,1.7794134616851807,17,,,,,
1,1.7463152408599854,18,,,,,
1,1.6809598207473755,19,,,,,
,,2,1.3540912866592407,,,,
,,3,1.2541658878326416,,,,
1,,19,,1.334106206893921,,,
1,,19,,,0.0,1.9465835094451904,0.0
2,1.6498165130615234,20,,,,,
2,1.51144278049469,21,,,,,
2,1.574238657951355,22,,,,,
2,1.5588033199310303,23,,,,,
2,1.4100393056869507,24,,,,,
2,1.5035674571990967,25,,,,,
2,1.460642695426941,26,,,,,
2,1.4659839868545532,27,,,,,
2,1.3291208744049072,28,,,,,
2,1.2607961893081665,29,,,,,
,,4,1.057222604751587,,,,
,,5,0.9593300819396973,,,,
2,,29,,1.0376441478729248,,,
2,,29,,,0.0,1.4724451303482056,0.0078125
3,1.3068068027496338,30,,,,,
3,1.2137253284454346,31,,,,,
3,1.258643627166748,32,,,,,
3,1.2179595232009888,33,,,,,
3,1.3217403888702393,34,,,,,
3,1.2271713018417358,35,,,,,
3,1.2241894006729126,36,,,,,
3,1.1933693885803223,37,,,,,
3,1.0934693813323975,38,,,,,
3,1.1201292276382446,39,,,,,
,,6,0.8093624711036682,,,,
,,7,0.7041756510734558,,,,
3,,39,,0.7883250713348389,,,
3,,39,,,0.0,1.21772038936615,0.046875
4,1.1288268566131592,40,,,,,
4,1.1104390621185303,41,,,,,
4,1.1261179447174072,42,,,,,
4,1.012859582901001,43,,,,,
4,0.9643686413764954,44,,,,,
4,0.9724021553993225,45,,,,,
4,0.9708315134048462,46,,,,,
4,0.9785282015800476,47,,,,,
4,0.9793119430541992,48,,,,,
4,1.0243353843688965,49,,,,,
,,8,0.7004494667053223,,,,
,,9,0.5759949684143066,,,,
4,,49,,0.6755585670471191,,,
4,,49,,,0.0,1.0268021821975708,0.0546875
5,0.9433869123458862,50,,,,,
5,0.8974528908729553,51,,,,,
5,0.8963313102722168,52,,,,,
5,0.8620470762252808,53,,,,,
5,0.9109060168266296,54,,,,,
5,0.9064756035804749,55,,,,,
5,0.8593496084213257,56,,,,,
5,0.8362897634506226,57,,,,,
5,0.9496434926986694,58,,,,,
5,0.8681949377059937,59,,,,,
,,10,0.5955555438995361,,,,
,,11,0.49114903807640076,,,,
5,,59,,0.5746742486953735,,,
5,,59,,,0.0,0.893007755279541,0.0625
6,0.8852426409721375,60,,,,,
6,0.8204585313796997,61,,,,,
6,0.7970332503318787,62,,,,,
6,0.8128844499588013,63,,,,,
6,0.7538018822669983,64,,,,,
6,0.7439957857131958,65,,,,,
6,0.7956045866012573,66,,,,,
6,0.7292263507843018,67,,,,,
6,0.7153566479682922,68,,,,,
6,0.6328991651535034,69,,,,,
,,12,0.5273071527481079,,,,
,,13,0.4010603129863739,,,,
6,,69,,0.5020577311515808,,,
6,,69,,,0.015625,0.7686503529548645,0.0859375
7,0.6814293265342712,70,,,,,
7,0.7221291065216064,71,,,,,
7,0.6541340351104736,72,,,,,
7,0.7377310991287231,73,,,,,
7,0.6860975027084351,74,,,,,
7,0.6363289952278137,75,,,,,
7,0.673157274723053,76,,,,,
7,0.6671483516693115,77,,,,,
7,0.592807412147522,78,,,,,
7,0.5818209648132324,79,,,,,
,,14,0.39534902572631836,,,,
,,15,0.2515183389186859,,,,
7,,79,,0.3665829300880432,,,
7,,79,,,0.265625,0.6632784008979797,0.40625
8,0.6146986484527588,80,,,,,
8,0.5254960656166077,81,,,,,
8,0.5497140884399414,82,,,,,
8,0.5274010300636292,83,,,,,
8,0.6033309102058411,84,,,,,
8,0.6433767080307007,85,,,,,
8,0.5551844835281372,86,,,,,
8,0.5714848637580872,87,,,,,
8,0.5684101581573486,88,,,,,
8,0.5741464495658875,89,,,,,
,,16,0.3168424367904663,,,,
,,17,0.18074682354927063,,,,
