csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-accuracy/validator,csv-train_loss_epoch
0,4.223328590393066,0,,,,,
0,3.2529757022857666,1,,,,,
0,3.0811829566955566,2,,,,,
0,3.0322844982147217,3,,,,,
0,2.7328667640686035,4,,,,,
,,0,2.1683366298675537,,,,
,,1,1.8149011135101318,,,,
,,2,2.354397773742676,,,,
,,3,1.805461049079895,,,,
,,4,1.9724165201187134,,,,
0,,4,,2.0231027603149414,,,
0,,4,,,0.0,0.0,3.2749664783477783
1,2.583622455596924,5,,,,,
1,2.6504502296447754,6,,,,,
1,2.6951653957366943,7,,,,,
1,2.199526309967041,8,,,,,
1,2.482628583908081,9,,,,,
,,5,1.834963083267212,,,,
,,6,1.5850234031677246,,,,
,,7,2.0742995738983154,,,,
,,8,1.576159119606018,,,,
,,9,1.709944486618042,,,,
1,,9,,1.7560780048370361,,,
1,,9,,,0.0,0.0,2.5038187503814697
2,2.198064088821411,10,,,,,
2,2.2880685329437256,11,,,,,
2,2.2073090076446533,12,,,,,
2,2.012047290802002,13,,,,,
2,1.7903759479522705,14,,,,,
,,10,1.564273715019226,,,,
,,11,1.3867168426513672,,,,
,,12,1.8142560720443726,,,,
,,13,1.35780668258667,,,,
,,14,1.4861551523208618,,,,
2,,14,,1.5218417644500732,,,
2,,14,,,0.0,0.0,2.043807029724121
3,2.0451440811157227,15,,,,,
3,1.8106492757797241,16,,,,,
3,1.7605571746826172,17,,,,,
3,1.614263892173767,18,,,,,
3,1.7587547302246094,19,,,,,
,,15,1.3037910461425781,,,,
,,16,1.1710575819015503,,,,
,,17,1.587195634841919,,,,
,,18,1.1333428621292114,,,,
,,19,1.2705409526824951,,,,
3,,19,,1.2931855916976929,,,
3,,19,,,0.0,0.0,1.758571982383728
4,1.580024003982544,20,,,,,
4,1.5131186246871948,21,,,,,
4,1.736729383468628,22,,,,,
4,1.4087169170379639,23,,,,,
4,1.4344556331634521,24,,,,,
,,20,1.1702187061309814,,,,
,,21,1.0547146797180176,,,,
,,22,1.4508222341537476,,,,
,,23,1.0265733003616333,,,,
,,24,1.1563893556594849,,,,
4,,24,,1.171743631362915,,,
4,,24,,,0.0,0.0,1.5572426319122314
5,1.4236969947814941,25,,,,,
5,1.5203334093093872,26,,,,,
5,1.3868896961212158,27,,,,,
5,1.3198986053466797,28,,,,,
5,1.268255591392517,29,,,,,
,,25,1.0454185009002686,,,,
,,26,0.9413439035415649,,,,
,,27,1.309659719467163,,,,
,,28,0.9171769618988037,,,,
,,29,1.0410280227661133,,,,
5,,29,,1.0509254932403564,,,
5,,29,,,0.0,0.0,1.3982820510864258
6,1.338740348815918,30,,,,,
6,1.3800498247146606,31,,,,,
6,1.1668920516967773,32,,,,,
