csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
1,67,0.3790905773639679,,,,,
1,68,0.38432496786117554,,,,,
1,69,0.3724467158317566,,,,,
1,70,0.3602946698665619,,,,,
1,71,0.3241741359233856,,,,,
1,72,0.35458406805992126,,,,,
1,73,0.3134757876396179,,,,,
1,74,0.34014150500297546,,,,,
1,75,0.3351331651210785,,,,,
1,76,0.32583552598953247,,,,,
1,77,0.30800682306289673,,,,,
1,78,0.31727465987205505,,,,,
1,79,0.31642812490463257,,,,,
,5,,0.23619306087493896,,,,
,6,,0.2356654852628708,,,,
,7,,0.2407221645116806,,,,
,8,,0.24279353022575378,,,,
,9,,0.22979320585727692,,,,
1,79,,,0.23703348636627197,,,
1,79,,,,0.4524253010749817,0.996874988079071,0.04374999925494194
2,80,0.33104246854782104,,,,,
2,81,0.348294198513031,,,,,
2,82,0.3308037221431732,,,,,
2,83,0.3370194137096405,,,,,
2,84,0.3345855474472046,,,,,
2,85,0.31684526801109314,,,,,
2,86,0.2791094183921814,,,,,
2,87,0.30355459451675415,,,,,
2,88,0.28915008902549744,,,,,
2,89,0.3085293769836426,,,,,
2,90,0.28931668400764465,,,,,
2,91,0.30515986680984497,,,,,
2,92,0.3190884590148926,,,,,
2,93,0.3000205457210541,,,,,
2,94,0.2969675660133362,,,,,
2,95,0.2920094430446625,,,,,
2,96,0.3041003346443176,,,,,
2,97,0.334687203168869,,,,,
2,98,0.3071758449077606,,,,,
2,99,0.31682679057121277,,,,,
2,100,0.2972937226295471,,,,,
2,101,0.2971099317073822,,,,,
2,102,0.29872754216194153,,,,,
2,103,0.3368646800518036,,,,,
2,104,0.2944916784763336,,,,,
2,105,0.3201535940170288,,,,,
2,106,0.28845036029815674,,,,,
2,107,0.29385051131248474,,,,,
2,108,0.28558146953582764,,,,,
2,109,0.2902645468711853,,,,,
2,110,0.3010517656803131,,,,,
2,111,0.2927476167678833,,,,,
2,112,0.2963104844093323,,,,,
2,113,0.28684645891189575,,,,,
2,114,0.32495877146720886,,,,,
2,115,0.3073095679283142,,,,,
2,116,0.2831531763076782,,,,,
2,117,0.2797677218914032,,,,,
2,118,0.281200647354126,,,,,
2,119,0.29273509979248047,,,,,
,10,,0.23348155617713928,,,,
,11,,0.23138956725597382,,,,
,12,,0.23564621806144714,,,,
,13,,0.23874105513095856,,,,
,14,,0.22673377394676208,,,,
2,119,,,0.23319843411445618,,,
2,119,,,,0.304828941822052,0.996874988079071,0.012500000186264515
3,120,0.26961180567741394,,,,,
3,121,0.2728711664676666,,,,,
3,122,0.2595793604850769,,,,,
3,123,0.27236324548721313,,,,,
3,124,0.2568508982658386,,,,,
3,125,0.26502442359924316,,,,,
3,126,0.30336087942123413,,,,,
3,127,0.2559453547000885,,,,,
3,128,0.27608269453048706,,,,,
3,129,0.2882346510887146,,,,,
3,130,0.28003400564193726,,,,,
3,131,0.2672897279262543,,,,,
3,132,0.23298008739948273,,,,,
3,133,0.2716263234615326,,,,,
3,134,0.2814752459526062,,,,,
3,135,0.28535735607147217,,,,,
3,136,0.29772353172302246,,,,,
3,137,0.27661794424057007,,,,,
3,138,0.2688756287097931,,,,,
3,139,0.2920261323451996,,,,,
3,140,0.26967135071754456,,,,,
3,141,0.28406116366386414,,,,,
3,142,0.28142020106315613,,,,,
3,143,0.2809506356716156,,,,,
3,144,0.27735239267349243,,,,,
3,145,0.27830538153648376,,,,,
3,146,0.2773336172103882,,,,,
3,147,0.28981661796569824,,,,,
3,148,0.26512405276298523,,,,,
3,149,0.2786315083503723,,,,,
3,150,0.2505098879337311,,,,,
3,151,0.27141156792640686,,,,,
3,152,0.28231003880500793,,,,,
3,153,0.29121413826942444,,,,,
3,154,0.25608348846435547,,,,,
3,155,0.2642802298069,,,,,
3,156,0.25878986716270447,,,,,
3,157,0.2535490393638611,,,,,
3,158,0.27460286021232605,,,,,
3,159,0.27913910150527954,,,,,
,15,,0.23041576147079468,,,,
,16,,0.22683590650558472,,,,
,17,,0.2328415960073471,,,,
,18,,0.23350423574447632,,,,
,19,,0.22234371304512024,,,,
3,159,,,0.2291882485151291,,,
3,159,,,,0.2734621465206146,0.996874988079071,0.02187499962747097
4,160,0.2724452018737793,,,,,
4,161,0.26692742109298706,,,,,
4,162,0.2639884054660797,,,,,
4,163,0.27432286739349365,,,,,
4,164,0.2772102355957031,,,,,
4,165,0.2683027982711792,,,,,
4,166,0.2546490430831909,,,,,
4,167,0.25807005167007446,,,,,
4,168,0.26452159881591797,,,,,
4,169,0.251119464635849,,,,,
4,170,0.2684255540370941,,,,,
4,171,0.284633070230484,,,,,
4,172,0.25397413969039917,,,,,
4,173,0.2574833631515503,,,,,
4,174,0.2564401626586914,,,,,
4,175,0.2571621239185333,,,,,
4,176,0.2753138840198517,,,,,
4,177,0.2663767337799072,,,,,
4,178,0.26465415954589844,,,,,
4,179,0.28608959913253784,,,,,
4,180,0.2483220398426056,,,,,
4,181,0.2457985132932663,,,,,
4,182,0.23813824355602264,,,,,
4,183,0.2547670304775238,,,,,
4,184,0.2713739573955536,,,,,
4,185,0.2860179543495178,,,,,
4,186,0.2836061716079712,,,,,
4,187,0.26689428091049194,,,,,
4,188,0.2634892463684082,,,,,
4,189,0.2640100121498108,,,,,
4,190,0.24441474676132202,,,,,
4,191,0.27395594120025635,,,,,
4,192,0.27368319034576416,,,,,
4,193,0.2883204519748688,,,,,
4,194,0.251740038394928,,,,,
4,195,0.28325948119163513,,,,,
4,196,0.2651006579399109,,,,,
4,197,0.25610777735710144,,,,,
4,198,0.2626761794090271,,,,,
4,199,0.2782387435436249,,,,,
,20,,0.22933031618595123,,,,
,21,,0.2252742350101471,,,,
,22,,0.22993747889995575,,,,
,23,,0.2308139204978943,,,,
,24,,0.22042864561080933,,,,
4,199,,,0.22715690732002258,,,
4,199,,,,0.2655506432056427,0.996874988079071,0.08437500149011612
5,200,0.2658555507659912,,,,,
5,201,0.26246508955955505,,,,,
5,202,0.23235586285591125,,,,,
5,203,0.2646039128303528,,,,,
5,204,0.26089897751808167,,,,,
5,205,0.2602781057357788,,,,,
5,206,0.296549528837204,,,,,
5,207,0.27299049496650696,,,,,
5,208,0.2323765754699707,,,,,
5,209,0.2612820863723755,,,,,
5,210,0.25328436493873596,,,,,
5,211,0.2597610652446747,,,,,
5,212,0.2395777702331543,,,,,
5,213,0.25004860758781433,,,,,
5,214,0.25363126397132874,,,,,
5,215,0.22781775891780853,,,,,
5,216,0.2600806951522827,,,,,
5,217,0.24880005419254303,,,,,
5,218,0.26812922954559326,,,,,
5,219,0.2514747381210327,,,,,
5,220,0.2618403732776642,,,,,
5,221,0.2510431110858917,,,,,
5,222,0.2578335106372833,,,,,
5,223,0.26534268260002136,,,,,
5,224,0.24544505774974823,,,,,
5,225,0.2522119879722595,,,,,
5,226,0.25105148553848267,,,,,
5,227,0.25949034094810486,,,,,
5,228,0.2723168134689331,,,,,
5,229,0.21578222513198853,,,,,
5,230,0.24930961430072784,,,,,
5,231,0.27377715706825256,,,,,
5,232,0.23254700005054474,,,,,
5,233,0.25397488474845886,,,,,
5,234,0.25533202290534973,,,,,
5,235,0.25934502482414246,,,,,
5,236,0.24981606006622314,,,,,
5,237,0.2539212107658386,,,,,
5,238,0.26201170682907104,,,,,
5,239,0.23640337586402893,,,,,
,25,,0.22868864238262177,,,,
,26,,0.22361479699611664,,,,
,27,,0.2284248173236847,,,,
,28,,0.2296353280544281,,,,
,29,,0.2199089229106903,,,,
5,239,,,0.22605451941490173,,,
5,239,,,,0.25452643632888794,0.996874988079071,0.06875000149011612
6,240,0.2612282633781433,,,,,
