csv-train_loss_step,step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-accuracy/exact,csv-train_loss_epoch
0.6694750785827637,63,12,,,,,
0.7299872636795044,64,12,,,,,
,12,,0.4806387424468994,,,,
,64,12,,0.4806387424468994,,,
,64,12,,,0.05000000074505806,0.0,0.7850443124771118
0.7031728029251099,65,13,,,,,
0.7590928077697754,66,13,,,,,
0.7792211174964905,67,13,,,,,
0.7794861197471619,68,13,,,,,
0.6574313640594482,69,13,,,,,
,13,,0.44048890471458435,,,,
,69,13,,0.4404889643192291,,,
,69,13,,,0.20000000298023224,0.125,0.7356808185577393
0.7127867341041565,70,14,,,,,
0.7024904489517212,71,14,,,,,
0.6960225701332092,72,14,,,,,
0.6381400227546692,73,14,,,,,
0.6235311627388,74,14,,,,,
,14,,0.3743079602718353,,,,
,74,14,,0.3743079602718353,,,
,74,14,,,0.5,0.32499998807907104,0.6745942234992981
0.6464138627052307,75,15,,,,,
0.6181226968765259,76,15,,,,,
0.6371275186538696,77,15,,,,,
0.6227392554283142,78,15,,,,,
0.573540449142456,79,15,,,,,
,15,,0.3296130299568176,,,,
,79,15,,0.32961300015449524,,,
,79,15,,,0.550000011920929,0.44999998807907104,0.6195887327194214
0.5221526026725769,80,16,,,,,
0.527862012386322,81,16,,,,,
0.5433593988418579,82,16,,,,,
0.5663886070251465,83,16,,,,,
0.5697055459022522,84,16,,,,,
,16,,0.2917608916759491,,,,
,84,16,,0.2917608618736267,,,
,84,16,,,0.675000011920929,0.4749999940395355,0.5458936095237732
0.562776505947113,85,17,,,,,
0.458895206451416,86,17,,,,,
0.5189070701599121,87,17,,,,,
0.4540257453918457,88,17,,,,,
0.46345406770706177,89,17,,,,,
,17,,0.2594870924949646,,,,
,89,17,,0.259487122297287,,,
,89,17,,,0.6500000357627869,0.5000000596046448,0.4916117191314697
0.4390127956867218,90,18,,,,,
0.5277315974235535,91,18,,,,,
0.39732709527015686,92,18,,,,,
0.44954970479011536,93,18,,,,,
0.41916167736053467,94,18,,,,,
,18,,0.2341950535774231,,,,
,94,18,,0.2341950386762619,,,
,94,18,,,0.699999988079071,0.42500001192092896,0.44655656814575195
0.4601673185825348,95,19,,,,,
0.4034256339073181,96,19,,,,,
0.3950340747833252,97,19,,,,,
0.43989497423171997,98,19,,,,,
0.3482109010219574,99,19,,,,,
,19,,0.223208487033844,,,,
,99,19,,0.2232084721326828,,,
,99,19,,,0.6500000357627869,0.4750000238418579,0.4093465209007263
0.39902910590171814,100,20,,,,,
0.4225415885448456,101,20,,,,,
0.45288747549057007,102,20,,,,,
0.3486871123313904,103,20,,,,,
0.33273959159851074,104,20,,,,,
,20,,0.20323103666305542,,,,
,104,20,,0.20323102176189423,,,
,104,20,,,0.6749999523162842,0.4749999940395355,0.3911769390106201
0.347433865070343,105,21,,,,,
0.3306565582752228,106,21,,,,,
0.39743897318840027,107,21,,,,,
0.3701496720314026,108,21,,,,,
0.3177662193775177,109,21,,,,,
,21,,0.18505173921585083,,,,
,109,21,,0.18505173921585083,,,
,109,21,,,0.675000011920929,0.42500001192092896,0.35268908739089966
0.34593236446380615,110,22,,,,,
0.32581281661987305,111,22,,,,,
0.31828659772872925,112,22,,,,,
0.37415677309036255,113,22,,,,,
0.2882158160209656,114,22,,,,,
,22,,0.1747947782278061,,,,
,114,22,,0.1747947782278061,,,
,114,22,,,0.800000011920929,0.6000000238418579,0.3304808735847473
0.28809499740600586,115,23,,,,,
0.30947986245155334,116,23,,,,,
0.3447178602218628,117,23,,,,,
0.3369079530239105,118,23,,,,,
0.34350723028182983,119,23,,,,,
,23,,0.16580067574977875,,,,
,119,23,,0.16580067574977875,,,
,119,23,,,0.9000000357627869,0.6500000357627869,0.3245415687561035
0.30988752841949463,120,24,,,,,
0.3235171437263489,121,24,,,,,
0.247766375541687,122,24,,,,,
0.332309752702713,123,24,,,,,
0.23564305901527405,124,24,,,,,
,24,,0.16263721883296967,,,,
,124,24,,0.16263723373413086,,,
,124,24,,,0.949999988079071,0.7000000476837158,0.28982478380203247
0.31303271651268005,125,25,,,,,
0.268515020608902,126,25,,,,,
0.23626521229743958,127,25,,,,,
0.24683833122253418,128,25,,,,,
0.3068523406982422,129,25,,,,,
,25,,0.1500004082918167,,,,
,129,25,,0.1500004082918167,,,
,129,25,,,0.9750000238418579,0.7250000238418579,0.2743006944656372
0.27288898825645447,130,26,,,,,
0.30547115206718445,131,26,,,,,
0.2727721035480499,132,26,,,,,
0.25268715620040894,133,26,,,,,
0.2535492777824402,134,26,,,,,
,26,,0.1420896053314209,,,,
,134,26,,0.1420895904302597,,,
,134,26,,,0.949999988079071,0.675000011920929,0.2714737355709076
0.2580527067184448,135,27,,,,,
0.24774175882339478,136,27,,,,,
0.2351665198802948,137,27,,,,,
0.23895612359046936,138,27,,,,,
0.2218250334262848,139,27,,,,,
,27,,0.13711798191070557,,,,
,139,27,,0.13711799681186676,,,
,139,27,,,0.9750000238418579,0.7000000476837158,0.2403484284877777
0.27298587560653687,140,28,,,,,
0.21453911066055298,141,28,,,,,
0.27422550320625305,142,28,,,,,
0.18942052125930786,143,28,,,,,
0.2319362759590149,144,28,,,,,
,28,,0.13339252769947052,,,,
,144,28,,0.1333925426006317,,,
,144,28,,,0.9750000238418579,0.7000000476837158,0.2366214245557785
0.20891839265823364,145,29,,,,,
0.2425037920475006,146,29,,,,,
0.3021746277809143,147,29,,,,,
0.24273782968521118,148,29,,,,,
0.17000766098499298,149,29,,,,,
,29,,0.1240537092089653,,,,
,149,29,,0.1240537017583847,,,
,149,29,,,0.949999988079071,0.7250000238418579,0.23326846957206726
