csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/exact,csv-accuracy/validator
0,0,3.185584783554077,,,,,
0,1,3.0162158012390137,,,,,
0,2,2.759577751159668,,,,,
0,3,2.723362445831299,,,,,
0,4,2.595928192138672,,,,,
0,5,2.488896131515503,,,,,
0,6,2.4182991981506348,,,,,
0,7,2.465939998626709,,,,,
0,8,2.268291473388672,,,,,
0,9,2.3087801933288574,,,,,
0,10,2.229680061340332,,,,,
0,11,2.0353329181671143,,,,,
0,12,2.0267796516418457,,,,,
0,13,2.0027964115142822,,,,,
0,14,1.9311105012893677,,,,,
0,15,2.0038163661956787,,,,,
0,16,1.8551031351089478,,,,,
0,17,1.7660924196243286,,,,,
0,18,1.67924964427948,,,,,
0,19,1.7713639736175537,,,,,
0,20,1.6524717807769775,,,,,
0,21,1.7609341144561768,,,,,
0,22,1.6304042339324951,,,,,
0,23,1.6266463994979858,,,,,
0,24,1.5269591808319092,,,,,
0,25,1.550670862197876,,,,,
0,26,1.452743411064148,,,,,
0,27,1.476518988609314,,,,,
0,28,1.4701478481292725,,,,,
0,29,1.3540701866149902,,,,,
0,30,1.31575345993042,,,,,
0,31,1.3686858415603638,,,,,
0,32,1.3246619701385498,,,,,
0,33,1.2759324312210083,,,,,
0,34,1.2169644832611084,,,,,
0,35,1.0875896215438843,,,,,
0,36,1.1259574890136719,,,,,
0,37,1.220754861831665,,,,,
0,38,1.219513177871704,,,,,
0,39,1.1529227495193481,,,,,
0,40,1.181886076927185,,,,,
0,41,0.9946767687797546,,,,,
0,42,1.062000036239624,,,,,
0,43,0.9914625883102417,,,,,
0,44,0.9608162641525269,,,,,
0,45,1.047731876373291,,,,,
0,46,0.9313258528709412,,,,,
0,47,1.0092564821243286,,,,,
0,48,0.9402031898498535,,,,,
0,49,0.9347065091133118,,,,,
0,50,0.9015453457832336,,,,,
0,51,0.9131420254707336,,,,,
0,52,0.8190574645996094,,,,,
0,53,0.8538488149642944,,,,,
0,54,0.785466194152832,,,,,
0,55,0.7918481826782227,,,,,
0,56,0.8545007705688477,,,,,
0,57,0.7540448904037476,,,,,
0,58,0.6818262934684753,,,,,
0,59,0.5752484798431396,,,,,
0,60,0.4764539301395416,,,,,
0,61,0.6801049709320068,,,,,
0,62,0.6372361779212952,,,,,
0,63,0.683647632598877,,,,,
0,64,0.5937317609786987,,,,,
0,65,0.609389066696167,,,,,
0,66,0.5812019109725952,,,,,
0,67,0.6132493019104004,,,,,
0,68,0.582835853099823,,,,,
0,69,0.5654848217964172,,,,,
0,70,0.48099222779273987,,,,,
0,71,0.49910295009613037,,,,,
0,72,0.4924234449863434,,,,,
0,73,0.4930390417575836,,,,,
0,74,0.3648698329925537,,,,,
0,75,0.4430537521839142,,,,,
0,76,0.3797432482242584,,,,,
0,77,0.3735846281051636,,,,,
0,78,0.42703309655189514,,,,,
0,79,0.3801504373550415,,,,,
0,80,0.46175092458724976,,,,,
0,81,0.37003183364868164,,,,,
0,82,0.3688393235206604,,,,,
0,83,0.2571830749511719,,,,,
0,84,0.2943865954875946,,,,,
0,85,0.3235882818698883,,,,,
0,86,0.28615033626556396,,,,,
0,87,0.3778952956199646,,,,,
0,88,0.31375378370285034,,,,,
0,89,0.3371215760707855,,,,,
0,90,0.2802501618862152,,,,,
0,91,0.3265537619590759,,,,,
0,92,0.30731651186943054,,,,,
0,93,0.2958298325538635,,,,,
0,94,0.2703469395637512,,,,,
0,95,0.26699626445770264,,,,,
0,96,0.27229079604148865,,,,,
0,97,0.25206395983695984,,,,,
0,98,0.3222362995147705,,,,,
0,99,0.2690684497356415,,,,,
0,100,0.31344926357269287,,,,,
0,101,0.3355890214443207,,,,,
0,102,0.2686535716056824,,,,,
0,103,0.2267509549856186,,,,,
0,104,0.18925899267196655,,,,,
0,105,0.22191014885902405,,,,,
0,106,0.24432875216007233,,,,,
,0,,0.11265259981155396,,,,
,1,,0.13181547820568085,,,,
,2,,0.13039985299110413,,,,
,3,,0.1848757565021515,,,,
,4,,0.09103799611330032,,,,
,5,,0.10583538562059402,,,,
,6,,0.09994860738515854,,,,
,7,,0.1110365092754364,,,,
,8,,0.13615460693836212,,,,
,9,,0.12503039836883545,,,,
,10,,0.1477857232093811,,,,
,11,,0.10930043458938599,,,,
,12,,0.18479546904563904,,,,
,13,,0.20089757442474365,,,,
0,106,,,0.13054245710372925,,,
0,106,,,,1.027418613433838,0.5952381491661072,0.9692460298538208
1,107,0.3144083321094513,,,,,
1,108,0.22108599543571472,,,,,
1,109,0.32336515188217163,,,,,
1,110,0.3475581109523773,,,,,
1,111,0.12166371941566467,,,,,
1,112,0.21438758075237274,,,,,
1,113,0.22769597172737122,,,,,
1,114,0.14557412266731262,,,,,
1,115,0.19409756362438202,,,,,
1,116,0.16885752975940704,,,,,
1,117,0.3185252845287323,,,,,
1,118,0.1866357922554016,,,,,
1,119,0.23098954558372498,,,,,
