step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
0,2.8274106979370117,0,,,,,
1,3.549985647201538,0,,,,,
2,2.685765266418457,0,,,,,
3,2.8184244632720947,0,,,,,
4,2.74540376663208,0,,,,,
5,2.7751569747924805,0,,,,,
6,2.454042434692383,0,,,,,
7,2.610255002975464,0,,,,,
8,2.398437023162842,0,,,,,
9,2.5191097259521484,0,,,,,
10,2.50160813331604,0,,,,,
11,2.466501235961914,0,,,,,
12,1.948154330253601,0,,,,,
13,2.182499408721924,0,,,,,
14,2.2926928997039795,0,,,,,
15,2.2367610931396484,0,,,,,
16,2.098531723022461,0,,,,,
17,2.2524304389953613,0,,,,,
18,2.369035243988037,0,,,,,
19,2.2283473014831543,0,,,,,
20,1.9350707530975342,0,,,,,
21,1.8596571683883667,0,,,,,
22,2.2162647247314453,0,,,,,
23,1.9193233251571655,0,,,,,
24,2.013949394226074,0,,,,,
25,1.7154076099395752,0,,,,,
26,1.7358580827713013,0,,,,,
27,2.0756242275238037,0,,,,,
28,1.9954782724380493,0,,,,,
29,1.728395700454712,0,,,,,
30,1.6891273260116577,0,,,,,
31,1.8748207092285156,0,,,,,
32,1.9120069742202759,0,,,,,
33,1.803896427154541,0,,,,,
34,1.5756958723068237,0,,,,,
35,1.7735505104064941,0,,,,,
36,1.4748319387435913,0,,,,,
37,1.6140400171279907,0,,,,,
38,1.63633131980896,0,,,,,
39,2.051337480545044,0,,,,,
0,,,1.049045443534851,,,,
1,,,1.0227826833724976,,,,
2,,,1.3296270370483398,,,,
3,,,1.0456894636154175,,,,
4,,,1.0777348279953003,,,,
39,,0,,1.104975938796997,,,
39,,0,,,0.0,2.1640305519104004,0.0
40,1.6270397901535034,1,,,,,
41,1.6002111434936523,1,,,,,
42,1.4067058563232422,1,,,,,
43,1.5898854732513428,1,,,,,
44,1.2786881923675537,1,,,,,
45,1.412031650543213,1,,,,,
46,1.4390482902526855,1,,,,,
47,1.2458146810531616,1,,,,,
48,1.2868698835372925,1,,,,,
49,1.426613450050354,1,,,,,
50,1.4588494300842285,1,,,,,
51,1.2246266603469849,1,,,,,
52,1.015089511871338,1,,,,,
53,1.2229686975479126,1,,,,,
54,1.1718765497207642,1,,,,,
55,1.1057366132736206,1,,,,,
56,1.0117641687393188,1,,,,,
57,1.0412660837173462,1,,,,,
58,1.133541464805603,1,,,,,
59,1.1938387155532837,1,,,,,
60,1.2394126653671265,1,,,,,
61,0.8162490129470825,1,,,,,
62,1.2576855421066284,1,,,,,
63,1.1623984575271606,1,,,,,
64,1.1190545558929443,1,,,,,
65,0.8251172304153442,1,,,,,
66,1.0008878707885742,1,,,,,
67,1.0514386892318726,1,,,,,
68,0.8655549883842468,1,,,,,
69,1.001249074935913,1,,,,,
70,0.7827603220939636,1,,,,,
71,0.9561211466789246,1,,,,,
72,0.9181556701660156,1,,,,,
73,1.1684786081314087,1,,,,,
74,1.0339422225952148,1,,,,,
75,0.8477210402488708,1,,,,,
76,0.7745905518531799,1,,,,,
77,0.7631863951683044,1,,,,,
78,0.881590723991394,1,,,,,
79,1.0335736274719238,1,,,,,
5,,,0.3017047345638275,,,,
6,,,0.4616355001926422,,,,
7,,,0.7011191248893738,,,,
8,,,0.4734289050102234,,,,
9,,,0.46501561999320984,,,,
79,,1,,0.48058080673217773,,,
79,,1,,,0.10000000149011612,1.1347908973693848,0.125
80,0.8899125456809998,2,,,,,
81,0.6894462704658508,2,,,,,
82,0.984264075756073,2,,,,,
83,0.748395562171936,2,,,,,
84,0.9356970191001892,2,,,,,
85,0.8596975207328796,2,,,,,
86,0.6391008496284485,2,,,,,
87,0.72676020860672,2,,,,,
88,0.6368157863616943,2,,,,,
89,0.45795944333076477,2,,,,,
90,0.6613025665283203,2,,,,,
91,0.7517485618591309,2,,,,,
92,0.8657962083816528,2,,,,,
93,0.6147186160087585,2,,,,,
94,0.28410205245018005,2,,,,,
95,0.8169226050376892,2,,,,,
96,0.8308565616607666,2,,,,,
97,0.5696904063224792,2,,,,,
98,0.4289225935935974,2,,,,,
99,0.6087521314620972,2,,,,,
100,0.8868228793144226,2,,,,,
101,0.852466344833374,2,,,,,
102,0.7034843564033508,2,,,,,
103,0.6234923005104065,2,,,,,
104,0.527540385723114,2,,,,,
105,0.6035651564598083,2,,,,,
106,0.7431879043579102,2,,,,,
107,0.4397343695163727,2,,,,,
108,0.5817392468452454,2,,,,,
109,0.5644385814666748,2,,,,,
110,0.4546241760253906,2,,,,,
111,0.4934718906879425,2,,,,,
112,0.39604538679122925,2,,,,,
113,0.3113846480846405,2,,,,,
114,0.4365788400173187,2,,,,,
115,0.4268679618835449,2,,,,,
116,0.2567240595817566,2,,,,,
117,0.3857681453227997,2,,,,,
118,0.5279466509819031,2,,,,,
119,0.4536713659763336,2,,,,,
10,,,0.07137095183134079,,,,
11,,,0.20153746008872986,,,,
12,,,0.40640902519226074,,,,
13,,,0.1739635020494461,,,,
14,,,0.1984088122844696,,,,
119,,2,,0.21033795177936554,,,
119,,2,,,0.6499999761581421,0.6167603731155396,0.44999998807907104
120,0.38258427381515503,3,,,,,
121,0.35357311367988586,3,,,,,
122,0.2569811940193176,3,,,,,
123,0.6622236967086792,3,,,,,
124,0.454667329788208,3,,,,,
125,0.36629417538642883,3,,,,,
126,0.18717919290065765,3,,,,,
127,0.47365477681159973,3,,,,,
128,0.350754052400589,3,,,,,
129,0.301251620054245,3,,,,,
130,0.26490679383277893,3,,,,,
131,0.5263398885726929,3,,,,,
132,0.4354150593280792,3,,,,,
133,0.3594537675380707,3,,,,,
134,0.22353516519069672,3,,,,,
135,0.3011212646961212,3,,,,,
136,0.3972947597503662,3,,,,,
137,0.3077058792114258,3,,,,,
138,0.3308268189430237,3,,,,,
139,0.47388312220573425,3,,,,,
140,0.23624968528747559,3,,,,,
141,0.3010540306568146,3,,,,,
142,0.3696146309375763,3,,,,,
143,0.23919931054115295,3,,,,,
