csv-train_loss_step,csv-epoch,step
3.7714500427246094,0,0
3.4124038219451904,0,1
3.2344579696655273,0,2
3.1132259368896484,0,3
2.6657581329345703,0,4
2.830289363861084,0,5
2.430750608444214,0,6
2.6072826385498047,0,7
2.5830588340759277,0,8
2.1951212882995605,0,9
2.220625638961792,0,10
2.1967015266418457,0,11
2.1113789081573486,0,12
2.0561635494232178,0,13
2.0108718872070312,0,14
1.9891576766967773,0,15
1.8395758867263794,0,16
1.93587327003479,0,17
1.8025468587875366,0,18
1.716135025024414,0,19
1.788848638534546,0,20
1.6398824453353882,0,21
1.6479763984680176,0,22
1.6412922143936157,0,23
1.6383821964263916,0,24
1.504861831665039,0,25
1.53943932056427,0,26
1.5010946989059448,0,27
1.380242943763733,0,28
1.3931376934051514,0,29
1.3722032308578491,0,30
1.4184036254882812,0,31
1.3119831085205078,0,32
1.2819907665252686,0,33
1.3642388582229614,0,34
1.2104849815368652,0,35
1.283905267715454,0,36
1.2249820232391357,0,37
1.2873880863189697,0,38
1.1898263692855835,0,39
1.1427993774414062,0,40
1.2410801649093628,0,41
1.2629985809326172,0,42
1.238511323928833,0,43
1.2474241256713867,0,44
1.041866660118103,0,45
1.1957926750183105,0,46
1.0935642719268799,0,47
1.1369506120681763,0,48
1.0522840023040771,0,49
1.125933051109314,0,50
1.0176458358764648,0,51
1.0881528854370117,0,52
1.1122640371322632,0,53
0.9914847612380981,0,54
0.9616652131080627,0,55
0.955913782119751,0,56
1.0406051874160767,0,57
1.0571460723876953,0,58
0.9224399328231812,0,59
1.063116431236267,0,60
0.9733262062072754,0,61
0.9158849716186523,0,62
0.9701694250106812,0,63
1.0447533130645752,0,64
0.8634037971496582,0,65
0.8334814310073853,0,66
1.0319321155548096,0,67
0.977146565914154,0,68
0.8244494795799255,0,69
0.8689118027687073,0,70
0.8405311107635498,0,71
0.8195187449455261,0,72
0.9378089904785156,0,73
0.9986474514007568,0,74
0.8087545037269592,0,75
0.785494327545166,0,76
0.7194761037826538,0,77
0.7742128372192383,0,78
0.8832488656044006,0,79
