csv-train_loss_step,step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/micro,csv-accuracy/none,csv-train_loss_epoch
3.5146567821502686,0,0,,,,,
,0,,2.0088844299316406,,,,
,0,0,,2.0088844299316406,,,
,0,0,,,0.0,0.0,3.5146570205688477
2.9247887134552,1,1,,,,,
,1,,1.8904352188110352,,,,
,1,1,,1.8904352188110352,,,
,1,1,,,0.0,0.0,2.9247887134552
2.6128644943237305,2,2,,,,,
,2,,1.832620620727539,,,,
,2,2,,1.832620620727539,,,
,2,2,,,0.0,0.0,2.6128644943237305
2.4381535053253174,3,3,,,,,
,3,,1.7656394243240356,,,,
,3,3,,1.7656394243240356,,,
,3,3,,,0.0,0.0,2.4381537437438965
2.367823600769043,4,4,,,,,
,4,,1.6895320415496826,,,,
,4,4,,1.6895320415496826,,,
,4,4,,,0.0,0.0,2.367823839187622
2.1433897018432617,5,5,,,,,
,5,,1.6262712478637695,,,,
,5,5,,1.6262712478637695,,,
,5,5,,,0.0,0.0,2.143389940261841
2.087019205093384,6,6,,,,,
,6,,1.5618728399276733,,,,
,6,6,,1.5618728399276733,,,
,6,6,,,0.0,0.0,2.087019205093384
1.9913017749786377,7,7,,,,,
,7,,1.5006320476531982,,,,
,7,7,,1.5006320476531982,,,
,7,7,,,0.0,0.0,1.9913018941879272
1.8667335510253906,8,8,,,,,
,8,,1.4497319459915161,,,,
,8,8,,1.4497319459915161,,,
,8,8,,,0.0,0.0,1.866733431816101
1.908355712890625,9,9,,,,,
,9,,1.404994010925293,,,,
,9,9,,1.404994010925293,,,
,9,9,,,0.0,0.0,1.9083555936813354
1.7693991661071777,10,10,,,,,
,10,,1.3633971214294434,,,,
,10,10,,1.3633971214294434,,,
,10,10,,,0.0,0.0,1.7693992853164673
1.6916579008102417,11,11,,,,,
,11,,1.3247654438018799,,,,
,11,11,,1.3247654438018799,,,
,11,11,,,0.0,0.0,1.6916579008102417
1.628466248512268,12,12,,,,,
,12,,1.2900238037109375,,,,
,12,12,,1.2900238037109375,,,
,12,12,,,0.0,0.0,1.628466248512268
1.5595349073410034,13,13,,,,,
,13,,1.2603884935379028,,,,
,13,13,,1.2603884935379028,,,
,13,13,,,0.0,0.0,1.5595349073410034
1.5777570009231567,14,14,,,,,
,14,,1.232250452041626,,,,
,14,14,,1.232250452041626,,,
,14,14,,,0.0,0.0,1.5777568817138672
1.55190908908844,15,15,,,,,
,15,,1.201979160308838,,,,
,15,15,,1.201979160308838,,,
,15,15,,,0.0,0.0,1.5519089698791504
1.4438616037368774,16,16,,,,,
,16,,1.1697940826416016,,,,
,16,16,,1.1697940826416016,,,
,16,16,,,0.0,0.0,1.443861484527588
1.3795995712280273,17,17,,,,,
,17,,1.1365489959716797,,,,
,17,17,,1.1365489959716797,,,
,17,17,,,0.0,0.0,1.3795995712280273
1.3311007022857666,18,18,,,,,
,18,,1.10297429561615,,,,
,18,18,,1.10297429561615,,,
,18,18,,,0.0,0.0,1.3311009407043457
1.3258061408996582,19,19,,,,,
,19,,1.0716806650161743,,,,
,19,19,,1.0716806650161743,,,
,19,19,,,0.0,0.0,1.3258060216903687
1.2932759523391724,20,20,,,,,
,20,,1.0421433448791504,,,,
,20,20,,1.0421433448791504,,,
,20,20,,,0.0,0.0,1.2932759523391724
1.259777545928955,21,21,,,,,
,21,,1.0150396823883057,,,,
,21,21,,1.0150396823883057,,,
,21,21,,,0.0,0.0,1.2597774267196655
1.2172465324401855,22,22,,,,,
,22,,0.9919955134391785,,,,
,22,22,,0.9919955134391785,,,
,22,22,,,0.0,0.0,1.217246651649475
1.1928414106369019,23,23,,,,,
,23,,0.9710102081298828,,,,
,23,23,,0.9710102081298828,,,
,23,23,,,0.0,0.0,1.1928414106369019
1.1896696090698242,24,24,,,,,
,24,,0.9522879123687744,,,,
,24,24,,0.9522879123687744,,,
,24,24,,,0.0,0.0,1.1896696090698242
1.1378509998321533,25,25,,,,,
,25,,0.9343389272689819,,,,
,25,25,,0.9343389272689819,,,
,25,25,,,0.0,0.0,1.1378508806228638
1.1212539672851562,26,26,,,,,
,26,,0.9182584285736084,,,,
,26,26,,0.9182584285736084,,,
,26,26,,,0.0,0.0,1.1212539672851562
1.0621076822280884,27,27,,,,,
,27,,0.9026190638542175,,,,
,27,27,,0.9026190638542175,,,
,27,27,,,0.0,0.0,1.0621075630187988
1.063992977142334,28,28,,,,,
,28,,0.8881309032440186,,,,
,28,28,,0.8881309032440186,,,
,28,28,,,0.0,0.0,1.0639928579330444
1.0613856315612793,29,29,,,,,
,29,,0.8765600323677063,,,,
,29,29,,0.8765600323677063,,,
,29,29,,,0.0,0.0,1.0613856315612793
