csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-accuracy/exact,csv-train_loss_epoch
0.5693747401237488,22,91,,,,,
,,22,0.30176451802253723,,,,
,22,91,,0.30176451802253723,,,
,22,91,,,0.550000011920929,0.3500000238418579,0.5990334749221802
0.5876184701919556,23,92,,,,,
0.552803099155426,23,93,,,,,
0.5568031668663025,23,94,,,,,
0.5848290920257568,23,95,,,,,
,,23,0.27431702613830566,,,,
,23,95,,0.27431702613830566,,,
,23,95,,,0.5,0.45000001788139343,0.5705134272575378
0.5479175448417664,24,96,,,,,
0.5013769865036011,24,97,,,,,
0.5425778031349182,24,98,,,,,
0.4991324841976166,24,99,,,,,
,,24,0.23828452825546265,,,,
,24,99,,0.23828452825546265,,,
,24,99,,,0.550000011920929,0.30000001192092896,0.5227512121200562
0.44263267517089844,25,100,,,,,
0.5098221898078918,25,101,,,,,
0.39526239037513733,25,102,,,,,
0.5506033897399902,25,103,,,,,
,,25,0.21270495653152466,,,,
,25,103,,0.21270495653152466,,,
,25,103,,,0.550000011920929,0.5,0.47458016872406006
0.49066027998924255,26,104,,,,,
0.49859312176704407,26,105,,,,,
0.4232836961746216,26,106,,,,,
0.4164622128009796,26,107,,,,,
,,26,0.19559010863304138,,,,
,26,107,,0.19559010863304138,,,
,26,107,,,0.550000011920929,0.4000000059604645,0.45724982023239136
0.4104495346546173,27,108,,,,,
0.4116862714290619,27,109,,,,,
0.4581182599067688,27,110,,,,,
0.3727607727050781,27,111,,,,,
,,27,0.1785624921321869,,,,
,27,111,,0.1785624921321869,,,
,27,111,,,0.6000000238418579,0.44999998807907104,0.4132537245750427
0.401669442653656,28,112,,,,,
0.3929896652698517,28,113,,,,,
0.4195311665534973,28,114,,,,,
0.37097427248954773,28,115,,,,,
,,28,0.16032594442367554,,,,
,28,115,,0.16032594442367554,,,
,28,115,,,0.550000011920929,0.3499999940395355,0.3962911367416382
0.3306531608104706,29,116,,,,,
0.31654322147369385,29,117,,,,,
0.4383828043937683,29,118,,,,,
0.42405977845191956,29,119,,,,,
,,29,0.1508151888847351,,,,
,29,119,,0.1508151888847351,,,
,29,119,,,0.550000011920929,0.3499999940395355,0.37740975618362427
0.3424668312072754,30,120,,,,,
0.3689841330051422,30,121,,,,,
0.3503020405769348,30,122,,,,,
0.32123884558677673,30,123,,,,,
,,30,0.14251643419265747,,,,
,30,123,,0.14251643419265747,,,
,30,123,,,0.550000011920929,0.3500000238418579,0.3457479476928711
0.35105717182159424,31,124,,,,,
0.3084641396999359,31,125,,,,,
0.33106207847595215,31,126,,,,,
0.34910306334495544,31,127,,,,,
,,31,0.13730275630950928,,,,
,31,127,,0.13730275630950928,,,
,31,127,,,0.699999988079071,0.6000000238418579,0.33492162823677063
0.28324925899505615,32,128,,,,,
0.29513320326805115,32,129,,,,,
0.2896297574043274,32,130,,,,,
0.37647637724876404,32,131,,,,,
,,32,0.1538044512271881,,,,
,32,131,,0.1538044512271881,,,
,32,131,,,0.5,0.5,0.31112217903137207
0.37022653222084045,33,132,,,,,
0.3282289206981659,33,133,,,,,
0.266885906457901,33,134,,,,,
0.26014047861099243,33,135,,,,,
,,33,0.1332126408815384,,,,
,33,135,,0.1332126408815384,,,
,33,135,,,0.699999988079071,0.5,0.30637046694755554
0.24181056022644043,34,136,,,,,
0.26023027300834656,34,137,,,,,
0.3295396864414215,34,138,,,,,
0.29932647943496704,34,139,,,,,
,,34,0.12902455031871796,,,,
,34,139,,0.12902455031871796,,,
,34,139,,,0.699999988079071,0.550000011920929,0.2827267348766327
0.27510324120521545,35,140,,,,,
0.31698524951934814,35,141,,,,,
0.28082406520843506,35,142,,,,,
0.24468600749969482,35,143,,,,,
,,35,0.1271580159664154,,,,
,35,143,,0.1271580159664154,,,
,35,143,,,0.8499999642372131,0.6500000357627869,0.2793996334075928
0.25658154487609863,36,144,,,,,
0.2647351622581482,36,145,,,,,
0.3138115406036377,36,146,,,,,
0.2328164130449295,36,147,,,,,
,,36,0.12298543751239777,,,,
,36,147,,0.12298543751239777,,,
,36,147,,,0.800000011920929,0.6000000238418579,0.2669861614704132
0.26864126324653625,37,148,,,,,
0.22697260975837708,37,149,,,,,
0.2557087540626526,37,150,,,,,
0.21205928921699524,37,151,,,,,
,,37,0.12316925078630447,,,,
,37,151,,0.12316925078630447,,,
,37,151,,,0.8499999642372131,0.6500000357627869,0.2408454716205597
0.24608051776885986,38,152,,,,,
0.2184133678674698,38,153,,,,,
0.27384522557258606,38,154,,,,,
0.19170403480529785,38,155,,,,,
,,38,0.12126859277486801,,,,
,38,155,,0.12126859277486801,,,
,38,155,,,0.800000011920929,0.6000000238418579,0.2325107902288437
0.25630101561546326,39,156,,,,,
0.26001814007759094,39,157,,,,,
0.22432230412960052,39,158,,,,,
0.24258430302143097,39,159,,,,,
,,39,0.12033046782016754,,,,
,39,159,,0.12033046782016754,,,
,39,159,,,0.8499999642372131,0.6500000357627869,0.24580642580986023
0.2121475785970688,40,160,,,,,
0.23198162019252777,40,161,,,,,
0.21581792831420898,40,162,,,,,
0.26925647258758545,40,163,,,,,
,,40,0.11971667408943176,,,,
,40,163,,0.11971667408943176,,,
,40,163,,,0.8500000238418579,0.6500000357627869,0.23230090737342834
0.19096441566944122,41,164,,,,,
0.25684303045272827,41,165,,,,,
0.22180946171283722,41,166,,,,,
0.20364490151405334,41,167,,,,,
,,41,0.119146429002285,,,,
,41,167,,0.119146429002285,,,
,41,167,,,0.800000011920929,0.6000000238418579,0.21831545233726501
0.18790186941623688,42,168,,,,,
0.21697792410850525,42,169,,,,,
0.23607490956783295,42,170,,,,,
0.17829136550426483,42,171,,,,,
,,42,0.11953788995742798,,,,
,42,171,,0.11953788995742798,,,
,42,171,,,0.8500000238418579,0.6000000238418579,0.20481151342391968
0.1958579123020172,43,172,,,,,
0.22068680822849274,43,173,,,,,
0.23761260509490967,43,174,,,,,
0.18024899065494537,43,175,,,,,
,,43,0.11702875792980194,,,,
,43,175,,0.11702875792980194,,,
,43,175,,,0.800000011920929,0.6000000238418579,0.20860157907009125
0.23155373334884644,44,176,,,,,
0.2206248939037323,44,177,,,,,
0.17186175286769867,44,178,,,,,
0.19414983689785004,44,179,,,,,
,,44,0.11989551782608032,,,,
,44,179,,0.11989551782608032,,,
,44,179,,,0.800000011920929,0.6000000238418579,0.20454755425453186
0.20096291601657867,45,180,,,,,
0.18045316636562347,45,181,,,,,
0.1985434740781784,45,182,,,,,
0.1923082321882248,45,183,,,,,
,,45,0.12160861492156982,,,,
,45,183,,0.12160861492156982,,,
,45,183,,,0.800000011920929,0.6000000238418579,0.19306693971157074
0.16933020949363708,46,184,,,,,
0.16686180233955383,46,185,,,,,
0.20292870700359344,46,186,,,,,
0.2200862169265747,46,187,,,,,
,,46,0.1248183622956276,,,,
,46,187,,0.1248183622956276,,,
,46,187,,,0.8500000238418579,0.6500000357627869,0.18980172276496887
0.19343161582946777,47,188,,,,,
0.17454735934734344,47,189,,,,,
0.2008526623249054,47,190,,,,,
