csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-train_loss_epoch
50,650,0.6232183575630188,,,,
50,651,0.621194064617157,,,,
50,652,0.6273136138916016,,,,
50,653,0.6260676980018616,,,,
50,654,0.6317793726921082,,,,
50,655,0.630266547203064,,,,
50,656,0.631443977355957,,,,
50,657,0.6357672214508057,,,,
50,658,0.6223747134208679,,,,
50,659,0.6289084553718567,,,,
50,660,0.617321252822876,,,,
50,661,0.6305964589118958,,,,
50,662,0.6323357820510864,,,,
,0,,0.6212769150733948,,,
,1,,0.6264751553535461,,,
50,662,,,0.6232762932777405,,
50,662,,,,0.0,0.6275374889373779
51,663,0.627475380897522,,,,
51,664,0.6300044059753418,,,,
51,665,0.6405492424964905,,,,
51,666,0.622847318649292,,,,
51,667,0.6236917972564697,,,,
51,668,0.6235808730125427,,,,
51,669,0.6320092678070068,,,,
51,670,0.6301197409629822,,,,
51,671,0.6338908076286316,,,,
51,672,0.6304823160171509,,,,
51,673,0.6245467662811279,,,,
51,674,0.6241264939308167,,,,
51,675,0.6252424120903015,,,,
,2,,0.6293087005615234,,,
,3,,0.634028434753418,,,
51,675,,,0.631123960018158,,
51,675,,,,0.0,0.6283814311027527
52,676,0.6414000391960144,,,,
52,677,0.6301784515380859,,,,
52,678,0.6213555335998535,,,,
52,679,0.6232461929321289,,,,
52,680,0.6272393465042114,,,,
52,681,0.6279821991920471,,,,
52,682,0.6174871921539307,,,,
52,683,0.6206784248352051,,,,
52,684,0.6132625341415405,,,,
52,685,0.6273576021194458,,,,
52,686,0.6365694999694824,,,,
52,687,0.624882161617279,,,,
52,688,0.6177241802215576,,,,
,4,,0.6182593107223511,,,
,5,,0.6167037487030029,,,
52,688,,,0.6176610589027405,,
52,688,,,,0.0,0.6254095435142517
53,689,0.622864842414856,,,,
53,690,0.6220333576202393,,,,
53,691,0.6272390484809875,,,,
53,692,0.6255791783332825,,,,
53,693,0.6336418390274048,,,,
53,694,0.6191927790641785,,,,
53,695,0.6323612332344055,,,,
53,696,0.6159324049949646,,,,
53,697,0.6241549849510193,,,,
53,698,0.6278983950614929,,,,
53,699,0.6317800283432007,,,,
53,700,0.6188207864761353,,,,
53,701,0.6207581758499146,,,,
,6,,0.616341233253479,,,
,7,,0.6189965009689331,,,
53,701,,,0.6173625588417053,,
53,701,,,,0.0,0.6248281598091125
54,702,0.6225214600563049,,,,
54,703,0.623690664768219,,,,
54,704,0.6098663210868835,,,,
54,705,0.622434139251709,,,,
54,706,0.6216673254966736,,,,
54,707,0.6254560947418213,,,,
54,708,0.6048897504806519,,,,
54,709,0.6136614084243774,,,,
54,710,0.6124024987220764,,,,
54,711,0.6245192289352417,,,,
54,712,0.6044804453849792,,,,
54,713,0.6229636669158936,,,,
54,714,0.617694079875946,,,,
,8,,0.6130802035331726,,,
,9,,0.6220827102661133,,,
54,714,,,0.6165426969528198,,
54,714,,,,0.0,0.6174007654190063
55,715,0.621044397354126,,,,
55,716,0.6188843846321106,,,,
55,717,0.6308721899986267,,,,
55,718,0.6134834885597229,,,,
55,719,0.6251579523086548,,,,
55,720,0.6265732049942017,,,,
55,721,0.6070360541343689,,,,
55,722,0.6213966012001038,,,,
55,723,0.6227818727493286,,,,
55,724,0.6257511377334595,,,,
55,725,0.6142873764038086,,,,
55,726,0.6219432950019836,,,,
55,727,0.6184731125831604,,,,
,10,,0.6103330850601196,,,
,11,,0.6214301586151123,,,
55,727,,,0.6146012544631958,,
55,727,,,,0.0,0.6206117272377014
56,728,0.6230745315551758,,,,
56,729,0.6174542903900146,,,,
56,730,0.6043143272399902,,,,
56,731,0.6171860694885254,,,,
56,732,0.6167380213737488,,,,
56,733,0.6062198281288147,,,,
56,734,0.6134763956069946,,,,
56,735,0.6152860522270203,,,,
56,736,0.6206648945808411,,,,
56,737,0.6149082183837891,,,,
56,738,0.6258570551872253,,,,
56,739,0.6167210936546326,,,,
56,740,0.6124940514564514,,,,
,12,,0.6093343496322632,,,
