csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
0,3.802626609802246,0,,,,,
0,3.348590135574341,1,,,,,
0,3.091573715209961,2,,,,,
,,0,3.2285730838775635,,,,
,,1,3.7411513328552246,,,,
,,2,3.1446380615234375,,,,
0,,2,,3.4168174266815186,,,
0,,2,,,3.4767708778381348,0.0,0.0
1,2.889209508895874,3,,,,,
1,2.9230000972747803,4,,,,,
1,2.8407106399536133,5,,,,,
,,3,2.8739542961120605,,,,
,,4,3.314361572265625,,,,
,,5,2.8460347652435303,,,,
1,,5,,3.0445332527160645,,,
1,,5,,,2.868577003479004,0.0,0.0
2,2.728800058364868,6,,,,,
2,2.198976516723633,7,,,,,
2,2.1070923805236816,8,,,,,
,,6,1.7923338413238525,,,,
,,7,2.1755387783050537,,,,
,,8,1.8060932159423828,,,,
2,,8,,1.948367714881897,,,
2,,8,,,2.466022491455078,0.0,0.0
3,2.2066359519958496,9,,,,,
3,2.1904027462005615,10,,,,,
3,2.1129202842712402,11,,,,,
,,9,1.5749306678771973,,,,
,,10,1.892571210861206,,,,
,,11,1.5403562784194946,,,,
3,,11,,1.6950719356536865,,,
3,,11,,,2.1305761337280273,0.0,0.0
4,1.9424076080322266,12,,,,,
4,2.0881032943725586,13,,,,,
4,1.899619221687317,14,,,,,
,,12,1.4263325929641724,,,,
,,13,1.7265331745147705,,,,
,,14,1.401354432106018,,,,
4,,14,,1.5414172410964966,,,
4,,14,,,1.979985237121582,0.0,0.0
5,1.8766411542892456,15,,,,,
5,1.9491081237792969,16,,,,,
5,1.6391209363937378,17,,,,,
,,15,1.2531765699386597,,,,
,,16,1.544409155845642,,,,
,,17,1.2502169609069824,,,,
5,,17,,1.3690776824951172,,,
5,,17,,,1.7756083011627197,0.0,0.0
6,1.8228669166564941,18,,,,,
6,1.8558645248413086,19,,,,,
6,1.462204933166504,20,,,,,
,,18,1.0941396951675415,,,,
,,19,1.3731987476348877,,,,
,,20,1.1232541799545288,,,,
6,,20,,1.2115862369537354,,,
6,,20,,,1.6472736597061157,0.0,0.0
7,1.5187913179397583,21,,,,,
7,1.4616148471832275,22,,,,,
7,1.5639433860778809,23,,,,,
,,21,0.992639422416687,,,,
,,22,1.2733163833618164,,,,
,,23,1.045596957206726,,,,
7,,23,,1.1155017614364624,,,
7,,23,,,1.557617425918579,0.0,0.0
8,1.6179839372634888,24,,,,,
8,1.4429186582565308,25,,,,,
8,1.2491587400436401,26,,,,,
,,24,0.9126115441322327,,,,
,,25,1.2051841020584106,,,,
,,26,0.9888099431991577,,,,
8,,26,,1.0448802709579468,,,
8,,26,,,1.4199827909469604,0.0,0.0
9,1.4535950422286987,27,,,,,
9,1.233508825302124,28,,,,,
9,1.3327547311782837,29,,,,,
,,27,0.838563084602356,,,,
,,28,1.1300580501556396,,,,
,,29,0.9456217288970947,,,,
9,,29,,0.9765728116035461,,,
9,,29,,,1.3438199758529663,0.0,0.0
10,1.2376534938812256,30,,,,,
10,1.2044233083724976,31,,,,,
10,1.4572721719741821,32,,,,,
,,30,0.780937910079956,,,,
