step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-train_loss_epoch,csv-accuracy/validator
0,2.8004398345947266,0,,,,,
1,2.6668472290039062,0,,,,,
2,2.363104820251465,0,,,,,
3,2.299314022064209,0,,,,,
4,2.3957250118255615,0,,,,,
5,2.0378758907318115,0,,,,,
6,1.9223949909210205,0,,,,,
7,1.895987629890442,0,,,,,
8,1.9182311296463013,0,,,,,
9,1.5308966636657715,0,,,,,
10,1.6737160682678223,0,,,,,
11,1.811024785041809,0,,,,,
12,1.6509746313095093,0,,,,,
13,1.567299246788025,0,,,,,
14,1.5558513402938843,0,,,,,
15,1.4367344379425049,0,,,,,
16,1.4936739206314087,0,,,,,
17,1.4170887470245361,0,,,,,
18,1.2955724000930786,0,,,,,
19,1.2803798913955688,0,,,,,
20,1.1988980770111084,0,,,,,
21,1.17741858959198,0,,,,,
22,1.2487295866012573,0,,,,,
23,1.3796058893203735,0,,,,,
24,1.2311246395111084,0,,,,,
25,1.2352421283721924,0,,,,,
26,1.2581698894500732,0,,,,,
27,1.1194745302200317,0,,,,,
28,1.1144442558288574,0,,,,,
29,1.055838942527771,0,,,,,
30,1.123880386352539,0,,,,,
31,1.153497338294983,0,,,,,
32,1.0055172443389893,0,,,,,
33,1.1318840980529785,0,,,,,
34,1.0114063024520874,0,,,,,
35,1.0130912065505981,0,,,,,
36,0.9179856777191162,0,,,,,
37,0.7072387337684631,0,,,,,
38,0.8673948049545288,0,,,,,
39,1.0058870315551758,0,,,,,
40,0.8735754489898682,0,,,,,
41,0.9537374973297119,0,,,,,
42,0.8551838397979736,0,,,,,
43,0.793354868888855,0,,,,,
44,0.8633823394775391,0,,,,,
45,0.7661014795303345,0,,,,,
46,0.8285166621208191,0,,,,,
47,0.7949328422546387,0,,,,,
48,0.748561441898346,0,,,,,
49,0.7698678970336914,0,,,,,
50,0.8657179474830627,0,,,,,
51,0.6975140571594238,0,,,,,
52,0.579349160194397,0,,,,,
53,0.6235189437866211,0,,,,,
54,0.7150781154632568,0,,,,,
55,0.6505990624427795,0,,,,,
