csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/exact,csv-accuracy/validator
0,0,3.0553135871887207,,,,,
0,1,2.814992666244507,,,,,
0,2,2.565718650817871,,,,,
,0,,2.3235549926757812,,,,
,1,,2.724771022796631,,,,
,2,,2.2717092037200928,,,,
0,2,,,2.473672389984131,,,
0,2,,,,2.8193140029907227,0.0,0.0
1,3,2.474383592605591,,,,,
1,4,2.510236978530884,,,,,
1,5,2.3368563652038574,,,,,
,3,,2.13320255279541,,,,
,4,,2.4582204818725586,,,,
,5,,2.087958335876465,,,,
1,5,,,2.2541608810424805,,,
1,5,,,,2.410536289215088,0.0,0.0
2,6,2.388148546218872,,,,,
2,7,2.1785805225372314,,,,,
2,8,2.091470718383789,,,,,
,6,,1.8379240036010742,,,,
,7,,2.159579038619995,,,,
,8,,1.8257142305374146,,,,
2,8,,,1.9641441106796265,,,
2,8,,,,2.21144437789917,0.0,0.0
3,9,2.0586957931518555,,,,,
3,10,2.0263421535491943,,,,,
3,11,2.091160774230957,,,,,
,9,,1.4496155977249146,,,,
,10,,1.7924407720565796,,,,
,11,,1.4743099212646484,,,,
3,11,,,1.5916845798492432,,,
3,11,,,,1.9652248620986938,0.0,0.0833333358168602
4,12,1.8203389644622803,,,,,
4,13,1.7910443544387817,,,,,
4,14,1.70826256275177,,,,,
,12,,1.2388943433761597,,,,
,13,,1.6197353601455688,,,,
,14,,1.311741828918457,,,,
4,14,,,1.405800223350525,,,
4,14,,,,1.8361551761627197,0.0,0.1666666716337204
5,15,1.7486284971237183,,,,,
5,16,1.976065754890442,,,,,
5,17,1.4942305088043213,,,,,
,15,,1.1303287744522095,,,,
,16,,1.4842313528060913,,,,
,17,,1.2538403272628784,,,,
5,17,,,1.296592116355896,,,
5,17,,,,1.677727460861206,0.0,0.1666666716337204
6,18,1.6893398761749268,,,,,
6,19,1.714678406715393,,,,,
6,20,1.2146024703979492,,,,,
,18,,1.0571036338806152,,,,
,19,,1.3180806636810303,,,,
,20,,1.196480393409729,,,,
6,20,,,1.189369797706604,,,
6,20,,,,1.50873601436615,0.0,0.0833333358168602
7,21,1.2547821998596191,,,,,
7,22,1.1038858890533447,,,,,
7,23,1.6942307949066162,,,,,
,21,,0.9388065338134766,,,,
,22,,1.161387324333191,,,,
,23,,1.0638407468795776,,,,
7,23,,,1.0528457164764404,,,
