csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-train_loss_epoch,csv-accuracy/validator
3.9545369148254395,0,0,,,,,
3.3688066005706787,0,1,,,,,
3.3193259239196777,0,2,,,,,
2.964888095855713,0,3,,,,,
2.7320737838745117,0,4,,,,,
2.9611926078796387,0,5,,,,,
2.5601768493652344,0,6,,,,,
2.4680585861206055,0,7,,,,,
2.4774136543273926,0,8,,,,,
2.5022530555725098,0,9,,,,,
2.320356607437134,0,10,,,,,
2.1045589447021484,0,11,,,,,
2.046215057373047,0,12,,,,,
1.9494223594665527,0,13,,,,,
2.0303406715393066,0,14,,,,,
1.8827089071273804,0,15,,,,,
1.7115421295166016,0,16,,,,,
1.8939762115478516,0,17,,,,,
1.8560097217559814,0,18,,,,,
1.6753225326538086,0,19,,,,,
1.6076706647872925,0,20,,,,,
1.7298080921173096,0,21,,,,,
1.529980182647705,0,22,,,,,
1.5619562864303589,0,23,,,,,
1.4724977016448975,0,24,,,,,
1.502753734588623,0,25,,,,,
1.45747971534729,0,26,,,,,
1.449381947517395,0,27,,,,,
1.4562160968780518,0,28,,,,,
1.3515305519104004,0,29,,,,,
1.337581753730774,0,30,,,,,
1.47091543674469,0,31,,,,,
1.3206068277359009,0,32,,,,,
1.2951107025146484,0,33,,,,,
1.23447847366333,0,34,,,,,
1.3024811744689941,0,35,,,,,
1.2232019901275635,0,36,,,,,
1.1142172813415527,0,37,,,,,
1.1860944032669067,0,38,,,,,
1.0930554866790771,0,39,,,,,
1.171889066696167,0,40,,,,,
1.1712127923965454,0,41,,,,,
1.1399414539337158,0,42,,,,,
1.0738824605941772,0,43,,,,,
1.0851162672042847,0,44,,,,,
1.0421185493469238,0,45,,,,,
0.931266725063324,0,46,,,,,
1.0722417831420898,0,47,,,,,
1.0510058403015137,0,48,,,,,
0.9059360027313232,0,49,,,,,
0.9575469493865967,0,50,,,,,
1.0029747486114502,0,51,,,,,
