csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/none,csv-train_loss_epoch,csv-accuracy/micro
0,3.9745607376098633,0,,,,,
0,3.4970040321350098,1,,,,,
0,3.2011053562164307,2,,,,,
0,3.0140106678009033,3,,,,,
0,2.8937742710113525,4,,,,,
0,2.8691325187683105,5,,,,,
0,2.639016628265381,6,,,,,
0,2.556885242462158,7,,,,,
0,2.333144187927246,8,,,,,
0,2.3086681365966797,9,,,,,
0,2.154057741165161,10,,,,,
0,2.1925835609436035,11,,,,,
0,2.088111400604248,12,,,,,
0,2.1485366821289062,13,,,,,
0,1.881422996520996,14,,,,,
0,1.7875014543533325,15,,,,,
0,1.7883622646331787,16,,,,,
0,1.7343567609786987,17,,,,,
0,1.7157175540924072,18,,,,,
0,1.632627248764038,19,,,,,
0,1.5880348682403564,20,,,,,
0,1.498213768005371,21,,,,,
0,1.5017645359039307,22,,,,,
0,1.4513120651245117,23,,,,,
0,1.4288976192474365,24,,,,,
0,1.4465487003326416,25,,,,,
0,1.3523317575454712,26,,,,,
0,1.2818725109100342,27,,,,,
0,1.3544880151748657,28,,,,,
0,1.2702664136886597,29,,,,,
0,1.320813536643982,30,,,,,
0,1.2256858348846436,31,,,,,
0,1.2216334342956543,32,,,,,
0,1.2836852073669434,33,,,,,
0,1.1460546255111694,34,,,,,
0,1.1501119136810303,35,,,,,
0,1.14656400680542,36,,,,,
0,1.1395336389541626,37,,,,,
0,1.0416098833084106,38,,,,,
0,1.0535975694656372,39,,,,,
,,0,0.6793359518051147,,,,
,,1,0.7257596254348755,,,,
,,2,0.6785537600517273,,,,
,,3,0.7566573023796082,,,,
,,4,0.7070161700248718,,,,
0,,39,,0.7094645500183105,,,
0,,39,,,0.0,1.8578399419784546,0.04374999925494194
1,1.0050625801086426,40,,,,,
1,1.0447261333465576,41,,,,,
1,0.9923349022865295,42,,,,,
1,1.0237154960632324,43,,,,,
1,0.9056347608566284,44,,,,,
1,0.9774431586265564,45,,,,,
1,0.9837873578071594,46,,,,,
1,0.9209660291671753,47,,,,,
1,0.9666675329208374,48,,,,,
1,0.8895219564437866,49,,,,,
1,0.9482367634773254,50,,,,,
1,0.815916121006012,51,,,,,
1,0.9212006330490112,52,,,,,
1,0.8890743851661682,53,,,,,
1,0.867902934551239,54,,,,,
1,0.8170472979545593,55,,,,,
1,0.7909135222434998,56,,,,,
1,0.8504821062088013,57,,,,,
1,0.7788308262825012,58,,,,,
1,0.8268771767616272,59,,,,,
1,0.7876660227775574,60,,,,,
1,0.7298510074615479,61,,,,,
1,0.7759361267089844,62,,,,,
1,0.6581667065620422,63,,,,,
1,0.7244601845741272,64,,,,,
1,0.6699771285057068,65,,,,,
1,0.6652872562408447,66,,,,,
1,0.7459973692893982,67,,,,,
1,0.6249134540557861,68,,,,,
1,0.7231130599975586,69,,,,,
1,0.6884578466415405,70,,,,,
1,0.6964043378829956,71,,,,,
1,0.5972620248794556,72,,,,,
