csv-train_loss_step,step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/micro,csv-accuracy/none,csv-train_loss_epoch
3.4453489780426025,0,0,,,,,
3.2407631874084473,1,0,,,,,
,0,,2.058075428009033,,,,
,1,0,,2.058075428009033,,,
,1,0,,,0.0,0.0,3.3430562019348145
2.737952947616577,2,1,,,,,
2.6232011318206787,3,1,,,,,
,1,,1.6900125741958618,,,,
,3,1,,1.6900125741958618,,,
,3,1,,,0.0,0.0,2.680576801300049
2.510375499725342,4,2,,,,,
2.3747966289520264,5,2,,,,,
,2,,1.5916489362716675,,,,
,5,2,,1.5916489362716675,,,
,5,2,,,0.0,0.0,2.4425859451293945
2.2893166542053223,6,3,,,,,
2.1119766235351562,7,3,,,,,
,3,,1.5118954181671143,,,,
,7,3,,1.5118954181671143,,,
,7,3,,,0.0,0.0,2.2006468772888184
1.9922178983688354,8,4,,,,,
1.8517427444458008,9,4,,,,,
,4,,1.4480340480804443,,,,
,9,4,,1.4480340480804443,,,
,9,4,,,0.0,0.0,1.9219802618026733
1.8467079401016235,10,5,,,,,
1.7654900550842285,11,5,,,,,
,5,,1.385611653327942,,,,
,11,5,,1.385611653327942,,,
,11,5,,,0.0,0.0,1.8060989379882812
1.7279057502746582,12,6,,,,,
1.6364679336547852,13,6,,,,,
,6,,1.3097259998321533,,,,
,13,6,,1.3097259998321533,,,
,13,6,,,0.0,0.0,1.6821868419647217
1.6219704151153564,14,7,,,,,
1.5471526384353638,15,7,,,,,
,7,,1.2251096963882446,,,,
,15,7,,1.2251096963882446,,,
,15,7,,,0.0,0.0,1.5845615863800049
1.4843266010284424,16,8,,,,,
1.4907888174057007,17,8,,,,,
,8,,1.1383508443832397,,,,
,17,8,,1.1383508443832397,,,
,17,8,,,0.0,0.0,1.4875577688217163
1.4092953205108643,18,9,,,,,
1.383280873298645,19,9,,,,,
,9,,1.06439208984375,,,,
,19,9,,1.06439208984375,,,
,19,9,,,0.0,0.0,1.3962881565093994
1.3684576749801636,20,10,,,,,
1.3051002025604248,21,10,,,,,
,10,,1.0064823627471924,,,,
,21,10,,1.0064823627471924,,,
,21,10,,,0.0,0.0,1.336778998374939
1.3000208139419556,22,11,,,,,
1.236513614654541,23,11,,,,,
,11,,0.9636825323104858,,,,
,23,11,,0.9636825323104858,,,
,23,11,,,0.0,0.0,1.2682671546936035
1.210243821144104,24,12,,,,,
1.2130507230758667,25,12,,,,,
,12,,0.9245662093162537,,,,
,25,12,,0.9245662093162537,,,
,25,12,,,0.0,0.0,1.2116472721099854
1.19002366065979,26,13,,,,,
1.1490464210510254,27,13,,,,,
,13,,0.8864414691925049,,,,
,27,13,,0.8864414691925049,,,
,27,13,,,0.0,0.0,1.1695351600646973
1.1458590030670166,28,14,,,,,
1.1109203100204468,29,14,,,,,
,14,,0.8462008237838745,,,,
,29,14,,0.8462008237838745,,,
,29,14,,,0.0,0.0,1.1283897161483765
1.1257792711257935,30,15,,,,,
1.088026523590088,31,15,,,,,
,15,,0.8044619560241699,,,,
,31,15,,0.8044619560241699,,,
,31,15,,,0.0,0.0,1.1069029569625854
1.0992296934127808,32,16,,,,,
1.0968780517578125,33,16,,,,,
,16,,0.7619413733482361,,,,
,33,16,,0.7619413733482361,,,
,33,16,,,0.0,0.0,1.0980538129806519
1.0771008729934692,34,17,,,,,
1.0503342151641846,35,17,,,,,
,17,,0.7254599332809448,,,,
,35,17,,0.7254599332809448,,,
,35,17,,,0.0,0.0,1.0637174844741821
1.0390924215316772,36,18,,,,,
1.0509008169174194,37,18,,,,,
,18,,0.6909799575805664,,,,
,37,18,,0.6909799575805664,,,
