csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
20,,104,,,0.0,0.07773836702108383,0.8125
21,0.07656429708003998,105,,,,,
21,0.056178055703639984,106,,,,,
21,0.08525271713733673,107,,,,,
21,0.09650272876024246,108,,,,,
21,0.053204115480184555,109,,,,,
,,21,0.07945851236581802,,,,
21,,109,,0.07945851236581802,,,
21,,109,,,0.0,0.07354038208723068,0.8958333730697632
22,0.09665493667125702,110,,,,,
22,0.0647299587726593,111,,,,,
22,0.05391890928149223,112,,,,,
22,0.0591692179441452,113,,,,,
22,0.07153810560703278,114,,,,,
,,22,0.07470081001520157,,,,
22,,114,,0.07470081001520157,,,
22,,114,,,0.0,0.06920222193002701,0.8958333730697632
23,0.07877185940742493,115,,,,,
23,0.04357991740107536,116,,,,,
23,0.057261306792497635,117,,,,,
23,0.09002046287059784,118,,,,,
23,0.059010691940784454,119,,,,,
,,23,0.07424555718898773,,,,
23,,119,,0.07424555718898773,,,
23,,119,,,0.0,0.06572884321212769,0.8958333730697632
24,0.0512564480304718,120,,,,,
24,0.07482074946165085,121,,,,,
24,0.08534372597932816,122,,,,,
24,0.05207979679107666,123,,,,,
24,0.059065110981464386,124,,,,,
,,24,0.07384375482797623,,,,
24,,124,,0.07384375482797623,,,
24,,124,,,0.0,0.06451316177845001,0.8541666865348816
25,0.05608370900154114,125,,,,,
25,0.05551546439528465,126,,,,,
25,0.043848104774951935,127,,,,,
25,0.06821689754724503,128,,,,,
25,0.05731378123164177,129,,,,,
,,25,0.06754504889249802,,,,
25,,129,,0.06754504144191742,,,
25,,129,,,0.0,0.05619557946920395,0.8958333730697632
26,0.05921578407287598,130,,,,,
26,0.050415925681591034,131,,,,,
26,0.07973605394363403,132,,,,,
26,0.041748594492673874,133,,,,,
26,0.058873437345027924,134,,,,,
,,26,0.0644783154129982,,,,
26,,134,,0.0644783154129982,,,
26,,134,,,0.0,0.057997964322566986,0.8958333730697632
27,0.08197392523288727,135,,,,,
27,0.0652950331568718,136,,,,,
27,0.04605688154697418,137,,,,,
27,0.04852555692195892,138,,,,,
27,0.0464039146900177,139,,,,,
,,27,0.06197044625878334,,,,
27,,139,,0.06197045370936394,,,
27,,139,,,0.0,0.05765106528997421,0.8958333730697632
28,0.05663745850324631,140,,,,,
28,0.039701301604509354,141,,,,,
28,0.06502213329076767,142,,,,,
28,0.05746982619166374,143,,,,,
28,0.040574681013822556,144,,,,,
,,28,0.06259435415267944,,,,
28,,144,,0.06259436160326004,,,
28,,144,,,0.0,0.051881082355976105,0.8958333730697632
29,0.03562862053513527,145,,,,,
29,0.06167935952544212,146,,,,,
29,0.06378380954265594,147,,,,,
29,0.06307244300842285,148,,,,,
29,0.04354843124747276,149,,,,,
,,29,0.058741211891174316,,,,
29,,149,,0.058741211891174316,,,
29,,149,,,0.0,0.05354253575205803,0.9166666865348816
30,0.046616654843091965,150,,,,,
30,0.0560460239648819,151,,,,,
30,0.041795406490564346,152,,,,,
30,0.05099862068891525,153,,,,,
30,0.05818752944469452,154,,,,,
,,30,0.05794011056423187,,,,
30,,154,,0.05794011428952217,,,
30,,154,,,0.0,0.050728846341371536,0.9166667461395264
31,0.03509199991822243,155,,,,,
31,0.06154421344399452,156,,,,,
31,0.039377015084028244,157,,,,,
31,0.049093931913375854,158,,,,,
31,0.04439369589090347,159,,,,,
,,31,0.05862848833203316,,,,
31,,159,,0.05862848833203316,,,
31,,159,,,0.0,0.04590017348527908,0.8958333730697632
32,0.03839775547385216,160,,,,,
32,0.04073068127036095,161,,,,,
32,0.048114463686943054,162,,,,,
32,0.050399407744407654,163,,,,,
32,0.04972663149237633,164,,,,,
,,32,0.05364745855331421,,,,
32,,164,,0.05364745855331421,,,
32,,164,,,0.0,0.04547378793358803,0.9166667461395264
33,0.021277880296111107,165,,,,,
33,0.03928360342979431,166,,,,,
33,0.04608424752950668,167,,,,,
33,0.056986767798662186,168,,,,,
33,0.03887113183736801,169,,,,,
,,33,0.05097503215074539,,,,
33,,169,,0.050975024700164795,,,
33,,169,,,0.0,0.04050072282552719,0.9166667461395264
34,0.03994842991232872,170,,,,,
34,0.037121329456567764,171,,,,,
34,0.026464566588401794,172,,,,,
34,0.049682192504405975,173,,,,,
34,0.05052618309855461,174,,,,,
,,34,0.051647625863552094,,,,
34,,174,,0.051647625863552094,,,
34,,174,,,0.0,0.040748536586761475,0.9166667461395264
35,0.025988442823290825,175,,,,,
35,0.04685363918542862,176,,,,,
35,0.02896297164261341,177,,,,,
35,0.06069742143154144,178,,,,,
35,0.05459556728601456,179,,,,,
,,35,0.05166002735495567,,,,
35,,179,,0.051660019904375076,,,
35,,179,,,0.0,0.04341960698366165,0.9166667461395264
36,0.04189449921250343,180,,,,,
36,0.03624811768531799,181,,,,,
36,0.046400249004364014,182,,,,,
36,0.031423170119524,183,,,,,
36,0.041747454553842545,184,,,,,
,,36,0.04700218886137009,,,,
36,,184,,0.04700218886137009,,,
36,,184,,,0.0,0.03954269737005234,0.9375
37,0.051550962030887604,185,,,,,
37,0.049933966249227524,186,,,,,
37,0.021284228190779686,187,,,,,
37,0.03889229893684387,188,,,,,
37,0.034752171486616135,189,,,,,
,,37,0.046905286610126495,,,,
37,,189,,0.046905286610126495,,,
37,,189,,,0.0,0.039282724261283875,0.9166667461395264
38,0.058796416968107224,190,,,,,
38,0.04128746688365936,191,,,,,
38,0.028500860556960106,192,,,,,
38,0.026956211775541306,193,,,,,
38,0.03955589234828949,194,,,,,
,,38,0.053482215851545334,,,,
38,,194,,0.053482212126255035,,,
38,,194,,,0.0,0.03901936858892441,0.9166667461395264
39,0.045545198023319244,195,,,,,
39,0.046663496643304825,196,,,,,
39,0.018178856000304222,197,,,,,
39,0.026708045974373817,198,,,,,
39,0.04014691710472107,199,,,,,
,,39,0.04736655578017235,,,,
39,,199,,0.04736655205488205,,,
39,,199,,,0.0,0.03544849902391434,0.9375
40,0.024823877960443497,200,,,,,
40,0.03752665966749191,201,,,,,
40,0.03557975962758064,202,,,,,
40,0.037206098437309265,203,,,,,
40,0.023946529254317284,204,,,,,
,,40,0.048570409417152405,,,,
40,,204,,0.048570409417152405,,,
40,,204,,,0.0,0.03181658685207367,0.9375
41,0.0412227027118206,205,,,,,
41,0.028680739924311638,206,,,,,
41,0.025682631880044937,207,,,,,
41,0.03937690332531929,208,,,,,
