csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/micro,csv-train_loss_epoch,csv-accuracy/none
2.7163071632385254,0,0,,,,,
2.4230690002441406,0,1,,,,,
2.045515298843384,0,2,,,,,
2.093245029449463,0,3,,,,,
1.914874792098999,0,4,,,,,
1.8387279510498047,0,5,,,,,
1.8007938861846924,0,6,,,,,
1.7563557624816895,0,7,,,,,
1.6431177854537964,0,8,,,,,
1.612583875656128,0,9,,,,,
1.569946050643921,0,10,,,,,
1.521761417388916,0,11,,,,,
1.4505407810211182,0,12,,,,,
1.435370683670044,0,13,,,,,
1.4082096815109253,0,14,,,,,
1.3090265989303589,0,15,,,,,
1.306673526763916,0,16,,,,,
1.2464308738708496,0,17,,,,,
1.2086012363433838,0,18,,,,,
1.1401768922805786,0,19,,,,,
1.1253654956817627,0,20,,,,,
1.0875083208084106,0,21,,,,,
1.0796184539794922,0,22,,,,,
0.9530417323112488,0,23,,,,,
1.0019725561141968,0,24,,,,,
0.9313371181488037,0,25,,,,,
0.8679652214050293,0,26,,,,,
0.8774256706237793,0,27,,,,,
0.8203282356262207,0,28,,,,,
0.7963515520095825,0,29,,,,,
0.7654603123664856,0,30,,,,,
0.7698960304260254,0,31,,,,,
0.7259140610694885,0,32,,,,,
0.6838374733924866,0,33,,,,,
0.687549352645874,0,34,,,,,
0.7069990038871765,0,35,,,,,
0.6454678177833557,0,36,,,,,
0.6599191427230835,0,37,,,,,
0.606805682182312,0,38,,,,,
0.6090558767318726,0,39,,,,,
0.5752092599868774,0,40,,,,,
0.5336655974388123,0,41,,,,,
0.5635991096496582,0,42,,,,,
0.5234698057174683,0,43,,,,,
0.49137091636657715,0,44,,,,,
0.49891233444213867,0,45,,,,,
0.5037335157394409,0,46,,,,,
0.4681043326854706,0,47,,,,,
0.5008080005645752,0,48,,,,,
0.44412195682525635,0,49,,,,,
0.4192538261413574,0,50,,,,,
0.483719140291214,0,51,,,,,
0.49030858278274536,0,52,,,,,
0.3834512531757355,0,53,,,,,
0.3729054033756256,0,54,,,,,
0.3663955628871918,0,55,,,,,
0.34573137760162354,0,56,,,,,
0.3450366258621216,0,57,,,,,
0.36223313212394714,0,58,,,,,
0.3224882483482361,0,59,,,,,
0.3109287917613983,0,60,,,,,
0.3193885087966919,0,61,,,,,
0.2983611822128296,0,62,,,,,
0.3019658327102661,0,63,,,,,
0.2713915705680847,0,64,,,,,
0.2624521553516388,0,65,,,,,
0.2385353147983551,0,66,,,,,
0.23281261324882507,0,67,,,,,
0.22484606504440308,0,68,,,,,
0.242986798286438,0,69,,,,,
0.2066996544599533,0,70,,,,,
0.23448236286640167,0,71,,,,,
0.23588965833187103,0,72,,,,,
0.2063259482383728,0,73,,,,,
0.20563307404518127,0,74,,,,,
0.2434345930814743,0,75,,,,,
0.18206457793712616,0,76,,,,,
0.2009575217962265,0,77,,,,,
0.14971007406711578,0,78,,,,,
0.14887787401676178,0,79,,,,,
,,0,0.226429283618927,,,,
,,1,0.1850157082080841,,,,
,,2,0.0764680877327919,,,,
,,3,0.12375589460134506,,,,
,,4,0.03708237409591675,,,,
,,5,0.08003893494606018,,,,
,,6,0.08717397600412369,,,,
,,7,0.03345155715942383,,,,
,,8,0.09176718443632126,,,,
