csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/none,csv-accuracy/micro,csv-train_loss_epoch
22,0.1629599630832672,158,,,,,
22,0.1701023429632187,159,,,,,
22,0.1609461009502411,160,,,,,
,,22,0.09118214249610901,,,,
22,,160,,0.09118213504552841,,,
22,,160,,,0.392857164144516,0.8571429252624512,0.17602990567684174
23,0.19936534762382507,161,,,,,
23,0.1780918538570404,162,,,,,
23,0.16955891251564026,163,,,,,
23,0.1758597493171692,164,,,,,
23,0.15553364157676697,165,,,,,
23,0.15180550515651703,166,,,,,
23,0.17688030004501343,167,,,,,
,,23,0.0878993421792984,,,,
23,,167,,0.0878993421792984,,,
23,,167,,,0.3571428656578064,0.875,0.17210079729557037
24,0.15132857859134674,168,,,,,
24,0.14210037887096405,169,,,,,
24,0.1570112705230713,170,,,,,
24,0.16442319750785828,171,,,,,
24,0.18315474689006805,172,,,,,
24,0.1590510904788971,173,,,,,
24,0.135603666305542,174,,,,,
,,24,0.08379223942756653,,,,
24,,174,,0.08379224687814713,,,
24,,174,,,0.3392857313156128,0.8392857313156128,0.1576724797487259
25,0.16561393439769745,175,,,,,
25,0.14997538924217224,176,,,,,
25,0.16327756643295288,177,,,,,
25,0.1396561563014984,178,,,,,
25,0.15494278073310852,179,,,,,
25,0.15786102414131165,180,,,,,
25,0.14402775466442108,181,,,,,
,,25,0.08059785515069962,,,,
25,,181,,0.08059785515069962,,,
25,,181,,,0.392857164144516,0.8392857313156128,0.1543600857257843
26,0.14164157211780548,182,,,,,
26,0.16400651633739471,183,,,,,
26,0.15200908482074738,184,,,,,
26,0.14688047766685486,185,,,,,
26,0.14988768100738525,186,,,,,
26,0.16478897631168365,187,,,,,
26,0.16107439994812012,188,,,,,
,,26,0.07868856191635132,,,,
26,,188,,0.07868856191635132,,,
26,,188,,,0.4107142984867096,0.8214285969734192,0.15380790829658508
27,0.14326868951320648,189,,,,,
27,0.1313587725162506,190,,,,,
27,0.13813990354537964,191,,,,,
27,0.15782447159290314,192,,,,,
27,0.1512630730867386,193,,,,,
27,0.14591524004936218,194,,,,,
27,0.14338888227939606,195,,,,,
,,27,0.08270229399204254,,,,
27,,195,,0.08270230144262314,,,
27,,195,,,0.392857164144516,0.910714328289032,0.14453302323818207
28,0.14364250004291534,196,,,,,
28,0.1528366655111313,197,,,,,
28,0.13745439052581787,198,,,,,
28,0.16041216254234314,199,,,,,
28,0.15281443297863007,200,,,,,
28,0.12618622183799744,201,,,,,
28,0.14104507863521576,202,,,,,
,,28,0.08256088942289352,,,,
28,,202,,0.08256089687347412,,,
28,,202,,,0.392857164144516,0.910714328289032,0.14521059393882751
29,0.12568266689777374,203,,,,,
29,0.14535976946353912,204,,,,,
29,0.14594990015029907,205,,,,,
29,0.11705023050308228,206,,,,,
29,0.12813501060009003,207,,,,,
29,0.1268097162246704,208,,,,,
29,0.15661248564720154,209,,,,,
,,29,0.0765959843993187,,,,
29,,209,,0.0765959843993187,,,
29,,209,,,0.3571428954601288,0.8750000596046448,0.13342978060245514
