csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/exact,csv-accuracy/validator
12.550973892211914,0,0,,,,,
0.842059314250946,0,1,,,,,
0.18519458174705505,0,2,,,,,
0.2066946178674698,0,3,,,,,
0.19333183765411377,0,4,,,,,
0.11777940392494202,0,5,,,,,
0.21676060557365417,0,6,,,,,
0.1308855414390564,0,7,,,,,
0.1229650229215622,0,8,,,,,
0.17979896068572998,0,9,,,,,
0.10975079983472824,0,10,,,,,
0.12252238392829895,0,11,,,,,
0.147825226187706,0,12,,,,,
0.12669841945171356,0,13,,,,,
0.09938578307628632,0,14,,,,,
0.1039738729596138,0,15,,,,,
0.1451713591814041,0,16,,,,,
0.12237483263015747,0,17,,,,,
0.1224900484085083,0,18,,,,,
0.12918555736541748,0,19,,,,,
0.09883365035057068,0,20,,,,,
0.10815511643886566,0,21,,,,,
0.11249516159296036,0,22,,,,,
0.11612638831138611,0,23,,,,,
0.11169801652431488,0,24,,,,,
0.10067141801118851,0,25,,,,,
0.07188469171524048,0,26,,,,,
0.09773296117782593,0,27,,,,,
0.1097729504108429,0,28,,,,,
0.10403542965650558,0,29,,,,,
0.10948667675256729,0,30,,,,,
0.08480102568864822,0,31,,,,,
0.0943819135427475,0,32,,,,,
0.0815630555152893,0,33,,,,,
0.11946311593055725,0,34,,,,,
0.10858888924121857,0,35,,,,,
0.06734424829483032,0,36,,,,,
0.11164474487304688,0,37,,,,,
0.0807076245546341,0,38,,,,,
0.09352186322212219,0,39,,,,,
0.10935775935649872,0,40,,,,,
0.07072076201438904,0,41,,,,,
0.10117711126804352,0,42,,,,,
0.1458207070827484,0,43,,,,,
0.05895783007144928,0,44,,,,,
0.07751938700675964,0,45,,,,,
0.048512838780879974,0,46,,,,,
0.07868267595767975,0,47,,,,,
0.12287755310535431,0,48,,,,,
0.09056006371974945,0,49,,,,,
0.059423431754112244,0,50,,,,,
0.03394096717238426,0,51,,,,,
0.10200370103120804,0,52,,,,,
0.08191053569316864,0,53,,,,,
0.061558790504932404,0,54,,,,,
0.05751911178231239,0,55,,,,,
0.08927392959594727,0,56,,,,,
0.031220410019159317,0,57,,,,,
0.06216156482696533,0,58,,,,,
0.051501430571079254,0,59,,,,,
0.03997987508773804,0,60,,,,,
0.04467929154634476,0,61,,,,,
0.04468875378370285,0,62,,,,,
0.05349385738372803,0,63,,,,,
0.07838308811187744,0,64,,,,,
0.07282838225364685,0,65,,,,,
0.08222092688083649,0,66,,,,,
0.04845812916755676,0,67,,,,,
0.04604717344045639,0,68,,,,,
0.04383769631385803,0,69,,,,,
0.06506095081567764,0,70,,,,,
0.028296705335378647,0,71,,,,,
0.058488186448812485,0,72,,,,,
