csv-train_loss_step,step,csv-epoch,csv-val_loss_step
3.622309684753418,0,0,
3.380805492401123,1,0,
3.051348924636841,2,0,
2.818084716796875,3,0,
2.581512212753296,4,0,
2.6925735473632812,5,0,
2.5798590183258057,6,0,
2.368157386779785,7,0,
2.2283713817596436,8,0,
2.1952333450317383,9,0,
2.0142815113067627,10,0,
2.159646987915039,11,0,
1.9967703819274902,12,0,
1.9349370002746582,13,0,
1.8631744384765625,14,0,
1.8473386764526367,15,0,
1.7295899391174316,16,0,
1.5909045934677124,17,0,
1.5987945795059204,18,0,
1.6667536497116089,19,0,
1.5771095752716064,20,0,
1.453635811805725,21,0,
1.4869815111160278,22,0,
1.3889704942703247,23,0,
1.3579798936843872,24,0,
1.4164971113204956,25,0,
1.4102998971939087,26,0,
1.3995399475097656,27,0,
1.361757516860962,28,0,
1.303556203842163,29,0,
1.2704987525939941,30,0,
1.2758851051330566,31,0,
,0,,0.9552303552627563
