csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
0,3.302117347717285,0,,,,,
0,3.585728406906128,1,,,,,
0,2.9424898624420166,2,,,,,
0,2.944948673248291,3,,,,,
0,2.657923936843872,4,,,,,
0,3.051865816116333,5,,,,,
0,2.707284688949585,6,,,,,
0,2.4149091243743896,7,,,,,
0,2.185157537460327,8,,,,,
0,2.278815507888794,9,,,,,
,,0,1.5761935710906982,,,,
,,1,1.8669852018356323,,,,
,,2,1.5246886014938354,,,,
,,3,1.5437092781066895,,,,
,,4,1.5178054571151733,,,,
,,5,1.6197376251220703,,,,
,,6,1.7662339210510254,,,,
,,7,1.7970988750457764,,,,
,,8,1.466281771659851,,,,
,,9,1.5763918161392212,,,,
0,,9,,1.625512719154358,,,
0,,9,,,2.7853167057037354,0.0,0.0
1,1.9944736957550049,10,,,,,
1,1.9077894687652588,11,,,,,
1,1.6089829206466675,12,,,,,
1,1.7838571071624756,13,,,,,
1,1.6976251602172852,14,,,,,
1,1.935957670211792,15,,,,,
1,1.718703269958496,16,,,,,
1,1.510530948638916,17,,,,,
1,1.675809383392334,18,,,,,
1,1.748669981956482,19,,,,,
,,10,1.0591875314712524,,,,
,,11,1.3259469270706177,,,,
,,12,1.0452183485031128,,,,
,,13,1.084099531173706,,,,
,,14,1.0167430639266968,,,,
,,15,1.1909029483795166,,,,
,,16,1.2608797550201416,,,,
,,17,1.26693594455719,,,,
,,18,0.9675465226173401,,,,
,,19,1.0502805709838867,,,,
1,,19,,1.1267740726470947,,,
1,,19,,,1.7686039209365845,0.0,0.0
2,1.6684041023254395,20,,,,,
2,1.663037896156311,21,,,,,
2,1.5504157543182373,22,,,,,
2,1.3857651948928833,23,,,,,
2,1.4957654476165771,24,,,,,
2,1.4809763431549072,25,,,,,
2,1.3728864192962646,26,,,,,
2,1.2534325122833252,27,,,,,
2,1.3515175580978394,28,,,,,
2,1.254330039024353,29,,,,,
,,20,0.8317240476608276,,,,
,,21,1.0649679899215698,,,,
,,22,0.8031559586524963,,,,
,,23,0.8620713949203491,,,,
,,24,0.741642415523529,,,,
,,25,0.971805989742279,,,,
,,26,1.0230669975280762,,,,
,,27,1.038885474205017,,,,
,,28,0.7278993725776672,,,,
,,29,0.7722542881965637,,,,
2,,29,,0.883747398853302,,,
2,,29,,,1.3515307903289795,0.0625,0.0
3,1.2622008323669434,30,,,,,
3,1.1940865516662598,31,,,,,
3,1.1103148460388184,32,,,,,
3,1.0964183807373047,33,,,,,
3,1.1486485004425049,34,,,,,
3,1.0508043766021729,35,,,,,
3,1.129414439201355,36,,,,,
3,1.0867573022842407,37,,,,,
3,1.0121572017669678,38,,,,,
3,1.114874243736267,39,,,,,
,,30,0.6678495407104492,,,,
,,31,0.8884252905845642,,,,
,,32,0.6527305245399475,,,,
,,33,0.7169381976127625,,,,
,,34,0.6128754019737244,,,,
,,35,0.851149320602417,,,,
,,36,0.8801656365394592,,,,
,,37,0.9332326650619507,,,,
,,38,0.5227653980255127,,,,
,,39,0.5782585740089417,,,,
3,,39,,0.7304390668869019,,,
3,,39,,,1.127136468887329,0.08749999850988388,0.0
4,1.033525824546814,40,,,,,
4,1.2549415826797485,41,,,,,
4,0.9694443345069885,42,,,,,
4,0.8387600183486938,43,,,,,
4,1.0532751083374023,44,,,,,
4,0.8943148255348206,45,,,,,
4,0.8543892502784729,46,,,,,
4,0.8352030515670776,47,,,,,
4,0.7573255300521851,48,,,,,
4,1.0183160305023193,49,,,,,
,,40,0.5845702290534973,,,,
,,41,0.7536143660545349,,,,
,,42,0.5875880718231201,,,,
,,43,0.6865930557250977,,,,
,,44,0.5776494145393372,,,,
,,45,0.8308369517326355,,,,
,,46,0.8018529415130615,,,,
,,47,0.8797804713249207,,,,
,,48,0.4385720193386078,,,,
,,49,0.5429330468177795,,,,
4,,49,,0.6683990359306335,,,
4,,49,,,0.9428082704544067,0.07500000298023224,0.0
5,0.7506415247917175,50,,,,,
5,0.8888594508171082,51,,,,,
5,0.790737509727478,52,,,,,
5,0.7466011643409729,53,,,,,
5,0.724259078502655,54,,,,,
