csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
0,2.6410529613494873,0,,,,,
0,2.3059349060058594,1,,,,,
0,2.1133012771606445,2,,,,,
,,0,1.417356252670288,,,,
0,,2,,1.4173563718795776,,,
0,,2,,,0.0,2.4014556407928467,0.0
1,1.9962568283081055,3,,,,,
1,1.831714391708374,4,,,,,
1,1.740327000617981,5,,,,,
,,1,1.2797024250030518,,,,
1,,5,,1.2797025442123413,,,
1,,5,,,0.0,1.8792539834976196,0.0
2,1.6915030479431152,6,,,,,
2,1.6364890336990356,7,,,,,
2,1.6154028177261353,8,,,,,
,,2,1.1755306720733643,,,,
2,,8,,1.1755305528640747,,,
2,,8,,,0.0,1.6542772054672241,0.0
3,1.5243034362792969,9,,,,,
3,1.4683195352554321,10,,,,,
3,1.4864895343780518,11,,,,,
,,3,1.1148569583892822,,,,
3,,11,,1.1148569583892822,,,
3,,11,,,0.0,1.494347095489502,0.0
4,1.3929307460784912,12,,,,,
4,1.3648569583892822,13,,,,,
4,1.2989625930786133,14,,,,,
,,4,0.9979226589202881,,,,
4,,14,,0.9979225993156433,,,
4,,14,,,0.0,1.3629075288772583,0.0
5,1.2580373287200928,15,,,,,
5,1.2182916402816772,16,,,,,
5,1.1702083349227905,17,,,,,
,,5,0.8442331552505493,,,,
5,,17,,0.8442330360412598,,,
5,,17,,,0.0,1.2245732545852661,0.0
6,1.1564925909042358,18,,,,,
6,1.0743012428283691,19,,,,,
6,1.0977555513381958,20,,,,,
,,6,0.7318428754806519,,,,
6,,20,,0.7318428158760071,,,
6,,20,,,0.0,1.1118687391281128,0.0
7,0.9802188873291016,21,,,,,
7,1.015458106994629,22,,,,,
7,0.9287665486335754,23,,,,,
,,7,0.6698905229568481,,,,
7,,23,,0.6698905825614929,,,
7,,23,,,0.0,0.984024167060852,0.0
8,0.9283995032310486,24,,,,,
8,0.8654857873916626,25,,,,,
8,0.8363187909126282,26,,,,,
,,8,0.5970328450202942,,,,
8,,26,,0.5970328450202942,,,
8,,26,,,0.0,0.884817898273468,0.0
9,0.8171960115432739,27,,,,,
9,0.8356258273124695,28,,,,,
9,0.6910057663917542,29,,,,,
,,9,0.5238704681396484,,,,
9,,29,,0.5238704085350037,,,
9,,29,,,0.0,0.7993298768997192,0.0
10,0.7586652636528015,30,,,,,
10,0.7141342759132385,31,,,,,
10,0.7116819024085999,32,,,,,
,,10,0.45392149686813354,,,,
10,,32,,0.45392152667045593,,,
10,,32,,,0.0,0.7314561605453491,0.0
11,0.6545389294624329,33,,,,,
11,0.6557260155677795,34,,,,,
11,0.622076153755188,35,,,,,
,,11,0.3891661465167999,,,,
11,,35,,0.3891662061214447,,,
11,,35,,,0.0,0.6485212445259094,0.0
12,0.6093981266021729,36,,,,,
12,0.6045358180999756,37,,,,,
12,0.558074414730072,38,,,,,
,,12,0.33026325702667236,,,,
12,,38,,0.33026328682899475,,,
12,,38,,,0.0,0.597188413143158,0.0
13,0.5437538623809814,39,,,,,
13,0.5145689249038696,40,,,,,
13,0.5665155053138733,41,,,,,
,,13,0.2731081247329712,,,,
13,,41,,0.2731081247329712,,,
13,,41,,,0.0,0.5366321802139282,0.0
14,0.5116328597068787,42,,,,,
14,0.4691309332847595,43,,,,,
14,0.4432540535926819,44,,,,,
,,14,0.23815762996673584,,,,
14,,44,,0.23815764486789703,,,
14,,44,,,0.0,0.4809563159942627,0.0
15,0.42767807841300964,45,,,,,
15,0.4514915943145752,46,,,,,
15,0.46506577730178833,47,,,,,
,,15,0.20597094297409058,,,,
15,,47,,0.20597094297409058,,,
15,,47,,,0.0,0.4446810781955719,0.0
16,0.40043917298316956,48,,,,,
16,0.40385204553604126,49,,,,,
16,0.3882439434528351,50,,,,,
,,16,0.1784249097108841,,,,
16,,50,,0.1784249097108841,,,
16,,50,,,0.0,0.39936524629592896,0.0
17,0.3836275339126587,51,,,,,
17,0.38346168398857117,52,,,,,
17,0.31861892342567444,53,,,,,
,,17,0.1671767234802246,,,,
17,,53,,0.1671767234802246,,,
17,,53,,,0.0,0.3705594837665558,0.0
18,0.33422860503196716,54,,,,,
18,0.3292786180973053,55,,,,,
18,0.3613557815551758,56,,,,,
,,18,0.11847078800201416,,,,
18,,56,,0.11847079545259476,,,
18,,56,,,0.0416666679084301,0.3376740515232086,0.0416666679084301
19,0.30163225531578064,57,,,,,
19,0.29907700419425964,58,,,,,
19,0.29379037022590637,59,,,,,
