csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/exact
0,7.713122367858887,0,,,,
0,7.924328804016113,1,,,,
0,6.882739067077637,2,,,,
0,6.195995330810547,3,,,,
0,6.117048263549805,4,,,,
0,5.72267484664917,5,,,,
0,5.819300651550293,6,,,,
0,5.389132976531982,7,,,,
0,5.830047607421875,8,,,,
0,5.062887668609619,9,,,,
0,5.0829176902771,10,,,,
0,4.521485328674316,11,,,,
0,4.577055931091309,12,,,,
,,0,3.426614999771118,,,
,,1,3.417935609817505,,,
0,,12,,3.423276662826538,,
0,,12,,,5.923619747161865,0.0
1,4.5186944007873535,13,,,,
1,4.272909641265869,14,,,,
1,4.1832733154296875,15,,,,
1,4.010141372680664,16,,,,
1,3.981471538543701,17,,,,
1,3.5899195671081543,18,,,,
1,3.5877764225006104,19,,,,
1,3.5516350269317627,20,,,,
1,3.499837636947632,21,,,,
1,3.341327428817749,22,,,,
1,3.38379168510437,23,,,,
1,3.146652936935425,24,,,,
1,3.043759822845459,25,,,,
,,2,2.377194881439209,,,
,,3,2.4214186668395996,,,
1,,25,,2.3942041397094727,,
1,,25,,,3.707240104675293,0.0
2,2.874854564666748,26,,,,
2,2.828634262084961,27,,,,
2,2.73532772064209,28,,,,
2,2.7520267963409424,29,,,,
2,2.762094497680664,30,,,,
2,2.5335946083068848,31,,,,
2,2.547830104827881,32,,,,
2,2.3519134521484375,33,,,,
2,2.4458329677581787,34,,,,
2,2.231201410293579,35,,,,
2,2.517894744873047,36,,,,
2,2.465153932571411,37,,,,
2,2.452728033065796,38,,,,
,,4,2.177677631378174,,,
,,5,2.2354564666748047,,,
2,,38,,2.1999003887176514,,
2,,38,,,2.5780580043792725,0.05937499925494194
3,2.1519670486450195,39,,,,
3,2.4006471633911133,40,,,,
3,2.385300636291504,41,,,,
3,2.2597036361694336,42,,,,
3,2.1259067058563232,43,,,,
3,2.2476067543029785,44,,,,
3,2.3396079540252686,45,,,,
3,2.1489436626434326,46,,,,
3,2.270631790161133,47,,,,
3,2.2480742931365967,48,,,,
3,2.216120719909668,49,,,,
3,2.1767830848693848,50,,,,
3,2.2736759185791016,51,,,,
,,6,2.0732386112213135,,,
,,7,2.133497714996338,,,
3,,51,,2.0964150428771973,,
3,,51,,,2.2493793964385986,0.1328125
4,2.180978298187256,52,,,,
4,2.109787702560425,53,,,,
4,2.04884672164917,54,,,,
4,2.2104029655456543,55,,,,
4,2.068995475769043,56,,,,
