csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/exact
0,6.2506208419799805,0,,,,
0,5.960690021514893,1,,,,
0,5.51690673828125,2,,,,
0,5.199424743652344,3,,,,
0,4.787595748901367,4,,,,
0,4.865224361419678,5,,,,
0,4.572849273681641,6,,,,
0,4.2855072021484375,7,,,,
0,4.351255416870117,8,,,,
0,4.192714214324951,9,,,,
0,3.9905059337615967,10,,,,
0,4.007053375244141,11,,,,
0,4.007208824157715,12,,,,
,,0,3.246157169342041,,,
,,1,3.2091050148010254,,,
0,,12,,3.2319064140319824,,
0,,12,,,4.775662422180176,0.0
1,3.8315601348876953,13,,,,
1,3.724087715148926,14,,,,
1,3.6982741355895996,15,,,,
1,3.662653923034668,16,,,,
1,3.438417673110962,17,,,,
1,3.475123882293701,18,,,,
1,3.36561918258667,19,,,,
1,3.2768125534057617,20,,,,
1,3.326630115509033,21,,,,
1,3.131699562072754,22,,,,
1,3.244537830352783,23,,,,
1,3.1435227394104004,24,,,,
1,2.9361379146575928,25,,,,
,,2,2.6382956504821777,,,
,,3,2.634169816970825,,,
1,,25,,2.6367087364196777,,
1,,25,,,3.4087812900543213,0.0
2,3.0955896377563477,26,,,,
2,3.036069393157959,27,,,,
2,2.9522221088409424,28,,,,
2,2.886636257171631,29,,,,
2,2.803191661834717,30,,,,
2,2.8229033946990967,31,,,,
2,2.754270076751709,32,,,,
2,2.74501633644104,33,,,,
2,2.7622604370117188,34,,,,
2,2.6928396224975586,35,,,,
2,2.693716287612915,36,,,,
2,2.659097671508789,37,,,,
2,2.6316874027252197,38,,,,
,,4,2.4525697231292725,,,
,,5,2.4529199600219727,,,
2,,38,,2.452704429626465,,
2,,38,,,2.8121583461761475,0.0
3,2.636314868927002,39,,,,
3,2.6585090160369873,40,,,,
3,2.6234941482543945,41,,,,
3,2.594477653503418,42,,,,
3,2.581305980682373,43,,,,
3,2.5759944915771484,44,,,,
3,2.5739495754241943,45,,,,
3,2.543792724609375,46,,,,
3,2.5275416374206543,47,,,,
3,2.5473313331604004,48,,,,
3,2.5334575176239014,49,,,,
3,2.529872417449951,50,,,,
3,2.522568702697754,51,,,,
,,6,2.4152638912200928,,,
,,7,2.409010171890259,,,
3,,51,,2.412858486175537,,
3,,51,,,2.5734593868255615,0.0
4,2.5196022987365723,52,,,,
4,2.5165035724639893,53,,,,
4,2.5226378440856934,54,,,,
4,2.533247709274292,55,,,,
4,2.488227367401123,56,,,,
4,2.4931938648223877,57,,,,
4,2.485048532485962,58,,,,
4,2.4905660152435303,59,,,,
4,2.4862706661224365,60,,,,
4,2.497140645980835,61,,,,
4,2.4804494380950928,62,,,,
4,2.4926083087921143,63,,,,
4,2.485927104949951,64,,,,
,,8,2.3702194690704346,,,
,,9,2.360060691833496,,,
4,,64,,2.366312265396118,,
4,,64,,,2.4994704723358154,0.0
5,2.4516420364379883,65,,,,
5,2.483567714691162,66,,,,
5,2.471132516860962,67,,,,
5,2.47965145111084,68,,,,
5,2.4490180015563965,69,,,,
5,2.4593124389648438,70,,,,
5,2.4708149433135986,71,,,,
5,2.453016519546509,72,,,,
