csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-train_loss_epoch
50,650,0.5972603559494019,,,,
50,651,0.5866504311561584,,,,
50,652,0.5979539155960083,,,,
50,653,0.5872219204902649,,,,
50,654,0.5979960560798645,,,,
50,655,0.600834846496582,,,,
50,656,0.5886886715888977,,,,
50,657,0.5907813906669617,,,,
50,658,0.5950914621353149,,,,
50,659,0.609525740146637,,,,
50,660,0.6087125539779663,,,,
50,661,0.5958300828933716,,,,
50,662,0.5987350940704346,,,,
,0,,0.573728084564209,,,
,1,,0.6042830944061279,,,
50,662,,,0.5854800343513489,,
50,662,,,,0.0,0.5965390801429749
51,663,0.5993397831916809,,,,
51,664,0.5877445936203003,,,,
51,665,0.5852034091949463,,,,
51,666,0.5939599275588989,,,,
51,667,0.5902140736579895,,,,
51,668,0.5744898319244385,,,,
51,669,0.5842899084091187,,,,
51,670,0.6160675287246704,,,,
51,671,0.6011462807655334,,,,
51,672,0.5921905040740967,,,,
51,673,0.5848281979560852,,,,
51,674,0.5996257066726685,,,,
51,675,0.5995544195175171,,,,
,2,,0.5837738513946533,,,
,3,,0.6080436706542969,,,
51,675,,,0.5931083559989929,,
51,675,,,,0.0,0.5929095149040222
52,676,0.5931378602981567,,,,
52,677,0.5925352573394775,,,,
52,678,0.5821582078933716,,,,
52,679,0.5842311382293701,,,,
52,680,0.5815705060958862,,,,
52,681,0.5907060503959656,,,,
52,682,0.6037277579307556,,,,
52,683,0.5888954997062683,,,,
52,684,0.577307403087616,,,,
52,685,0.5915693044662476,,,,
52,686,0.5888151526451111,,,,
52,687,0.5929332971572876,,,,
52,688,0.590674638748169,,,,
,4,,0.5775753855705261,,,
,5,,0.6035142540931702,,,
52,688,,,0.5875518321990967,,
52,688,,,,0.0,0.5890817642211914
53,689,0.5735483169555664,,,,
53,690,0.5854450464248657,,,,
53,691,0.5729174017906189,,,,
53,692,0.609978973865509,,,,
53,693,0.5870641469955444,,,,
53,694,0.5941556096076965,,,,
53,695,0.5977906584739685,,,,
53,696,0.5918942093849182,,,,
53,697,0.57769376039505,,,,
53,698,0.598806619644165,,,,
53,699,0.6085405349731445,,,,
53,700,0.5891796350479126,,,,
53,701,0.5838853120803833,,,,
,6,,0.5739784240722656,,,
,7,,0.598556399345398,,,
53,701,,,0.5834314823150635,,
