step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
32,,,0.6794305443763733,,,,
32,,10,,0.6449659466743469,,,
32,,10,,,1.1770952939987183,0.125,0.0
33,1.0649127960205078,11,,,,,
34,1.2244828939437866,11,,,,,
35,0.8979511260986328,11,,,,,
33,,,0.41511502861976624,,,,
34,,,0.5415101647377014,,,,
35,,,0.5321499109268188,,,,
35,,11,,0.4890800416469574,,,
35,,11,,,0.9756884574890137,0.2083333283662796,0.0
36,0.7250655293464661,12,,,,,
37,0.8743226528167725,12,,,,,
38,1.1557642221450806,12,,,,,
36,,,0.3474687933921814,,,,
37,,,0.44852858781814575,,,,
38,,,0.44655609130859375,,,,
38,,12,,0.40771016478538513,,,
38,,12,,,0.8719450235366821,0.2083333283662796,0.0
39,0.9274699091911316,13,,,,,
40,0.8071544170379639,13,,,,,
41,0.692923903465271,13,,,,,
39,,,0.2879856526851654,,,,
40,,,0.37288787961006165,,,,
41,,,0.3873653709888458,,,,
41,,13,,0.34182247519493103,,,
41,,13,,,0.8230120539665222,0.2083333283662796,0.0
42,0.6824641823768616,14,,,,,
43,0.9133424758911133,14,,,,,
44,0.4948081076145172,14,,,,,
42,,,0.22902214527130127,,,,
43,,,0.32503166794776917,,,,
44,,,0.32837435603141785,,,,
44,,14,,0.2872963845729828,,,
44,,14,,,0.7206968665122986,0.375,0.0416666679084301
45,0.7046603560447693,15,,,,,
46,0.6894110441207886,15,,,,,
47,0.6617783308029175,15,,,,,
45,,,0.17306935787200928,,,,
46,,,0.26214128732681274,,,,
47,,,0.26091480255126953,,,,
47,,15,,0.22626721858978271,,,
47,,15,,,0.6484163403511047,0.7083333134651184,0.375
48,0.42197540402412415,16,,,,,
49,0.5919539928436279,16,,,,,
50,0.7532380223274231,16,,,,,
48,,,0.15246523916721344,,,,
49,,,0.24196207523345947,,,,
50,,,0.21862271428108215,,,,
50,,16,,0.2014954537153244,,,
50,,16,,,0.5819331407546997,0.6666666865348816,0.375
51,0.3555978536605835,17,,,,,
52,0.5818312168121338,17,,,,,
53,0.6432268023490906,17,,,,,
51,,,0.1298404186964035,,,,
52,,,0.2378772497177124,,,,
53,,,0.1935831755399704,,,,
53,,17,,0.18580371141433716,,,
53,,17,,,0.5106490254402161,0.4583333432674408,0.25
54,0.39872342348098755,18,,,,,
55,0.6248385906219482,18,,,,,
56,0.9014244675636292,18,,,,,
54,,,0.10926127433776855,,,,
55,,,0.19951848685741425,,,,
56,,,0.15749676525592804,,,,
56,,18,,0.15501126646995544,,,
56,,18,,,0.49604707956314087,0.625,0.4166666567325592
57,0.4785398840904236,19,,,,,
58,0.28080087900161743,19,,,,,
59,0.7939421534538269,19,,,,,
57,,,0.10351014137268066,,,,
58,,,0.18244948983192444,,,,
59,,,0.1378677785396576,,,,
59,,19,,0.14195740222930908,,,
59,,19,,,0.4337333142757416,0.7083333134651184,0.5
60,0.20547252893447876,20,,,,,
61,0.28692933917045593,20,,,,,
62,0.30394962430000305,20,,,,,
60,,,0.09422918409109116,,,,
61,,,0.2011970579624176,,,,
62,,,0.12490079551935196,,,,
62,,20,,0.14315065741539001,,,
62,,20,,,0.38344112038612366,0.625,0.4166666567325592
63,0.4164397716522217,21,,,,,
64,0.3915891945362091,21,,,,,
65,0.3589647114276886,21,,,,,
63,,,0.08897300809621811,,,,
64,,,0.17783604562282562,,,,
65,,,0.11594583839178085,,,,
65,,21,,0.12991277873516083,,,
65,,21,,,0.3902241587638855,0.625,0.4166666567325592
66,0.3447224497795105,22,,,,,
67,0.3165825307369232,22,,,,,
68,0.28452014923095703,22,,,,,
66,,,0.07818137854337692,,,,
67,,,0.16317377984523773,,,,
68,,,0.10577929764986038,,,,
68,,22,,0.11769791692495346,,,
68,,22,,,0.33065542578697205,0.625,0.4166666567325592
69,0.33530962467193604,23,,,,,
70,0.41537484526634216,23,,,,,
71,0.2797376811504364,23,,,,,
69,,,0.07069388777017593,,,,
70,,,0.1986556500196457,,,,
71,,,0.11838090419769287,,,,
71,,23,,0.13141599297523499,,,
71,,23,,,0.30151885747909546,0.75,0.5
72,0.31748464703559875,24,,,,,
73,0.10889825969934464,24,,,,,
74,0.22171816229820251,24,,,,,
72,,,0.07160904258489609,,,,
73,,,0.18218496441841125,,,,
74,,,0.1082407608628273,,,,
74,,24,,0.12316576391458511,,,
74,,24,,,0.2856561541557312,0.7916666865348816,0.5416666865348816
75,0.11748012900352478,25,,,,,
76,0.33505719900131226,25,,,,,
77,0.3207572102546692,25,,,,,
75,,,0.07420430332422256,,,,
76,,,0.15483859181404114,,,,
77,,,0.10155170410871506,,,,
77,,25,,0.11192749440670013,,,
77,,25,,,0.24512247741222382,0.9583333134651184,0.7083333134651184
78,0.1424720287322998,26,,,,,
79,0.15833529829978943,26,,,,,
80,0.14388392865657806,26,,,,,
78,,,0.06254971772432327,,,,
79,,,0.15179559588432312,,,,
80,,,0.08777672797441483,,,,
80,,26,,0.10329346358776093,,,
80,,26,,,0.26244229078292847,0.9583333134651184,0.6666666865348816
81,0.18549492955207825,27,,,,,
82,0.23625972867012024,27,,,,,
83,0.10407441854476929,27,,,,,
81,,,0.05727701261639595,,,,
82,,,0.15982164442539215,,,,
83,,,0.0796017125248909,,,,
83,,27,,0.10275980085134506,,,
83,,27,,,0.21891053020954132,0.7916666865348816,0.5416666865348816
84,0.2035386860370636,28,,,,,
85,0.2488068789243698,28,,,,,
86,0.1800268590450287,28,,,,,
84,,,0.05542130768299103,,,,
85,,,0.15688008069992065,,,,
86,,,0.06932217627763748,,,,
86,,28,,0.09878499060869217,,,
86,,28,,,0.2265922725200653,1.0,0.7083333134651184
87,0.26179298758506775,29,,,,,
88,0.20646022260189056,29,,,,,
89,0.13658840954303741,29,,,,,
87,,,0.05610276013612747,,,,
88,,,0.16097599267959595,,,,
89,,,0.07502797245979309,,,,
89,,29,,0.10183708369731903,,,
89,,29,,,0.19312159717082977,1.0,0.7083333134651184
90,0.22579440474510193,30,,,,,
91,0.34349966049194336,30,,,,,
92,0.1144283190369606,30,,,,,
90,,,0.05259579047560692,,,,
91,,,0.17886951565742493,,,,
92,,,0.07981671392917633,,,,
92,,30,,0.10854946076869965,,,
92,,30,,,0.2095029354095459,0.9583333134651184,0.7083333134651184
93,0.18621689081192017,31,,,,,
94,0.21359750628471375,31,,,,,
95,0.13510951399803162,31,,,,,
93,,,0.051104724407196045,,,,
94,,,0.18079774081707,,,,
95,,,0.07622426003217697,,,,
95,,31,,0.1080058366060257,,,
95,,31,,,0.19302228093147278,0.9166666865348816,0.6666666865348816
96,0.16423246264457703,32,,,,,
97,0.10596394538879395,32,,,,,
98,0.27068623900413513,32,,,,,
96,,,0.04794536903500557,,,,
97,,,0.16397026181221008,,,,
98,,,0.06392059475183487,,,,
98,,32,,0.09755036979913712,,,
98,,32,,,0.19213047623634338,0.9583333134651184,0.6666666865348816
99,0.1963782161474228,33,,,,,
100,0.16887743771076202,33,,,,,
101,0.1045498251914978,33,,,,,
99,,,0.04852520301938057,,,,
100,,,0.1677989512681961,,,,
101,,,0.06331244856119156,,,,
101,,33,,0.09919214993715286,,,
101,,33,,,0.17986853420734406,1.0,0.7083333134651184
102,0.0433606319129467,34,,,,,
103,0.2479018270969391,34,,,,,
104,0.15494565665721893,34,,,,,
102,,,0.05044020339846611,,,,
103,,,0.18391147255897522,,,,
104,,,0.066070057451725,,,,
104,,34,,0.1069546788930893,,,
104,,34,,,0.16129985451698303,1.0,0.7083333134651184
105,0.08334118872880936,35,,,,,
106,0.13919031620025635,35,,,,,
107,0.2266075313091278,35,,,,,
105,,,0.04741689935326576,,,,
106,,,0.17404021322727203,,,,
107,,,0.06739508360624313,,,,
107,,35,,0.10206185281276703,,,
107,,35,,,0.17046864330768585,1.0,0.7083333134651184
108,0.10010409355163574,36,,,,,
109,0.19575724005699158,36,,,,,
110,0.20058399438858032,36,,,,,
108,,,0.04682062938809395,,,,
109,,,0.17140735685825348,,,,
110,,,0.06853572279214859,,,,
110,,36,,0.10099834203720093,,,
110,,36,,,0.17308135330677032,1.0,0.7083333134651184
111,0.06171981990337372,37,,,,,
112,0.1227225661277771,37,,,,,
113,0.1756499707698822,37,,,,,
111,,,0.04625887796282768,,,,
112,,,0.17458221316337585,,,,
113,,,0.06734683364629745,,,,
113,,37,,0.10180580615997314,,,
113,,37,,,0.1724187731742859,0.9583333134651184,0.6666666865348816
