step,csv-epoch,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
0,0,3.9152345657348633,,,,,
1,0,3.4049432277679443,,,,,
2,0,3.2696917057037354,,,,,
3,0,2.8482580184936523,,,,,
4,0,2.918243408203125,,,,,
5,0,2.814676284790039,,,,,
6,0,2.481107234954834,,,,,
7,0,2.416940212249756,,,,,
8,0,2.3676319122314453,,,,,
9,0,2.378645420074463,,,,,
10,0,2.102773904800415,,,,,
11,0,2.122652292251587,,,,,
12,0,2.1199865341186523,,,,,
13,0,1.9268460273742676,,,,,
14,0,1.971850037574768,,,,,
15,0,1.9437681436538696,,,,,
16,0,1.9217474460601807,,,,,
17,0,1.832035779953003,,,,,
18,0,1.718934416770935,,,,,
19,0,1.6225049495697021,,,,,
20,0,1.7513339519500732,,,,,
21,0,1.6593337059020996,,,,,
22,0,1.649680733680725,,,,,
23,0,1.5431535243988037,,,,,
24,0,1.4310041666030884,,,,,
25,0,1.5606460571289062,,,,,
26,0,1.5268945693969727,,,,,
0,,,1.068143606185913,,,,
1,,,1.0620462894439697,,,,
2,,,1.1908230781555176,,,,
3,,,1.097373127937317,,,,
26,0,,,1.1059342622756958,,,
26,0,,,,0.0,2.193352699279785,0.0
27,1,1.424410104751587,,,,,
28,1,1.4109814167022705,,,,,
29,1,1.3534098863601685,,,,,
30,1,1.3636584281921387,,,,,
31,1,1.3234933614730835,,,,,
32,1,1.3957887887954712,,,,,
33,1,1.353767991065979,,,,,
34,1,1.3585819005966187,,,,,
35,1,1.211708426475525,,,,,
36,1,1.3451499938964844,,,,,
37,1,1.2243186235427856,,,,,
38,1,1.2386441230773926,,,,,
39,1,1.172878384590149,,,,,
40,1,1.2493739128112793,,,,,
41,1,1.3277217149734497,,,,,
42,1,1.1086227893829346,,,,,
43,1,1.1355336904525757,,,,,
44,1,1.2654529809951782,,,,,
45,1,1.2482566833496094,,,,,
46,1,1.1036731004714966,,,,,
47,1,1.281632661819458,,,,,
48,1,1.1165790557861328,,,,,
49,1,1.0446441173553467,,,,,
50,1,1.173902153968811,,,,,
51,1,1.1295379400253296,,,,,
52,1,1.1275824308395386,,,,,
53,1,1.1353306770324707,,,,,
4,,,0.8109147548675537,,,,
5,,,0.7963277697563171,,,,
6,,,0.9530720710754395,,,,
7,,,0.7494772672653198,,,,
53,1,,,0.8418869972229004,,,
53,1,,,,0.0,1.245356798171997,0.0
54,2,1.062751293182373,,,,,
55,2,1.029118537902832,,,,,
56,2,1.1549900770187378,,,,,
57,2,1.0393730401992798,,,,,
58,2,1.0868741273880005,,,,,
59,2,0.921782374382019,,,,,
60,2,1.13127601146698,,,,,
61,2,0.9338057637214661,,,,,
62,2,0.9743825197219849,,,,,
63,2,1.0330262184143066,,,,,
64,2,0.9522918462753296,,,,,
65,2,0.9117306470870972,,,,,
66,2,0.9204097390174866,,,,,
67,2,0.9205380082130432,,,,,
68,2,0.9237821698188782,,,,,
69,2,0.8762544393539429,,,,,
70,2,0.9051544070243835,,,,,
71,2,0.9989774823188782,,,,,
72,2,0.8925796151161194,,,,,
73,2,0.8455122113227844,,,,,
74,2,0.7783259749412537,,,,,
75,2,0.8991674780845642,,,,,
76,2,0.8104259967803955,,,,,
77,2,0.913777768611908,,,,,
78,2,1.1110323667526245,,,,,
79,2,0.955666720867157,,,,,
80,2,0.8315102458000183,,,,,
8,,,0.6117454171180725,,,,
9,,,0.5813995599746704,,,,
10,,,0.7322838306427002,,,,
11,,,0.5102749466896057,,,,
80,2,,,0.6271946430206299,,,
80,2,,,,0.0295138917863369,0.9560932517051697,0.0243055559694767
81,3,0.8181440234184265,,,,,
82,3,0.884450376033783,,,,,
83,3,0.7675057053565979,,,,,
84,3,0.8837192058563232,,,,,
85,3,0.9532764554023743,,,,,
86,3,0.8025251626968384,,,,,
87,3,0.8989704251289368,,,,,
88,3,0.7862932085990906,,,,,
89,3,0.7147005200386047,,,,,
90,3,0.6821377873420715,,,,,
91,3,0.8237676620483398,,,,,
92,3,0.7638737559318542,,,,,
93,3,0.8926540017127991,,,,,
94,3,0.707482099533081,,,,,
95,3,0.6356270909309387,,,,,
96,3,0.7220197319984436,,,,,
97,3,0.6261094212532043,,,,,
98,3,0.634259819984436,,,,,
99,3,0.7641004920005798,,,,,
100,3,0.6552349925041199,,,,,
101,3,0.6940611004829407,,,,,
102,3,0.566895067691803,,,,,
103,3,0.7266056537628174,,,,,
104,3,0.5685293674468994,,,,,
105,3,0.5864485502243042,,,,,
106,3,0.5571112036705017,,,,,
107,3,0.6439847350120544,,,,,
12,,,0.32617220282554626,,,,
13,,,0.282055139541626,,,,
14,,,0.4222196042537689,,,,
15,,,0.16082267463207245,,,,
107,3,,,0.3231867551803589,,,
107,3,,,,0.6111111640930176,0.7318699359893799,0.2673611342906952
108,4,0.6320556998252869,,,,,
109,4,0.49646666646003723,,,,,
110,4,0.5349304676055908,,,,,
111,4,0.5099986791610718,,,,,
112,4,0.5294457674026489,,,,,
113,4,0.5931084752082825,,,,,
114,4,0.44827985763549805,,,,,
115,4,0.4291122555732727,,,,,
116,4,0.5259950757026672,,,,,
117,4,0.47156599164009094,,,,,
118,4,0.5460593104362488,,,,,
119,4,0.5168352723121643,,,,,
120,4,0.511463463306427,,,,,
121,4,0.5211591124534607,,,,,
122,4,0.48321184515953064,,,,,
123,4,0.5703627467155457,,,,,
124,4,0.4188372492790222,,,,,
125,4,0.5790366530418396,,,,,
126,4,0.4135236144065857,,,,,
127,4,0.5241715908050537,,,,,
128,4,0.4211428165435791,,,,,
129,4,0.38363540172576904,,,,,
130,4,0.6023286581039429,,,,,
131,4,0.46826431155204773,,,,,
132,4,0.3598574697971344,,,,,
133,4,0.48711150884628296,,,,,
134,4,0.32972168922424316,,,,,
16,,,0.21856173872947693,,,,
17,,,0.1546701043844223,,,,
18,,,0.2978321611881256,,,,
19,,,0.07117095589637756,,,,
134,4,,,0.20674167573451996,,,
134,4,,,,0.8524305820465088,0.49287715554237366,0.4618055522441864
135,5,0.3806290626525879,,,,,
136,5,0.3895854353904724,,,,,
137,5,0.402004599571228,,,,,
138,5,0.3328632116317749,,,,,
139,5,0.45578473806381226,,,,,
140,5,0.4091118276119232,,,,,
141,5,0.5260555744171143,,,,,
142,5,0.3722691535949707,,,,,
143,5,0.3028103709220886,,,,,
144,5,0.2942342758178711,,,,,
145,5,0.32939159870147705,,,,,
146,5,0.4910125434398651,,,,,
147,5,0.283863365650177,,,,,
148,5,0.3079780638217926,,,,,
149,5,0.29614585638046265,,,,,
150,5,0.30828744173049927,,,,,
151,5,0.3688124418258667,,,,,
152,5,0.3730584383010864,,,,,
153,5,0.40106192231178284,,,,,
154,5,0.3109374940395355,,,,,
155,5,0.2389983981847763,,,,,
156,5,0.4169474244117737,,,,,
157,5,0.33755046129226685,,,,,
158,5,0.27097153663635254,,,,,
159,5,0.2642589509487152,,,,,
160,5,0.18436110019683838,,,,,
161,5,0.26700305938720703,,,,,
20,,,0.18575631082057953,,,,
21,,,0.12148462235927582,,,,
22,,,0.25307410955429077,,,,
23,,,0.047348640859127045,,,,
161,5,,,0.17128022015094757,,,
161,5,,,,0.9409723281860352,0.3450366258621216,0.440972238779068
162,6,0.2531422972679138,,,,,
163,6,0.27157899737358093,,,,,
164,6,0.2307320237159729,,,,,
165,6,0.24961407482624054,,,,,
166,6,0.39388203620910645,,,,,
167,6,0.21786604821681976,,,,,
168,6,0.32655659317970276,,,,,
169,6,0.2324639856815338,,,,,
170,6,0.3517827093601227,,,,,
171,6,0.16748681664466858,,,,,
