step,csv-epoch,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-accuracy/exact,csv-train_loss_epoch
83,27,,,0.35161063075065613,,,
83,27,,,,0.1666666716337204,0.0416666679084301,0.682158350944519
84,28,0.669162392616272,,,,,
85,28,0.6490210294723511,,,,,
86,28,0.6472275853157043,,,,,
28,,,0.32026058435440063,,,,
86,28,,,0.32026058435440063,,,
86,28,,,,0.1666666716337204,0.0833333358168602,0.6567188501358032
87,29,0.5949075222015381,,,,,
88,29,0.6302613615989685,,,,,
89,29,0.6233879327774048,,,,,
29,,,0.30098021030426025,,,,
89,29,,,0.30098024010658264,,,
89,29,,,,0.3333333432674408,0.25,0.6147451400756836
90,30,0.5924669504165649,,,,,
91,30,0.6109565496444702,,,,,
92,30,0.44327276945114136,,,,,
30,,,0.2716585099697113,,,,
92,30,,,0.2716584801673889,,,
92,30,,,,0.4166666865348816,0.3333333432674408,0.5700239539146423
93,31,0.500718891620636,,,,,
94,31,0.5002580881118774,,,,,
95,31,0.5825091600418091,,,,,
31,,,0.2343311458826065,,,,
95,31,,,0.2343311458826065,,,
95,31,,,,0.5,0.3333333432674408,0.5168925523757935
96,32,0.5186812877655029,,,,,
97,32,0.45448318123817444,,,,,
98,32,0.6349992752075195,,,,,
32,,,0.20661784708499908,,,,
98,32,,,0.2066178321838379,,,
98,32,,,,0.5416666269302368,0.3333333432674408,0.5162655711174011
99,33,0.5846771001815796,,,,,
100,33,0.4353788495063782,,,,,
101,33,0.40005823969841003,,,,,
33,,,0.1923770308494568,,,,
101,33,,,0.1923770308494568,,,
101,33,,,,0.5416666865348816,0.2916666567325592,0.4880340099334717
102,34,0.414470374584198,,,,,
103,34,0.4923858940601349,,,,,
104,34,0.4079638719558716,,,,,
34,,,0.1756126582622528,,,,
104,34,,,0.175612673163414,,,
104,34,,,,0.5416666269302368,0.3750000298023224,0.44433528184890747
105,35,0.3890964984893799,,,,,
106,35,0.4508982002735138,,,,,
107,35,0.37974900007247925,,,,,
35,,,0.15875303745269775,,,,
107,35,,,0.15875302255153656,,,
107,35,,,,0.5,0.375,0.41194772720336914
108,36,0.4224333167076111,,,,,
109,36,0.3946947455406189,,,,,
110,36,0.3740537166595459,,,,,
36,,,0.15251846611499786,,,,
110,36,,,0.15251846611499786,,,
110,36,,,,0.5416666865348816,0.375,0.4016619622707367
111,37,0.42498207092285156,,,,,
112,37,0.37846559286117554,,,,,
113,37,0.3384779393672943,,,,,
37,,,0.14090710878372192,,,,
113,37,,,0.14090710878372192,,,
113,37,,,,0.5416666269302368,0.3750000298023224,0.3890746235847473
114,38,0.3396397829055786,,,,,
115,38,0.36500176787376404,,,,,
116,38,0.31970804929733276,,,,,
38,,,0.13018016517162323,,,,
116,38,,,0.13018015027046204,,,
116,38,,,,0.5416666269302368,0.3750000298023224,0.3457982540130615
117,39,0.34468311071395874,,,,,
118,39,0.3334197998046875,,,,,
119,39,0.31262582540512085,,,,,
39,,,0.1226678341627121,,,,
119,39,,,0.1226678267121315,,,
119,39,,,,0.625,0.4166666865348816,0.333766371011734
120,40,0.32331258058547974,,,,,
121,40,0.33613964915275574,,,,,
122,40,0.3088548481464386,,,,,
40,,,0.1161404401063919,,,,
122,40,,,0.1161404475569725,,,
122,40,,,,0.625,0.4583333432674408,0.325551837682724
123,41,0.3364383578300476,,,,,
124,41,0.3250855803489685,,,,,
125,41,0.27585384249687195,,,,,
