step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
0,3.6306490898132324,0,,,,,
1,3.120471954345703,0,,,,,
2,3.0447027683258057,0,,,,,
3,2.994389295578003,0,,,,,
4,3.2515692710876465,0,,,,,
5,2.887226104736328,0,,,,,
6,2.8657400608062744,0,,,,,
7,2.963965892791748,0,,,,,
8,2.9869399070739746,0,,,,,
9,2.4278783798217773,0,,,,,
10,2.675025463104248,0,,,,,
11,2.671731472015381,0,,,,,
12,2.633650302886963,0,,,,,
13,2.1930549144744873,0,,,,,
14,2.2127394676208496,0,,,,,
15,2.4467430114746094,0,,,,,
16,2.2638683319091797,0,,,,,
17,2.223997116088867,0,,,,,
18,2.3271420001983643,0,,,,,
19,2.1823031902313232,0,,,,,
0,,,1.5422937870025635,,,,
1,,,1.8603880405426025,,,,
2,,,1.539816975593567,,,,
19,,0,,1.6690361499786377,,,
19,,0,,,2.7001895904541016,0.0,0.0
20,1.7715710401535034,1,,,,,
21,2.093639850616455,1,,,,,
22,2.176755666732788,1,,,,,
23,1.7949998378753662,1,,,,,
24,1.8282126188278198,1,,,,,
25,1.6029447317123413,1,,,,,
26,1.9935351610183716,1,,,,,
27,1.7347444295883179,1,,,,,
28,1.5894668102264404,1,,,,,
29,1.869753360748291,1,,,,,
30,1.6660155057907104,1,,,,,
31,1.7057057619094849,1,,,,,
32,1.9547547101974487,1,,,,,
33,1.4566644430160522,1,,,,,
34,1.4371531009674072,1,,,,,
35,1.5390782356262207,1,,,,,
36,1.3587979078292847,1,,,,,
37,1.379915714263916,1,,,,,
38,1.6083489656448364,1,,,,,
39,1.5164854526519775,1,,,,,
3,,,1.0570486783981323,,,,
4,,,1.3409415483474731,,,,
5,,,1.088821530342102,,,,
39,,1,,1.1769603490829468,,,
39,,1,,,1.7039270401000977,0.0,0.0
40,1.3133879899978638,2,,,,,
41,1.577566146850586,2,,,,,
42,1.3146778345108032,2,,,,,
43,1.6591334342956543,2,,,,,
44,1.2149769067764282,2,,,,,
45,1.3386036157608032,2,,,,,
46,1.4453665018081665,2,,,,,
47,1.3723922967910767,2,,,,,
48,1.2930049896240234,2,,,,,
49,1.3631322383880615,2,,,,,
50,1.2517889738082886,2,,,,,
51,1.4288147687911987,2,,,,,
52,1.470261573791504,2,,,,,
53,1.3710249662399292,2,,,,,
54,1.216597318649292,2,,,,,
55,1.236066460609436,2,,,,,
56,1.242264986038208,2,,,,,
57,1.3761616945266724,2,,,,,
58,1.2629104852676392,2,,,,,
59,1.1745283603668213,2,,,,,
6,,,0.8111838698387146,,,,
7,,,1.053489327430725,,,,
8,,,0.8892208337783813,,,,
59,,2,,0.9237133860588074,,,
59,,2,,,1.3461329936981201,0.0,0.0
60,1.348720908164978,3,,,,,
61,1.1967921257019043,3,,,,,
62,1.102903962135315,3,,,,,
63,1.0888904333114624,3,,,,,
64,1.1279280185699463,3,,,,,
65,1.4140485525131226,3,,,,,
66,1.134650468826294,3,,,,,
67,1.3113597631454468,3,,,,,
68,1.271633505821228,3,,,,,
69,1.237366795539856,3,,,,,
70,1.2151613235473633,3,,,,,
71,1.052189826965332,3,,,,,
72,1.1323105096817017,3,,,,,
73,1.445928692817688,3,,,,,
74,1.1181293725967407,3,,,,,
75,1.1876327991485596,3,,,,,
76,1.1325695514678955,3,,,,,
77,1.0407248735427856,3,,,,,
78,1.140584111213684,3,,,,,
79,1.0780575275421143,3,,,,,
9,,,0.6491257548332214,,,,
10,,,0.888664722442627,,,,
11,,,0.7744749188423157,,,,
79,,3,,0.7700111865997314,,,
79,,3,,,1.188879370689392,0.125,0.0
80,1.017753005027771,4,,,,,
81,1.039515733718872,4,,,,,
82,1.1326242685317993,4,,,,,
83,1.0063526630401611,4,,,,,
84,1.027914047241211,4,,,,,
85,0.9528361558914185,4,,,,,
86,1.073196291923523,4,,,,,
87,1.056144118309021,4,,,,,
88,1.0290125608444214,4,,,,,
89,1.1545227766036987,4,,,,,
90,1.1337697505950928,4,,,,,
91,1.1458853483200073,4,,,,,
92,1.0862551927566528,4,,,,,
93,1.1205192804336548,4,,,,,
94,1.0266687870025635,4,,,,,
95,1.0687148571014404,4,,,,,
96,0.8316903114318848,4,,,,,
97,0.8739731907844543,4,,,,,
98,0.9649734497070312,4,,,,,
99,1.0502426624298096,4,,,,,
12,,,0.5306567549705505,,,,
13,,,0.745557427406311,,,,
14,,,0.6552791595458984,,,,
99,,4,,0.6415414810180664,,,
99,,4,,,1.039628267288208,0.0416666679084301,0.0
100,0.8618580102920532,5,,,,,
101,0.7486143708229065,5,,,,,
102,0.867067813873291,5,,,,,
103,1.085266351699829,5,,,,,
104,0.8157610297203064,5,,,,,
105,1.0284156799316406,5,,,,,
106,0.8087796568870544,5,,,,,
107,0.8272508978843689,5,,,,,
108,1.181397557258606,5,,,,,
109,0.9828571081161499,5,,,,,
110,0.9425784945487976,5,,,,,
111,0.830130398273468,5,,,,,
112,0.8903535604476929,5,,,,,
113,0.8032439351081848,5,,,,,
114,0.9519146680831909,5,,,,,
115,0.947845995426178,5,,,,,
116,0.8093193173408508,5,,,,,
117,0.8023507595062256,5,,,,,
118,0.8577311038970947,5,,,,,
119,0.8587726354598999,5,,,,,
15,,,0.4636692404747009,,,,
16,,,0.6411040425300598,,,,
17,,,0.5674651265144348,,,,
119,,5,,0.5554023385047913,,,
119,,5,,,0.8950754404067993,0.0416666679084301,0.0
120,0.8758020401000977,6,,,,,
121,1.0189241170883179,6,,,,,
122,0.7207033038139343,6,,,,,
123,0.8108945488929749,6,,,,,
124,0.9429501891136169,6,,,,,
125,0.7821205258369446,6,,,,,
126,0.7083263397216797,6,,,,,
127,0.9798885583877563,6,,,,,
128,0.7960445880889893,6,,,,,
129,0.7855541110038757,6,,,,,
130,0.9558975696563721,6,,,,,
131,0.7542549967765808,6,,,,,
132,0.9430482387542725,6,,,,,
133,0.8275449872016907,6,,,,,
134,0.7220009565353394,6,,,,,
135,0.7983497381210327,6,,,,,
136,0.5626053810119629,6,,,,,
137,0.6076067090034485,6,,,,,
138,0.8819180130958557,6,,,,,
139,0.6970571279525757,6,,,,,
18,,,0.2964092791080475,,,,
19,,,0.4456118643283844,,,,
20,,,0.400102436542511,,,,
139,,6,,0.37682896852493286,,,
139,,6,,,0.8085746765136719,0.3333333432674408,0.1666666716337204
140,0.7253656983375549,7,,,,,
141,0.7427951097488403,7,,,,,
142,0.6657208204269409,7,,,,,
143,0.6936878561973572,7,,,,,
144,0.647092878818512,7,,,,,
145,0.6905198693275452,7,,,,,
146,0.7399503588676453,7,,,,,
147,0.6636462807655334,7,,,,,
148,0.6894282102584839,7,,,,,
149,0.658397376537323,7,,,,,
150,0.5939287543296814,7,,,,,
151,0.6379185914993286,7,,,,,
152,0.7990246415138245,7,,,,,
153,0.6634706854820251,7,,,,,
154,0.7542718648910522,7,,,,,
155,0.6265184283256531,7,,,,,
156,0.5303638577461243,7,,,,,
157,0.4978266954421997,7,,,,,
158,0.6484619379043579,7,,,,,
159,0.7479990124702454,7,,,,,
21,,,0.22751595079898834,,,,
22,,,0.3419419825077057,,,,
23,,,0.2882571518421173,,,,
159,,7,,0.2854346036911011,,,
159,,7,,,0.6708194017410278,0.5416666865348816,0.25
160,0.5013869404792786,8,,,,,
161,0.44144734740257263,8,,,,,
162,0.655974805355072,8,,,,,
163,0.6151431798934937,8,,,,,
164,0.6067183017730713,8,,,,,
165,0.4993705451488495,8,,,,,
166,0.2933183014392853,8,,,,,
167,0.7720354199409485,8,,,,,
168,0.7455184459686279,8,,,,,
169,0.5304969549179077,8,,,,,
170,0.43045222759246826,8,,,,,
171,0.47852572798728943,8,,,,,
172,0.40251949429512024,8,,,,,
173,0.3795296549797058,8,,,,,
174,0.6534169912338257,8,,,,,
175,0.45254412293434143,8,,,,,
176,0.5918892621994019,8,,,,,
177,0.554841935634613,8,,,,,
178,0.4440688192844391,8,,,,,
179,0.4705774188041687,8,,,,,
24,,,0.18317720293998718,,,,
25,,,0.2534628212451935,,,,
26,,,0.21176332235336304,,,,
179,,8,,0.21700868010520935,,,
179,,8,,,0.525988757610321,0.4166666567325592,0.3333333432674408
180,0.3810561001300812,9,,,,,
181,0.4206312596797943,9,,,,,
182,0.5324534773826599,9,,,,,
183,0.6247345805168152,9,,,,,
184,0.38340359926223755,9,,,,,
185,0.5481350421905518,9,,,,,
186,0.6348450183868408,9,,,,,
187,0.485414981842041,9,,,,,
188,0.3393128216266632,9,,,,,
189,0.3516504466533661,9,,,,,
190,0.251060426235199,9,,,,,
191,0.3754310607910156,9,,,,,
192,0.3777146637439728,9,,,,,
193,0.24982821941375732,9,,,,,
194,0.49574244022369385,9,,,,,
195,0.25979018211364746,9,,,,,
196,0.5794579386711121,9,,,,,
197,0.48219454288482666,9,,,,,
198,0.4698440134525299,9,,,,,
199,0.46195846796035767,9,,,,,
27,,,0.13927511870861053,,,,
28,,,0.22148199379444122,,,,
29,,,0.176457479596138,,,,
199,,9,,0.17959433794021606,,,
199,,9,,,0.4352329671382904,0.625,0.4166666567325592
200,0.524295449256897,10,,,,,
201,0.5129832029342651,10,,,,,
202,0.43126723170280457,10,,,,,
203,0.38590630888938904,10,,,,,
204,0.2688680589199066,10,,,,,
205,0.4611622095108032,10,,,,,
206,0.3205438554286957,10,,,,,
207,0.26867321133613586,10,,,,,
208,0.3160029649734497,10,,,,,
209,0.42780908942222595,10,,,,,
210,0.4150494337081909,10,,,,,
211,0.41359561681747437,10,,,,,
212,0.26200538873672485,10,,,,,
213,0.3518649935722351,10,,,,,
214,0.3764341473579407,10,,,,,
215,0.37283822894096375,10,,,,,
216,0.40219610929489136,10,,,,,
217,0.2590618431568146,10,,,,,
218,0.2932843565940857,10,,,,,
219,0.5660685300827026,10,,,,,
30,,,0.12629003822803497,,,,
31,,,0.21425089240074158,,,,
32,,,0.14603036642074585,,,,
219,,10,,0.1654224544763565,,,
219,,10,,,0.38149550557136536,0.5833333134651184,0.375
220,0.3047736883163452,11,,,,,
221,0.3469720780849457,11,,,,,
222,0.3879246711730957,11,,,,,
223,0.4021722078323364,11,,,,,
224,0.3515554964542389,11,,,,,
225,0.3306002616882324,11,,,,,
226,0.39950528740882874,11,,,,,
227,0.350684255361557,11,,,,,
228,0.21417640149593353,11,,,,,
229,0.3262195885181427,11,,,,,
230,0.17468895018100739,11,,,,,
231,0.4365060329437256,11,,,,,
232,0.36971354484558105,11,,,,,
233,0.33299845457077026,11,,,,,
234,0.30341047048568726,11,,,,,
235,0.3362061679363251,11,,,,,
236,0.3250257670879364,11,,,,,
237,0.2829740345478058,11,,,,,
238,0.17694191634655,11,,,,,
239,0.24499507248401642,11,,,,,
33,,,0.10964438319206238,,,,
34,,,0.2222902774810791,,,,
35,,,0.13436660170555115,,,,
239,,11,,0.15964718163013458,,,
239,,11,,,0.3199022114276886,0.625,0.4166666567325592
240,0.32673898339271545,12,,,,,
241,0.2775987386703491,12,,,,,
242,0.40215006470680237,12,,,,,
243,0.31844285130500793,12,,,,,
244,0.2513331174850464,12,,,,,
245,0.2856384217739105,12,,,,,
246,0.2006216198205948,12,,,,,
247,0.2926207184791565,12,,,,,
248,0.406241774559021,12,,,,,
249,0.20285186171531677,12,,,,,
250,0.28302001953125,12,,,,,
251,0.30696597695350647,12,,,,,
252,0.3736441135406494,12,,,,,
253,0.43553444743156433,12,,,,,
254,0.2651134729385376,12,,,,,
255,0.24948696792125702,12,,,,,
256,0.28391170501708984,12,,,,,
257,0.312093049287796,12,,,,,
258,0.2012251317501068,12,,,,,
259,0.33554893732070923,12,,,,,
36,,,0.08155844360589981,,,,
37,,,0.21693404018878937,,,,
38,,,0.1265321671962738,,,,
259,,12,,0.1447034329175949,,,
259,,12,,,0.3005391061306,0.7083333134651184,0.5
260,0.2850482165813446,13,,,,,
261,0.3198651969432831,13,,,,,
262,0.26885542273521423,13,,,,,
263,0.34141087532043457,13,,,,,
264,0.26857051253318787,13,,,,,
265,0.2048111855983734,13,,,,,
266,0.2914648950099945,13,,,,,
267,0.26425519585609436,13,,,,,
268,0.20865511894226074,13,,,,,
269,0.3182506561279297,13,,,,,
270,0.26429274678230286,13,,,,,
271,0.32644766569137573,13,,,,,
272,0.3463999330997467,13,,,,,
273,0.2743336260318756,13,,,,,
274,0.24797971546649933,13,,,,,
275,0.22360935807228088,13,,,,,
276,0.2518123984336853,13,,,,,
277,0.3130229413509369,13,,,,,
278,0.2289195954799652,13,,,,,
279,0.15540820360183716,13,,,,,
39,,,0.0801798403263092,,,,
40,,,0.2036309689283371,,,,
41,,,0.14981785416603088,,,,
279,,13,,0.14348788559436798,,,
279,,13,,,0.2701707184314728,0.8333333134651184,0.5833333134651184
280,0.31031620502471924,14,,,,,
281,0.3878481984138489,14,,,,,
282,0.18112649023532867,14,,,,,
283,0.4202723801136017,14,,,,,
284,0.2729083299636841,14,,,,,
285,0.3261258006095886,14,,,,,
286,0.14053437113761902,14,,,,,
287,0.2217031717300415,14,,,,,
288,0.19252963364124298,14,,,,,
289,0.2385765016078949,14,,,,,
290,0.2566544711589813,14,,,,,
291,0.18363413214683533,14,,,,,
292,0.1413283795118332,14,,,,,
293,0.20271356403827667,14,,,,,
294,0.2699376046657562,14,,,,,
295,0.38632112741470337,14,,,,,
296,0.2412395179271698,14,,,,,
297,0.3432922661304474,14,,,,,
298,0.20005273818969727,14,,,,,
299,0.22535191476345062,14,,,,,
42,,,0.07884170114994049,,,,
43,,,0.20905856788158417,,,,
44,,,0.0979597270488739,,,,
299,,14,,0.1347520649433136,,,
299,,14,,,0.25712332129478455,0.8333333134651184,0.5833333134651184
300,0.30647939443588257,15,,,,,
301,0.18860499560832977,15,,,,,
302,0.19624602794647217,15,,,,,
303,0.2748916745185852,15,,,,,
304,0.2562182545661926,15,,,,,
305,0.195819690823555,15,,,,,
306,0.2299799621105194,15,,,,,
307,0.26655858755111694,15,,,,,
308,0.3926183581352234,15,,,,,
309,0.1896612048149109,15,,,,,
310,0.24563203752040863,15,,,,,
311,0.3743690848350525,15,,,,,
312,0.11826774477958679,15,,,,,
313,0.17712140083312988,15,,,,,
314,0.17755551636219025,15,,,,,
315,0.2360823005437851,15,,,,,
316,0.22837327420711517,15,,,,,
317,0.14657998085021973,15,,,,,
318,0.2016897350549698,15,,,,,
319,0.1455109566450119,15,,,,,
45,,,0.060574766248464584,,,,
46,,,0.23666925728321075,,,,
47,,,0.12571996450424194,,,,
319,,15,,0.14404159784317017,,,
319,,15,,,0.22741301357746124,0.8333333134651184,0.625
320,0.28255340456962585,16,,,,,
321,0.21243785321712494,16,,,,,
322,0.25173139572143555,16,,,,,
323,0.3308234214782715,16,,,,,
324,0.21011106669902802,16,,,,,
325,0.17872464656829834,16,,,,,
326,0.25876182317733765,16,,,,,
327,0.14475396275520325,16,,,,,
328,0.2620331048965454,16,,,,,
329,0.1993875652551651,16,,,,,
330,0.11900784075260162,16,,,,,
331,0.13141374289989471,16,,,,,
332,0.31216704845428467,16,,,,,
333,0.15552257001399994,16,,,,,
334,0.3766385316848755,16,,,,,
335,0.1511179655790329,16,,,,,
336,0.15933462977409363,16,,,,,
337,0.16670499742031097,16,,,,,
338,0.14803604781627655,16,,,,,
339,0.17647649347782135,16,,,,,
48,,,0.05096118524670601,,,,
49,,,0.22158384323120117,,,,
50,,,0.08823543041944504,,,,
339,,16,,0.12666510045528412,,,
339,,16,,,0.21138691902160645,0.7916666865348816,0.5416666865348816
340,0.13636042177677155,17,,,,,
341,0.40455877780914307,17,,,,,
342,0.26232051849365234,17,,,,,
343,0.165253147482872,17,,,,,
344,0.11139132082462311,17,,,,,
345,0.21410977840423584,17,,,,,
346,0.20915955305099487,17,,,,,
347,0.13010667264461517,17,,,,,
348,0.17118960618972778,17,,,,,
349,0.16248364746570587,17,,,,,
350,0.25255459547042847,17,,,,,
351,0.156931072473526,17,,,,,
352,0.15715782344341278,17,,,,,
353,0.3380468785762787,17,,,,,
354,0.14490124583244324,17,,,,,
355,0.18698202073574066,17,,,,,
356,0.23520563542842865,17,,,,,
357,0.18170197308063507,17,,,,,
358,0.1482294350862503,17,,,,,
359,0.237300306558609,17,,,,,
51,,,0.05957581102848053,,,,
52,,,0.19413776695728302,,,,
53,,,0.09520365297794342,,,,
359,,17,,0.12052615731954575,,,
359,,17,,,0.20029720664024353,0.875,0.625
360,0.08411695808172226,18,,,,,
361,0.1300443708896637,18,,,,,
362,0.16198834776878357,18,,,,,
363,0.1637626439332962,18,,,,,
364,0.14002762734889984,18,,,,,
365,0.27877315878868103,18,,,,,
366,0.16459836065769196,18,,,,,
367,0.11613020300865173,18,,,,,
368,0.15621204674243927,18,,,,,
369,0.16323786973953247,18,,,,,
370,0.18581128120422363,18,,,,,
371,0.26700273156166077,18,,,,,
372,0.2811165750026703,18,,,,,
373,0.22978340089321136,18,,,,,
374,0.25779345631599426,18,,,,,
375,0.27182736992836,18,,,,,
376,0.08189856261014938,18,,,,,
377,0.1942177414894104,18,,,,,
378,0.26483598351478577,18,,,,,
379,0.2883865237236023,18,,,,,
54,,,0.04175407066941261,,,,
55,,,0.24246177077293396,,,,
56,,,0.10212800651788712,,,,
379,,18,,0.1341119408607483,,,
379,,18,,,0.194078266620636,0.8333333134651184,0.5833333134651184
380,0.2013826221227646,19,,,,,
381,0.19218769669532776,19,,,,,
382,0.1824718862771988,19,,,,,
383,0.20888641476631165,19,,,,,
384,0.2464173436164856,19,,,,,
385,0.1987171322107315,19,,,,,
386,0.22719046473503113,19,,,,,
387,0.22966338694095612,19,,,,,
388,0.20145730674266815,19,,,,,
