step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/micro,csv-accuracy/none,csv-train_loss_epoch
15,,,0.7734145522117615,,,,
47,,15,,0.7734144330024719,,,
47,,15,,,0.0,0.0,0.9534134864807129
48,0.9130823612213135,16,,,,,
49,0.8884172439575195,16,,,,,
50,0.9253342151641846,16,,,,,
16,,,0.7645428776741028,,,,
50,,16,,0.7645428776741028,,,
50,,16,,,0.0416666679084301,0.0,0.9056666493415833
51,0.850397527217865,17,,,,,
52,0.9235018491744995,17,,,,,
53,0.8579375147819519,17,,,,,
17,,,0.7699657678604126,,,,
53,,17,,0.7699657082557678,,,
53,,17,,,0.0,0.0,0.8811472058296204
54,0.8341754674911499,18,,,,,
55,0.7929329872131348,18,,,,,
56,0.8420654535293579,18,,,,,
18,,,0.7544459104537964,,,,
56,,18,,0.7544459700584412,,,
56,,18,,,0.0416666679084301,0.0,0.8192564845085144
57,0.7957996129989624,19,,,,,
58,0.8641018867492676,19,,,,,
59,0.6847914457321167,19,,,,,
19,,,0.7386587858200073,,,,
59,,19,,0.7386587262153625,,,
59,,19,,,0.0416666679084301,0.0416666679084301,0.8009188771247864
60,0.7507816553115845,20,,,,,
61,0.7280018329620361,20,,,,,
62,0.7479323148727417,20,,,,,
20,,,0.7102145552635193,,,,
62,,20,,0.7102146148681641,,,
62,,20,,,0.2083333432674408,0.0833333358168602,0.7410998940467834
63,0.7277803421020508,21,,,,,
64,0.7167525887489319,21,,,,,
65,0.7250656485557556,21,,,,,
21,,,0.6756690740585327,,,,
65,,21,,0.6756690144538879,,,
65,,21,,,0.5,0.2916666865348816,0.7228263020515442
66,0.7169755697250366,22,,,,,
67,0.6212539672851562,22,,,,,
68,0.5451197028160095,22,,,,,
22,,,0.6494510769844055,,,,
68,,22,,0.6494510173797607,,,
68,,22,,,0.4166666567325592,0.4583333432674408,0.644315779209137
69,0.5807197690010071,23,,,,,
70,0.6445172429084778,23,,,,,
71,0.5814081430435181,23,,,,,
23,,,0.6436896920204163,,,,
71,,23,,0.6436896920204163,,,
71,,23,,,0.625,0.3749999701976776,0.6063764095306396
72,0.669017493724823,24,,,,,
73,0.5757045149803162,24,,,,,
74,0.5341033339500427,24,,,,,
24,,,0.6355345249176025,,,,
74,,24,,0.6355345249176025,,,
74,,24,,,0.5416666865348816,0.4583333432674408,0.6047095060348511
75,0.5026704668998718,25,,,,,
76,0.5636186003684998,25,,,,,
77,0.5644689202308655,25,,,,,
25,,,0.6325045824050903,,,,
77,,25,,0.6325047016143799,,,
77,,25,,,0.5416666865348816,0.4166666567325592,0.5394093990325928
78,0.5194717645645142,26,,,,,
79,0.517963171005249,26,,,,,
80,0.581262469291687,26,,,,,
26,,,0.5976541042327881,,,,
80,,26,,0.5976541042327881,,,
80,,26,,,0.4583333432674408,0.4166666567325592,0.5312264561653137
81,0.47015541791915894,27,,,,,
82,0.5149767398834229,27,,,,,
83,0.48393484950065613,27,,,,,
27,,,0.5422969460487366,,,,
83,,27,,0.5422968864440918,,,
83,,27,,,0.4583333134651184,0.3749999701976776,0.4908398687839508
84,0.48255056142807007,28,,,,,
85,0.47641682624816895,28,,,,,
86,0.3881693482398987,28,,,,,
28,,,0.5051988363265991,,,,
86,,28,,0.5051987767219543,,,
86,,28,,,0.4583333134651184,0.2916666567325592,0.46122080087661743
87,0.39580366015434265,29,,,,,
88,0.45637011528015137,29,,,,,
89,0.4496113061904907,29,,,,,
29,,,0.4866364002227783,,,,
89,,29,,0.4866364300251007,,,
89,,29,,,0.5416666865348816,0.375,0.43079179525375366
90,0.44927147030830383,30,,,,,
91,0.39735522866249084,30,,,,,
92,0.4073396921157837,30,,,,,
30,,,0.4787583351135254,,,,
92,,30,,0.4787583649158478,,,
92,,30,,,0.5416666865348816,0.4583333432674408,0.42011862993240356
93,0.3579857349395752,31,,,,,
94,0.4204513430595398,31,,,,,
95,0.4284486770629883,31,,,,,
31,,,0.45909392833709717,,,,
95,,31,,0.45909392833709717,,,
95,,31,,,0.5833333730697632,0.5,0.39706453680992126
96,0.43237408995628357,32,,,,,
97,0.3278365433216095,32,,,,,
98,0.30098196864128113,32,,,,,
32,,,0.44714370369911194,,,,
98,,32,,0.44714367389678955,,,
98,,32,,,0.375,0.2916666567325592,0.364280641078949
99,0.38933202624320984,33,,,,,
100,0.3614981472492218,33,,,,,
101,0.36362460255622864,33,,,,,
33,,,0.43188437819480896,,,,
101,,33,,0.43188437819480896,,,
101,,33,,,0.625,0.5,0.3730570077896118
102,0.3253617584705353,34,,,,,
103,0.31484130024909973,34,,,,,
104,0.3436737358570099,34,,,,,
34,,,0.4151823818683624,,,,
104,,34,,0.4151823818683624,,,
104,,34,,,0.5833333730697632,0.5,0.3248159885406494
105,0.32366329431533813,35,,,,,
106,0.32127082347869873,35,,,,,
107,0.3034389019012451,35,,,,,
35,,,0.40622571110725403,,,,
107,,35,,0.4062257707118988,,,
107,,35,,,0.625,0.5,0.3186613917350769
108,0.27581968903541565,36,,,,,
109,0.3043782114982605,36,,,,,
110,0.3513655662536621,36,,,,,
36,,,0.40588515996932983,,,,
110,,36,,0.4058851897716522,,,
110,,36,,,0.7500000596046448,0.6250000596046448,0.30235230922698975
111,0.32646068930625916,37,,,,,
112,0.27991873025894165,37,,,,,
113,0.24697032570838928,37,,,,,
37,,,0.39313042163848877,,,,
113,,37,,0.3931303918361664,,,
113,,37,,,0.8333333730697632,0.75,0.29194581508636475
114,0.26790711283683777,38,,,,,
115,0.2939794063568115,38,,,,,
116,0.26353442668914795,38,,,,,
38,,,0.38561421632766724,,,,
116,,38,,0.38561418652534485,,,
116,,38,,,0.7916666865348816,0.75,0.2774614691734314
117,0.28487128019332886,39,,,,,
118,0.2644808292388916,39,,,,,
119,0.2756046950817108,39,,,,,
39,,,0.373129665851593,,,,
119,,39,,0.3731296956539154,,,
119,,39,,,0.7500000596046448,0.75,0.27486175298690796
120,0.2676694095134735,40,,,,,
121,0.266044020652771,40,,,,,
122,0.2630549371242523,40,,,,,
40,,,0.35318228602409363,,,,
122,,40,,0.35318228602409363,,,
122,,40,,,0.875,0.7083333134651184,0.2660963535308838
123,0.2271728664636612,41,,,,,
124,0.2381286770105362,41,,,,,
125,0.2636431157588959,41,,,,,
41,,,0.36447063088417053,,,,
125,,41,,0.36447063088417053,,,
125,,41,,,0.75,0.625,0.2388492077589035
126,0.25506529211997986,42,,,,,
127,0.2461523413658142,42,,,,,
128,0.30282673239707947,42,,,,,
42,,,0.36872801184654236,,,,
128,,42,,0.36872804164886475,,,
128,,42,,,0.7500000596046448,0.5833333730697632,0.26105237007141113
129,0.2316868156194687,43,,,,,
130,0.2666025161743164,43,,,,,
131,0.24581757187843323,43,,,,,
43,,,0.35662901401519775,,,,
131,,43,,0.35662904381752014,,,
131,,43,,,0.7083333730697632,0.6250000596046448,0.24847927689552307
132,0.2852882444858551,44,,,,,
133,0.24866855144500732,44,,,,,
134,0.191950261592865,44,,,,,
44,,,0.34225472807884216,,,,
134,,44,,0.34225472807884216,,,
134,,44,,,0.8333333134651184,0.6249999403953552,0.2519727945327759
135,0.2600509822368622,45,,,,,
136,0.24872678518295288,45,,,,,
137,0.2827165126800537,45,,,,,
45,,,0.3410547971725464,,,,
137,,45,,0.3410547971725464,,,
137,,45,,,0.7916666865348816,0.7083333134651184,0.26005440950393677
138,0.22380539774894714,46,,,,,
139,0.21475814282894135,46,,,,,
140,0.2310945838689804,46,,,,,
46,,,0.3342670202255249,,,,
140,,46,,0.3342669904232025,,,
140,,46,,,0.8333333134651184,0.75,0.221644327044487
141,0.2195141613483429,47,,,,,
142,0.18271149694919586,47,,,,,
143,0.24076983332633972,47,,,,,
47,,,0.3325096070766449,,,,
143,,47,,0.3325096070766449,,,
143,,47,,,0.8333333730697632,0.7916666865348816,0.2090442180633545
144,0.21458952128887177,48,,,,,
145,0.26086705923080444,48,,,,,
146,0.1803423911333084,48,,,,,
48,,,0.3360583186149597,,,,
146,,48,,0.33605828881263733,,,
146,,48,,,0.9166666865348816,0.7083333134651184,0.22625108063220978
147,0.23774506151676178,49,,,,,
148,0.18261191248893738,49,,,,,
149,0.22555088996887207,49,,,,,
49,,,0.32754576206207275,,,,
149,,49,,0.32754579186439514,,,
149,,49,,,0.9583333134651184,0.8333333134651184,0.2132529765367508
150,0.16252104938030243,50,,,,,
151,0.225546196103096,50,,,,,
152,0.21263405680656433,50,,,,,
50,,,0.3354984223842621,,,,
152,,50,,0.3354984521865845,,,
152,,50,,,0.9166666865348816,0.8333333134651184,0.19775371253490448
153,0.18654191493988037,51,,,,,
154,0.20406077802181244,51,,,,,
155,0.23206956684589386,51,,,,,
51,,,0.3409007787704468,,,,
155,,51,,0.3409007489681244,,,
155,,51,,,0.9166666865348816,0.7916666269302368,0.20265498757362366
156,0.2400764524936676,52,,,,,
157,0.1553950309753418,52,,,,,
158,0.18187841773033142,52,,,,,
52,,,0.3230888247489929,,,,
158,,52,,0.3230888247489929,,,
158,,52,,,0.8749999403953552,0.7916666269302368,0.19456428289413452
159,0.1804932802915573,53,,,,,
160,0.19000926613807678,53,,,,,
161,0.1966886669397354,53,,,,,
53,,,0.33268988132476807,,,,
161,,53,,0.33268988132476807,,,
161,,53,,,0.8333332538604736,0.75,0.1875387579202652
162,0.18734250962734222,54,,,,,
163,0.15490521490573883,54,,,,,
164,0.19517074525356293,54,,,,,
54,,,0.3345584273338318,,,,
164,,54,,0.3345584571361542,,,
164,,54,,,0.875,0.7916666865348816,0.17593325674533844
165,0.17802578210830688,55,,,,,
166,0.20316362380981445,55,,,,,
167,0.14817412197589874,55,,,,,
55,,,0.3571893572807312,,,,
167,,55,,0.3571893870830536,,,
167,,55,,,0.9166666269302368,0.75,0.18211057782173157
168,0.18475256860256195,56,,,,,
169,0.15812790393829346,56,,,,,
170,0.20954947173595428,56,,,,,
56,,,0.3700523376464844,,,,
170,,56,,0.3700523376464844,,,
170,,56,,,0.8333333730697632,0.75,0.17906208336353302
171,0.18793438374996185,57,,,,,
172,0.16365909576416016,57,,,,,
173,0.18886210024356842,57,,,,,
57,,,0.34570783376693726,,,,
173,,57,,0.34570786356925964,,,
173,,57,,,0.9166666865348816,0.7916666865348816,0.17840981483459473
174,0.16589421033859253,58,,,,,
175,0.1655244380235672,58,,,,,
176,0.16298863291740417,58,,,,,
58,,,0.3283906877040863,,,,
176,,58,,0.3283906877040863,,,
176,,58,,,0.9583333134651184,0.7916666865348816,0.16516520082950592
177,0.16009485721588135,59,,,,,
178,0.1700984388589859,59,,,,,
179,0.18399296700954437,59,,,,,
59,,,0.3293590545654297,,,,
179,,59,,0.3293590545654297,,,
179,,59,,,0.875,0.75,0.16887590289115906
180,0.20392784476280212,60,,,,,
181,0.16094191372394562,60,,,,,
182,0.18611742556095123,60,,,,,
60,,,0.30476444959640503,,,,
182,,60,,0.3047644793987274,,,
182,,60,,,0.8333333134651184,0.7916666269302368,0.18317140638828278
183,0.16807405650615692,61,,,,,
184,0.16483847796916962,61,,,,,
185,0.15096215903759003,61,,,,,
61,,,0.2980273365974426,,,,
185,,61,,0.298027366399765,,,
185,,61,,,0.875,0.8333333134651184,0.1633574515581131
186,0.1652759462594986,62,,,,,
187,0.16962066292762756,62,,,,,
188,0.16514015197753906,62,,,,,
62,,,0.31591618061065674,,,,
188,,62,,0.31591615080833435,,,
188,,62,,,0.8333333134651184,0.7083333134651184,0.16698667407035828
189,0.14579561352729797,63,,,,,
190,0.1643609255552292,63,,,,,
191,0.14684507250785828,63,,,,,
63,,,0.3180951178073883,,,,
191,,63,,0.3180951178073883,,,
191,,63,,,0.8749999403953552,0.8333333134651184,0.15343162417411804
192,0.13903144001960754,64,,,,,
193,0.1404794305562973,64,,,,,
194,0.17365336418151855,64,,,,,
64,,,0.30993130803108215,,,,
194,,64,,0.30993133783340454,,,
194,,64,,,0.875,0.7500000596046448,0.1465350091457367
195,0.15580439567565918,65,,,,,
196,0.13491788506507874,65,,,,,
197,0.11270901560783386,65,,,,,
65,,,0.32048457860946655,,,,
197,,65,,0.32048454880714417,,,
197,,65,,,0.7916666269302368,0.7083333134651184,0.13883072137832642
198,0.1635589450597763,66,,,,,
199,0.12689991295337677,66,,,,,
200,0.1446986049413681,66,,,,,
66,,,0.3235643208026886,,,,
200,,66,,0.3235643208026886,,,
200,,66,,,0.7916666269302368,0.8333333134651184,0.14512324333190918
201,0.136835515499115,67,,,,,
202,0.13031411170959473,67,,,,,
203,0.13116762042045593,67,,,,,
67,,,0.31354090571403503,,,,
203,,67,,0.31354090571403503,,,
203,,67,,,0.7916666865348816,0.7916666269302368,0.13309335708618164
204,0.1374347060918808,68,,,,,
205,0.15412172675132751,68,,,,,
206,0.17168587446212769,68,,,,,
68,,,0.32757169008255005,,,,
206,,68,,0.32757171988487244,,,
206,,68,,,0.8749999403953552,0.7083333134651184,0.15095974504947662
207,0.13512447476387024,69,,,,,
208,0.14880338311195374,69,,,,,
209,0.15081384778022766,69,,,,,
69,,,0.33240097761154175,,,,
209,,69,,0.33240100741386414,,,
209,,69,,,0.875,0.7083333730697632,0.1437339186668396
210,0.13167041540145874,70,,,,,
211,0.12691183388233185,70,,,,,
212,0.1843370646238327,70,,,,,
70,,,0.30640941858291626,,,,
212,,70,,0.30640938878059387,,,
212,,70,,,0.8333333134651184,0.7083333134651184,0.14030031859874725
213,0.1368628591299057,71,,,,,
214,0.15714319050312042,71,,,,,
215,0.1361827701330185,71,,,,,
71,,,0.30184006690979004,,,,
215,,71,,0.30184006690979004,,,
215,,71,,,0.7499999403953552,0.6666666865348816,0.14483897387981415
