csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
3.8661742210388184,0,0,,,,,
3.4664556980133057,0,1,,,,,
3.096788167953491,0,2,,,,,
2.8694286346435547,0,3,,,,,
2.785585403442383,0,4,,,,,
2.6233558654785156,0,5,,,,,
2.56013822555542,0,6,,,,,
2.372607946395874,0,7,,,,,
2.402707815170288,0,8,,,,,
2.2900402545928955,0,9,,,,,
2.1310410499572754,0,10,,,,,
2.0778329372406006,0,11,,,,,
2.0365850925445557,0,12,,,,,
1.9001038074493408,0,13,,,,,
1.952622890472412,0,14,,,,,
1.8892366886138916,0,15,,,,,
1.7379382848739624,0,16,,,,,
1.7033226490020752,0,17,,,,,
1.5789016485214233,0,18,,,,,
1.6074573993682861,0,19,,,,,
,,0,1.3168076276779175,,,,
,,1,1.2373332977294922,,,,
,,2,1.297448992729187,,,,
,0,19,,1.2811461687088013,,,
,0,19,,,0.0,2.3474161624908447,0.0
1.5621472597122192,1,20,,,,,
1.5181008577346802,1,21,,,,,
1.504897117614746,1,22,,,,,
1.4573123455047607,1,23,,,,,
1.3356788158416748,1,24,,,,,
1.3334027528762817,1,25,,,,,
1.3620810508728027,1,26,,,,,
1.4026892185211182,1,27,,,,,
1.3239736557006836,1,28,,,,,
1.311047077178955,1,29,,,,,
1.2587709426879883,1,30,,,,,
1.2309074401855469,1,31,,,,,
1.2102525234222412,1,32,,,,,
1.2554645538330078,1,33,,,,,
1.1834417581558228,1,34,,,,,
1.2116987705230713,1,35,,,,,
1.1984449625015259,1,36,,,,,
1.198716640472412,1,37,,,,,
1.1300996541976929,1,38,,,,,
1.0818989276885986,1,39,,,,,
,,3,0.8148601651191711,,,,
,,4,0.7925755977630615,,,,
,,5,0.8196364045143127,,,,
,1,39,,0.8069016337394714,,,
,1,39,,,0.015625,1.303551435470581,0.0052083334885537624
1.0515779256820679,2,40,,,,,
1.0842311382293701,2,41,,,,,
1.009195327758789,2,42,,,,,
1.0346403121948242,2,43,,,,,
0.9773655533790588,2,44,,,,,
1.0290292501449585,2,45,,,,,
0.9821470379829407,2,46,,,,,
0.8913183212280273,2,47,,,,,
0.9645940661430359,2,48,,,,,
0.9884823560714722,2,49,,,,,
0.9373571872711182,2,50,,,,,
0.9516378045082092,2,51,,,,,
0.8854796886444092,2,52,,,,,
0.8174412846565247,2,53,,,,,
0.8635907173156738,2,54,,,,,
0.7949392795562744,2,55,,,,,
0.8935853838920593,2,56,,,,,
0.9261762499809265,2,57,,,,,
0.7982551455497742,2,58,,,,,
0.8524148464202881,2,59,,,,,
,,6,0.5734774470329285,,,,
,,7,0.5751230716705322,,,,
,,8,0.5960301756858826,,,,
,2,59,,0.5786463022232056,,,
,2,59,,,0.0625,0.9366729855537415,0.010416666977107525
0.8340440988540649,3,60,,,,,
0.8465887308120728,3,61,,,,,
0.6880131363868713,3,62,,,,,
0.7889349460601807,3,63,,,,,
0.7797991633415222,3,64,,,,,
0.8175005912780762,3,65,,,,,
0.7581286430358887,3,66,,,,,
0.7734613418579102,3,67,,,,,
0.6925034523010254,3,68,,,,,
0.7373033165931702,3,69,,,,,
0.7083285450935364,3,70,,,,,
0.6962028741836548,3,71,,,,,
0.7018282413482666,3,72,,,,,
0.6572291851043701,3,73,,,,,
0.6221516728401184,3,74,,,,,
0.581166684627533,3,75,,,,,
0.5813407897949219,3,76,,,,,
0.6366928815841675,3,77,,,,,
0.5239288210868835,3,78,,,,,
0.6264618635177612,3,79,,,,,
,,9,0.40755516290664673,,,,
,,10,0.41484230756759644,,,,
,,11,0.42047059535980225,,,,
,3,79,,0.41305312514305115,,,
,3,79,,,0.265625,0.702580451965332,0.1354166716337204
0.6503084301948547,4,80,,,,,
0.619732141494751,4,81,,,,,
0.6314017176628113,4,82,,,,,
0.5905742049217224,4,83,,,,,
0.5387744903564453,4,84,,,,,
0.562798261642456,4,85,,,,,
0.5064082145690918,4,86,,,,,
0.5210758447647095,4,87,,,,,
0.5511917471885681,4,88,,,,,
0.5960119366645813,4,89,,,,,
0.46914374828338623,4,90,,,,,
0.5241878628730774,4,91,,,,,
0.4243439733982086,4,92,,,,,
0.5068615078926086,4,93,,,,,
0.41677308082580566,4,94,,,,,
0.4624623954296112,4,95,,,,,
0.42413708567619324,4,96,,,,,
0.4589977562427521,4,97,,,,,
0.4230027496814728,4,98,,,,,
0.3774297535419464,4,99,,,,,
,,12,0.2850848138332367,,,,
,,13,0.29191866517066956,,,,
,,14,0.28908252716064453,,,,
,4,99,,0.28861790895462036,,,
