csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-train_loss_epoch,csv-accuracy/validator
0,0,4.145026683807373,,,,,
0,1,3.6464931964874268,,,,,
0,2,3.3133952617645264,,,,,
0,3,3.0536160469055176,,,,,
0,4,2.79223895072937,,,,,
0,5,2.7905232906341553,,,,,
0,6,2.5672566890716553,,,,,
0,7,2.3785433769226074,,,,,
0,8,2.4027295112609863,,,,,
0,9,2.3030595779418945,,,,,
0,10,2.1778852939605713,,,,,
0,11,2.0225393772125244,,,,,
0,12,1.974279761314392,,,,,
0,13,1.890157699584961,,,,,
0,14,1.752341389656067,,,,,
0,15,1.6460487842559814,,,,,
0,16,1.600718379020691,,,,,
0,17,1.5330226421356201,,,,,
0,18,1.399190068244934,,,,,
0,19,1.3340091705322266,,,,,
0,20,1.3408777713775635,,,,,
0,21,1.25082528591156,,,,,
0,22,1.184849500656128,,,,,
0,23,1.1906113624572754,,,,,
0,24,1.077885389328003,,,,,
0,25,0.9909229874610901,,,,,
0,26,0.951109766960144,,,,,
0,27,0.9759688377380371,,,,,
0,28,0.8845296502113342,,,,,
0,29,0.856735110282898,,,,,
0,30,0.8878451585769653,,,,,
0,31,0.7614378929138184,,,,,
0,32,0.769562840461731,,,,,
0,33,0.8191418051719666,,,,,
0,34,0.6787049174308777,,,,,
0,35,0.6056305766105652,,,,,
0,36,0.576416015625,,,,,
0,37,0.5275285840034485,,,,,
0,38,0.542067289352417,,,,,
0,39,0.5457371473312378,,,,,
0,40,0.6054255962371826,,,,,
0,41,0.46074095368385315,,,,,
0,42,0.4477282166481018,,,,,
0,43,0.49751484394073486,,,,,
0,44,0.36475881934165955,,,,,
0,45,0.38997456431388855,,,,,
0,46,0.40217357873916626,,,,,
0,47,0.3171584904193878,,,,,
0,48,0.39926594495773315,,,,,
0,49,0.37246379256248474,,,,,
0,50,0.34661781787872314,,,,,
0,51,0.30256855487823486,,,,,
0,52,0.2608938217163086,,,,,
0,53,0.27749502658843994,,,,,
0,54,0.3010140359401703,,,,,
0,55,0.27864229679107666,,,,,
0,56,0.2994445860385895,,,,,
0,57,0.23069415986537933,,,,,
0,58,0.28992795944213867,,,,,
0,59,0.2956992983818054,,,,,
0,60,0.21245990693569183,,,,,
0,61,0.24559669196605682,,,,,
0,62,0.2868974208831787,,,,,
0,63,0.2853310704231262,,,,,
0,64,0.2388041466474533,,,,,
0,65,0.2356102466583252,,,,,
0,66,0.29150205850601196,,,,,
0,67,0.20813345909118652,,,,,
0,68,0.21801555156707764,,,,,
0,69,0.23122639954090118,,,,,
0,70,0.21534782648086548,,,,,
0,71,0.20029424130916595,,,,,
0,72,0.2099018543958664,,,,,
0,73,0.15689975023269653,,,,,
0,74,0.18868763744831085,,,,,
0,75,0.22955270111560822,,,,,
0,76,0.21359263360500336,,,,,
0,77,0.21796396374702454,,,,,
0,78,0.1772395521402359,,,,,
0,79,0.17680886387825012,,,,,
,0,,0.15741489827632904,,,,
,1,,0.11736629903316498,,,,
,2,,0.17858976125717163,,,,
,3,,0.12011796981096268,,,,
,4,,0.13345752656459808,,,,
,5,,0.09799996763467789,,,,
,6,,0.1240960955619812,,,,
,7,,0.09705495089292526,,,,
,8,,0.09182044863700867,,,,
,9,,0.1371348351240158,,,,
0,79,,,0.12550529837608337,,,
0,79,,,,0.604687511920929,0.9465190768241882,0.8812500238418579
1,80,0.1712251901626587,,,,,
1,81,0.20923730731010437,,,,,
1,82,0.1766434609889984,,,,,
1,83,0.16523130238056183,,,,,
1,84,0.17773668467998505,,,,,
1,85,0.19893331825733185,,,,,
1,86,0.24274957180023193,,,,,
1,87,0.22760742902755737,,,,,
1,88,0.17924293875694275,,,,,
1,89,0.19954010844230652,,,,,
