csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
,165,,0.053363919258117676,,,,
,166,,0.06619878113269806,,,,
,167,,0.05645378679037094,,,,
,168,,0.10466289520263672,,,,
,169,,0.14967666566371918,,,,
,170,,0.17050613462924957,,,,
,171,,0.02496137097477913,,,,
,172,,0.11778798699378967,,,,
,173,,0.1285131722688675,,,,
,174,,0.09822926670312881,,,,
,175,,0.12400272488594055,,,,
,176,,0.059239499270915985,,,,
,177,,0.030360832810401917,,,,
,178,,0.04563942551612854,,,,
,179,,0.06815455853939056,,,,
8,179,,,0.07870708405971527,,,
8,179,,,,0.96875,0.13223406672477722,0.6937500238418579
9,180,0.20040670037269592,,,,,
9,181,0.1359822005033493,,,,,
9,182,0.24087059497833252,,,,,
9,183,0.07210971415042877,,,,,
9,184,0.03824935853481293,,,,,
9,185,0.22302557528018951,,,,,
9,186,0.18090231716632843,,,,,
9,187,0.1809592843055725,,,,,
9,188,0.16121481359004974,,,,,
9,189,0.05925728380680084,,,,,
9,190,0.2560814619064331,,,,,
9,191,0.02274923026561737,,,,,
9,192,0.18455098569393158,,,,,
9,193,0.05354098230600357,,,,,
9,194,0.22137410938739777,,,,,
9,195,0.2509284019470215,,,,,
9,196,0.2425663024187088,,,,,
9,197,0.19255872070789337,,,,,
9,198,0.076766237616539,,,,,
9,199,0.04625445604324341,,,,,
,180,,0.11972274631261826,,,,
,181,,0.010767687112092972,,,,
,182,,0.07459136098623276,,,,
,183,,0.010630620643496513,,,,
,184,,0.0405348502099514,,,,
,185,,0.06160544231534004,,,,
,186,,0.05895838513970375,,,,
,187,,0.04995604231953621,,,,
,188,,0.09305424988269806,,,,
,189,,0.14000900089740753,,,,
,190,,0.15307505428791046,,,,
,191,,0.025804553180933,,,,
,192,,0.10358396172523499,,,,
,193,,0.11331874132156372,,,,
,194,,0.08624057471752167,,,,
,195,,0.11135856807231903,,,,
,196,,0.05419256165623665,,,,
,197,,0.025563061237335205,,,,
,198,,0.04239948093891144,,,,
,199,,0.06417898833751678,,,,
9,199,,,0.07197730243206024,,,
9,199,,,,0.9437500238418579,0.12211237102746964,0.7124999761581421
10,200,0.12581869959831238,,,,,
10,201,0.09366241842508316,,,,,
10,202,0.08929932862520218,,,,,
10,203,0.12823817133903503,,,,,
10,204,0.06595853716135025,,,,,
10,205,0.10444016754627228,,,,,
10,206,0.3239736557006836,,,,,
10,207,0.0997067242860794,,,,,
10,208,0.05834008380770683,,,,,
10,209,0.03765971213579178,,,,,
10,210,0.07278220355510712,,,,,
10,211,0.12838594615459442,,,,,
10,212,0.06798755377531052,,,,,
10,213,0.18625856935977936,,,,,
10,214,0.20787225663661957,,,,,
10,215,0.05092541128396988,,,,,
10,216,0.15572915971279144,,,,,
10,217,0.22036926448345184,,,,,
10,218,0.1310933232307434,,,,,
10,219,0.046473149210214615,,,,,
,200,,0.11193958669900894,,,,
,201,,0.005989967379719019,,,,
,202,,0.07267816364765167,,,,
,203,,0.010769447311758995,,,,
,204,,0.03588556498289108,,,,
,205,,0.0661405697464943,,,,
,206,,0.058951783925294876,,,,
,207,,0.04718884825706482,,,,
,208,,0.08950138837099075,,,,
,209,,0.14235331118106842,,,,
,210,,0.1419292539358139,,,,
,211,,0.021746771410107613,,,,
,212,,0.09510722756385803,,,,
,213,,0.10666061192750931,,,,
,214,,0.07436522841453552,,,,
,215,,0.1097165122628212,,,,
,216,,0.05375516414642334,,,,
,217,,0.02029181644320488,,,,
,218,,0.029578344896435738,,,,
,219,,0.06941623985767365,,,,
10,219,,,0.0681982934474945,,,
10,219,,,,0.9375,0.11146068572998047,0.706250011920929
11,220,0.1407732516527176,,,,,
11,221,0.14365242421627045,,,,,
11,222,0.16373474895954132,,,,,
11,223,0.05148933827877045,,,,,
11,224,0.1644250750541687,,,,,
11,225,0.053624242544174194,,,,,
11,226,0.08464586734771729,,,,,
11,227,0.13753312826156616,,,,,
11,228,0.16176152229309082,,,,,
11,229,0.28729525208473206,,,,,
11,230,0.13960574567317963,,,,,
11,231,0.11577492952346802,,,,,
11,232,0.10480187088251114,,,,,
11,233,0.07849550992250443,,,,,
11,234,0.11847822368144989,,,,,
11,235,0.10732512176036835,,,,,
11,236,0.033887166529893875,,,,,
11,237,0.03871860355138779,,,,,
11,238,0.20475365221500397,,,,,
11,239,0.09137468785047531,,,,,
,220,,0.11540613323450089,,,,
,221,,0.004390903282910585,,,,
,222,,0.0670137107372284,,,,
,223,,0.011365833692252636,,,,
,224,,0.03248491883277893,,,,
,225,,0.07483819872140884,,,,
,226,,0.05366034805774689,,,,
,227,,0.04350776970386505,,,,
,228,,0.07767409086227417,,,,
,229,,0.14200235903263092,,,,
,230,,0.1358034759759903,,,,
,231,,0.01537928357720375,,,,
,232,,0.08422719687223434,,,,
,233,,0.09750694781541824,,,,
,234,,0.06094013899564743,,,,
,235,,0.10018149763345718,,,,
,236,,0.053044915199279785,,,,
,237,,0.020411696285009384,,,,
,238,,0.04140353202819824,,,,
,239,,0.07364305853843689,,,,
11,239,,,0.06524430215358734,,,
11,239,,,,0.893750011920929,0.10092687606811523,0.7437499761581421
12,240,0.12223093956708908,,,,,
12,241,0.039009664207696915,,,,,
12,242,0.15634475648403168,,,,,
12,243,0.04207061231136322,,,,,
12,244,0.07602506130933762,,,,,
12,245,0.21784242987632751,,,,,
12,246,0.011253545060753822,,,,,
12,247,0.03908612206578255,,,,,
12,248,0.1240377128124237,,,,,
12,249,0.1706470400094986,,,,,
12,250,0.09401970356702805,,,,,
12,251,0.07232246547937393,,,,,
12,252,0.0326930470764637,,,,,
12,253,0.0303189679980278,,,,,
12,254,0.11669805645942688,,,,,
12,255,0.1818869411945343,,,,,
12,256,0.10668335109949112,,,,,
12,257,0.037707649171352386,,,,,
12,258,0.10708131641149521,,,,,
12,259,0.06985305994749069,,,,,
,240,,0.11120767891407013,,,,
,241,,0.0014628920471295714,,,,
,242,,0.05365994572639465,,,,
,243,,0.009408258832991123,,,,
,244,,0.031353749334812164,,,,
,245,,0.05236143618822098,,,,
,246,,0.048804063349962234,,,,
,247,,0.04395897686481476,,,,
,248,,0.07006612420082092,,,,
,249,,0.13687339425086975,,,,
,250,,0.11947482824325562,,,,
,251,,0.014732454903423786,,,,
,252,,0.07344768196344376,,,,
,253,,0.0895022377371788,,,,
,254,,0.054432161152362823,,,,
,255,,0.08569823205471039,,,,
,256,,0.04821696877479553,,,,
,257,,0.015928519889712334,,,,
,258,,0.030605202540755272,,,,
,259,,0.05262983590364456,,,,
12,259,,,0.057191234081983566,,,
12,259,,,,0.9125000238418579,0.09485231339931488,0.7250000238418579
13,260,0.2572133541107178,,,,,
13,261,0.010156203992664814,,,,,
13,262,0.12550030648708344,,,,,
13,263,0.2389427125453949,,,,,
13,264,0.18261754512786865,,,,,
13,265,0.015638744458556175,,,,,
13,266,0.04403810203075409,,,,,
13,267,0.0918499156832695,,,,,
13,268,0.1384761482477188,,,,,
13,269,0.08673536777496338,,,,,
