csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-accuracy/validator,csv-train_loss_epoch
0,4.121776580810547,0,,,,,
0,3.4077460765838623,1,,,,,
0,3.1416103839874268,2,,,,,
0,3.0644381046295166,3,,,,,
0,2.7384822368621826,4,,,,,
0,2.872154712677002,5,,,,,
0,2.655724287033081,6,,,,,
0,2.397970676422119,7,,,,,
0,2.2905118465423584,8,,,,,
0,2.2718505859375,9,,,,,
0,2.2560956478118896,10,,,,,
0,2.078683376312256,11,,,,,
0,1.9969769716262817,12,,,,,
0,1.9695378541946411,13,,,,,
0,1.9077759981155396,14,,,,,
0,1.851646900177002,15,,,,,
0,1.8620351552963257,16,,,,,
0,1.7996577024459839,17,,,,,
0,1.7250847816467285,18,,,,,
0,1.7248934507369995,19,,,,,
0,1.6252309083938599,20,,,,,
0,1.6385881900787354,21,,,,,
0,1.6285147666931152,22,,,,,
0,1.5386492013931274,23,,,,,
0,1.464975118637085,24,,,,,
0,1.4729350805282593,25,,,,,
0,1.662695050239563,26,,,,,
,,0,1.161786437034607,,,,
,,1,1.018847942352295,,,,
,,2,0.9836105108261108,,,,
,,3,1.1190769672393799,,,,
0,,26,,1.0618959665298462,,,
0,,26,,,0.01388888992369175,0.01388888992369175,2.191342353820801
1,1.4156709909439087,27,,,,,
1,1.3731424808502197,28,,,,,
1,1.5197207927703857,29,,,,,
1,1.3754723072052002,30,,,,,
1,1.411088466644287,31,,,,,
1,1.384635329246521,32,,,,,
1,1.3393430709838867,33,,,,,
1,1.2774608135223389,34,,,,,
1,1.1974906921386719,35,,,,,
1,1.3079770803451538,36,,,,,
1,1.362955927848816,37,,,,,
1,1.2414387464523315,38,,,,,
1,1.2344127893447876,39,,,,,
1,1.2819125652313232,40,,,,,
1,1.1894327402114868,41,,,,,
1,1.285197138786316,42,,,,,
1,1.3062362670898438,43,,,,,
1,1.1995595693588257,44,,,,,
1,1.1784403324127197,45,,,,,
1,1.3313432931900024,46,,,,,
1,1.2665382623672485,47,,,,,
1,1.1379168033599854,48,,,,,
1,1.1343168020248413,49,,,,,
1,1.1432726383209229,50,,,,,
1,1.0131475925445557,51,,,,,
1,1.1313132047653198,52,,,,,
1,1.070310115814209,53,,,,,
,,4,0.8983067870140076,,,,
,,5,0.7695082426071167,,,,
,,6,0.7118532657623291,,,,
,,7,0.9068983793258667,,,,
1,,53,,0.8058533668518066,,,
1,,53,,,0.0,0.0190972238779068,1.2633240222930908
2,1.0500059127807617,54,,,,,
2,1.0833927392959595,55,,,,,
2,1.027328372001648,56,,,,,
2,0.973210871219635,57,,,,,
2,1.0799140930175781,58,,,,,
2,1.1272010803222656,59,,,,,
2,1.1398831605911255,60,,,,,
2,0.9427951574325562,61,,,,,
2,0.937309980392456,62,,,,,
2,0.9413629174232483,63,,,,,
2,1.0213361978530884,64,,,,,
2,1.087141752243042,65,,,,,
2,1.1045609712600708,66,,,,,
2,0.9545107483863831,67,,,,,
