csv-train_loss_step,step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-accuracy/validator,csv-train_loss_epoch
3.6823158264160156,0,0,,,,,
3.3860068321228027,1,0,,,,,
3.064689874649048,2,0,,,,,
2.866793632507324,3,0,,,,,
2.684046506881714,4,0,,,,,
2.6820223331451416,5,0,,,,,
2.574960947036743,6,0,,,,,
2.517796277999878,7,0,,,,,
2.2608377933502197,8,0,,,,,
2.1027462482452393,9,0,,,,,
2.02685809135437,10,0,,,,,
2.107199192047119,11,0,,,,,
2.132899045944214,12,0,,,,,
1.9140223264694214,13,0,,,,,
1.8764187097549438,14,0,,,,,
1.743471384048462,15,0,,,,,
,0,,1.4030567407608032,,,,
,1,,1.4454662799835205,,,,
,15,0,,1.4242615699768066,,,
,15,0,,,0.0,0.0,2.476442813873291
1.8967416286468506,16,1,,,,,
1.7474675178527832,17,1,,,,,
1.6592085361480713,18,1,,,,,
1.5892112255096436,19,1,,,,,
1.5356427431106567,20,1,,,,,
1.5860337018966675,21,1,,,,,
1.5115498304367065,22,1,,,,,
1.5045101642608643,23,1,,,,,
1.510444164276123,24,1,,,,,
1.392666220664978,25,1,,,,,
1.371138095855713,26,1,,,,,
1.324820637702942,27,1,,,,,
1.3327951431274414,28,1,,,,,
1.3202869892120361,29,1,,,,,
1.3020727634429932,30,1,,,,,
1.2294964790344238,31,1,,,,,
,2,,0.9404083490371704,,,,
,3,,0.9981287717819214,,,,
,31,1,,0.9692685604095459,,,
,31,1,,,0.0,0.012500000186264515,1.4883801937103271
1.316032886505127,32,2,,,,,
1.263375163078308,33,2,,,,,
1.253519892692566,34,2,,,,,
1.2786555290222168,35,2,,,,,
1.2107259035110474,36,2,,,,,
1.2187432050704956,37,2,,,,,
1.128373622894287,38,2,,,,,
1.1277810335159302,39,2,,,,,
1.102520227432251,40,2,,,,,
1.2251286506652832,41,2,,,,,
1.126569390296936,42,2,,,,,
1.133757472038269,43,2,,,,,
1.0646069049835205,44,2,,,,,
0.999343752861023,45,2,,,,,
1.050337791442871,46,2,,,,,
1.1191426515579224,47,2,,,,,
,4,,0.6937480568885803,,,,
,5,,0.7653151750564575,,,,
,47,2,,0.7295316457748413,,,
,47,2,,,0.0,0.0625,1.163663387298584
0.9855570197105408,48,3,,,,,
0.9945889711380005,49,3,,,,,
1.0765494108200073,50,3,,,,,
1.0270965099334717,51,3,,,,,
1.0766264200210571,52,3,,,,,
0.9375792145729065,53,3,,,,,
0.9055355787277222,54,3,,,,,
0.953280508518219,55,3,,,,,
0.9554029107093811,56,3,,,,,
0.8973360061645508,57,3,,,,,
0.9261553883552551,58,3,,,,,
0.905424952507019,59,3,,,,,
0.9468340277671814,60,3,,,,,
0.8914570212364197,61,3,,,,,
0.8910887837409973,62,3,,,,,
0.9596899747848511,63,3,,,,,
,6,,0.5791164636611938,,,,
,7,,0.6393277645111084,,,,
,63,3,,0.6092221140861511,,,
,63,3,,,0.0,0.08750000596046448,0.9581376910209656
0.8442098498344421,64,4,,,,,
0.9288020730018616,65,4,,,,,
0.91227787733078,66,4,,,,,
0.8083065152168274,67,4,,,,,
0.8845974802970886,68,4,,,,,
0.7818660140037537,69,4,,,,,
0.7542424201965332,70,4,,,,,
0.7803977727890015,71,4,,,,,
0.8093838691711426,72,4,,,,,
0.7118323445320129,73,4,,,,,
0.7441030144691467,74,4,,,,,
0.7512522339820862,75,4,,,,,
0.6987025737762451,76,4,,,,,
0.805461049079895,77,4,,,,,
0.7679264545440674,78,4,,,,,
0.8156145215034485,79,4,,,,,
,8,,0.4573003053665161,,,,
,9,,0.5309388637542725,,,,
,79,4,,0.4941195845603943,,,
,79,4,,,0.0,0.05000000074505806,0.7999359965324402
0.7969329953193665,80,5,,,,,
0.6582748889923096,81,5,,,,,
0.6694958209991455,82,5,,,,,
0.7558897733688354,83,5,,,,,
0.6995178461074829,84,5,,,,,
0.6976566910743713,85,5,,,,,
0.5939463973045349,86,5,,,,,
0.6016129851341248,87,5,,,,,
0.6580554842948914,88,5,,,,,
0.5996072292327881,89,5,,,,,
0.5671045780181885,90,5,,,,,
0.6242159605026245,91,5,,,,,
0.5774356126785278,92,5,,,,,
0.48501911759376526,93,5,,,,,
0.6395689845085144,94,5,,,,,
0.6100468039512634,95,5,,,,,
,10,,0.321632981300354,,,,
,11,,0.39975133538246155,,,,
,95,5,,0.36069217324256897,,,
,95,5,,,0.25,0.4000000059604645,0.6396487951278687
0.482287734746933,96,6,,,,,
0.602780818939209,97,6,,,,,
0.5206145644187927,98,6,,,,,
0.5264317989349365,99,6,,,,,
0.5931925177574158,100,6,,,,,
0.4484354853630066,101,6,,,,,
0.4978862404823303,102,6,,,,,
0.45982813835144043,103,6,,,,,
0.5278953909873962,104,6,,,,,
0.518179714679718,105,6,,,,,
0.5113362669944763,106,6,,,,,
0.6044328212738037,107,6,,,,,
0.5411744117736816,108,6,,,,,
0.4531998336315155,109,6,,,,,
0.42272117733955383,110,6,,,,,
0.4556114971637726,111,6,,,,,
,12,,0.235748752951622,,,,
,13,,0.29561007022857666,,,,
,111,6,,0.26567941904067993,,,
