csv-train_loss_step,step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/none,csv-accuracy/micro
3.9451513290405273,0,0,,,,,
3.359135627746582,1,0,,,,,
3.048485040664673,2,0,,,,,
2.710310935974121,3,0,,,,,
2.666736125946045,4,0,,,,,
,0,,1.9794883728027344,,,,
,4,0,,1.9794883728027344,,,
,4,0,,,3.145963668823242,0.0,0.02500000037252903
2.6142518520355225,5,1,,,,,
2.4834189414978027,6,1,,,,,
2.328968048095703,7,1,,,,,
2.3643720149993896,8,1,,,,,
2.2178397178649902,9,1,,,,,
,1,,1.6754522323608398,,,,
,9,1,,1.6754519939422607,,,
,9,1,,,2.4017701148986816,0.0,0.0
2.058957099914551,10,2,,,,,
2.0281224250793457,11,2,,,,,
1.9408146142959595,12,2,,,,,
1.9195740222930908,13,2,,,,,
1.8797504901885986,14,2,,,,,
,2,,1.4352563619613647,,,,
,14,2,,1.4352564811706543,,,
,14,2,,,1.9654438495635986,0.0,0.0
1.7414159774780273,15,3,,,,,
1.7724255323410034,16,3,,,,,
1.6843485832214355,17,3,,,,,
1.654320478439331,18,3,,,,,
1.5664541721343994,19,3,,,,,
,3,,1.2040364742279053,,,,
,19,3,,1.2040363550186157,,,
,19,3,,,1.6837928295135498,0.0,0.0
1.5480397939682007,20,4,,,,,
1.4647409915924072,21,4,,,,,
1.38484787940979,22,4,,,,,
1.503715991973877,23,4,,,,,
1.3632322549819946,24,4,,,,,
,4,,1.0308055877685547,,,,
,24,4,,1.0308055877685547,,,
,24,4,,,1.4529154300689697,0.0,0.02500000037252903
1.354117751121521,25,5,,,,,
1.333074688911438,26,5,,,,,
1.313407063484192,27,5,,,,,
1.3025743961334229,28,5,,,,,
1.284205436706543,29,5,,,,,
,5,,0.9161750078201294,,,,
,29,5,,0.9161750078201294,,,
,29,5,,,1.3174759149551392,0.0,0.02500000037252903
1.2860082387924194,30,6,,,,,
1.2017316818237305,31,6,,,,,
1.204798936843872,32,6,,,,,
1.1546010971069336,33,6,,,,,
1.1604417562484741,34,6,,,,,
,6,,0.8031946420669556,,,,
,34,6,,0.8031946420669556,,,
,34,6,,,1.2015163898468018,0.0,0.15000000596046448
1.083554744720459,35,7,,,,,
1.1101248264312744,36,7,,,,,
1.1248725652694702,37,7,,,,,
1.111768364906311,38,7,,,,,
1.0641096830368042,39,7,,,,,
,7,,0.720289945602417,,,,
,39,7,,0.7202900052070618,,,
,39,7,,,1.0988860130310059,0.0,0.07500000298023224
1.087365984916687,40,8,,,,,
1.043887734413147,41,8,,,,,
0.9317370653152466,42,8,,,,,
0.9350443482398987,43,8,,,,,
0.9552532434463501,44,8,,,,,
,8,,0.6571341753005981,,,,
,44,8,,0.6571341753005981,,,
,44,8,,,0.99065762758255,0.0,0.15000000596046448
0.9135786294937134,45,9,,,,,
0.9225913286209106,46,9,,,,,
0.9009258151054382,47,9,,,,,
0.9248044490814209,48,9,,,,,
0.9033862352371216,49,9,,,,,
,9,,0.6135838031768799,,,,
,49,9,,0.6135838627815247,,,
,49,9,,,0.9130573272705078,0.0,0.05000000074505806
0.8423766493797302,50,10,,,,,
0.8242120742797852,51,10,,,,,
0.8961185812950134,52,10,,,,,
0.831272304058075,53,10,,,,,
0.8437511324882507,54,10,,,,,
,10,,0.5627653002738953,,,,
,54,10,,0.5627652406692505,,,
,54,10,,,0.8475461006164551,0.0,0.125
0.7966495156288147,55,11,,,,,
0.7737807035446167,56,11,,,,,
0.7440627813339233,57,11,,,,,
0.7837246656417847,58,11,,,,,
0.8412719964981079,59,11,,,,,
,11,,0.5236063003540039,,,,
,59,11,,0.5236062407493591,,,
,59,11,,,0.7878979444503784,0.0,0.17499999701976776
0.7802864909172058,60,12,,,,,
0.742668867111206,61,12,,,,,
