csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/exact,csv-accuracy/validator
0,0,3.71785306930542,,,,,
0,1,2.9600136280059814,,,,,
0,2,2.7985541820526123,,,,,
0,3,2.729334831237793,,,,,
0,4,2.2455227375030518,,,,,
0,5,2.3724865913391113,,,,,
0,6,2.2773046493530273,,,,,
0,7,2.0615105628967285,,,,,
0,8,2.214556932449341,,,,,
0,9,1.9881319999694824,,,,,
0,10,1.7175089120864868,,,,,
0,11,1.976432204246521,,,,,
0,12,1.8110767602920532,,,,,
0,13,1.8692094087600708,,,,,
0,14,1.7053200006484985,,,,,
0,15,1.4260022640228271,,,,,
0,16,1.5935851335525513,,,,,
0,17,1.3886617422103882,,,,,
0,18,1.567651629447937,,,,,
0,19,1.4356971979141235,,,,,
,0,,1.2498753070831299,,,,
,1,,1.074582576751709,,,,
,2,,1.097820520401001,,,,
,3,,1.2120007276535034,,,,
,4,,1.303777813911438,,,,
,5,,1.0405094623565674,,,,
,6,,1.12991201877594,,,,
,7,,1.029281497001648,,,,
,8,,1.1482254266738892,,,,
,9,,1.2313727140426636,,,,
,10,,1.2768189907073975,,,,
,11,,1.0146409273147583,,,,
,12,,1.1293096542358398,,,,
,13,,1.3448935747146606,,,,
,14,,1.1852816343307495,,,,
,15,,1.3638356924057007,,,,
,16,,1.2503366470336914,,,,
,17,,1.224709391593933,,,,
,18,,1.3203283548355103,,,,
,19,,1.0522929430007935,,,,
0,19,,,1.1839903593063354,,,
0,19,,,,2.083411931991577,0.0,0.14374999701976776
1,20,1.4384933710098267,,,,,
1,21,1.4614611864089966,,,,,
1,22,1.2663509845733643,,,,,
1,23,1.3380277156829834,,,,,
1,24,1.3501067161560059,,,,,
1,25,1.0903921127319336,,,,,
1,26,1.1796000003814697,,,,,
1,27,1.2713509798049927,,,,,
1,28,1.1083035469055176,,,,,
1,29,1.1171890497207642,,,,,
1,30,1.0197538137435913,,,,,
1,31,0.971251368522644,,,,,
1,32,0.9787582755088806,,,,,
1,33,1.0912930965423584,,,,,
1,34,1.0081764459609985,,,,,
1,35,0.8165110349655151,,,,,
1,36,0.7160851359367371,,,,,
1,37,1.102110505104065,,,,,
1,38,0.858262836933136,,,,,
1,39,0.7794170379638672,,,,,
,20,,0.39221668243408203,,,,
,21,,0.2176535725593567,,,,
,22,,0.3059563636779785,,,,
,23,,0.18179373443126678,,,,
,24,,0.3587215840816498,,,,
,25,,0.24668820202350616,,,,
,26,,0.25591713190078735,,,,
,27,,0.31799978017807007,,,,
,28,,0.343024343252182,,,,
,29,,0.4468711316585541,,,,
,30,,0.4445332884788513,,,,
,31,,0.291441947221756,,,,
,32,,0.4210129380226135,,,,
,33,,0.4590746760368347,,,,
,34,,0.4084104001522064,,,,
,35,,0.3968113958835602,,,,
,36,,0.35778579115867615,,,,
,37,,0.2736431956291199,,,,
,38,,0.3938623070716858,,,,
,39,,0.2634325623512268,,,,
1,39,,,0.3388425409793854,,,
1,39,,,,1.0792322158813477,0.13750000298023224,0.2562499940395355
2,40,0.9126787781715393,,,,,
2,41,0.6481736302375793,,,,,
2,42,0.7324389219284058,,,,,
2,43,0.7315393090248108,,,,,
2,44,0.856764554977417,,,,,
