csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-train_loss_epoch,csv-accuracy/validator
3.9201574325561523,0,0,,,,,
3.4622275829315186,0,1,,,,,
3.0647222995758057,0,2,,,,,
3.0109663009643555,0,3,,,,,
2.814743995666504,0,4,,,,,
2.7189648151397705,0,5,,,,,
2.4642562866210938,0,6,,,,,
2.3510324954986572,0,7,,,,,
2.3669345378875732,0,8,,,,,
2.251471996307373,0,9,,,,,
2.2287309169769287,0,10,,,,,
2.080749034881592,0,11,,,,,
2.1230151653289795,0,12,,,,,
2.0839555263519287,0,13,,,,,
1.9342010021209717,0,14,,,,,
1.9066731929779053,0,15,,,,,
1.8501852750778198,0,16,,,,,
1.8047993183135986,0,17,,,,,
1.694592833518982,0,18,,,,,
1.6900300979614258,0,19,,,,,
1.7509262561798096,0,20,,,,,
1.7538020610809326,0,21,,,,,
1.5942001342773438,0,22,,,,,
1.5804346799850464,0,23,,,,,
1.5290865898132324,0,24,,,,,
1.528486967086792,0,25,,,,,
1.5099387168884277,0,26,,,,,
,,0,1.1115220785140991,,,,
,,1,1.0974786281585693,,,,
,,2,1.087797999382019,,,,
,,3,1.2765306234359741,,,,
,0,26,,1.1186660528182983,,,
,0,26,,,0.0,2.187751293182373,0.0
1.4233242273330688,1,27,,,,,
1.4818434715270996,1,28,,,,,
1.4375401735305786,1,29,,,,,
1.3416932821273804,1,30,,,,,
1.3769760131835938,1,31,,,,,
1.3151133060455322,1,32,,,,,
1.3420745134353638,1,33,,,,,
1.387797474861145,1,34,,,,,
1.2661269903182983,1,35,,,,,
1.2844758033752441,1,36,,,,,
1.2387670278549194,1,37,,,,,
1.1964073181152344,1,38,,,,,
1.2664474248886108,1,39,,,,,
1.2299644947052002,1,40,,,,,
1.2182223796844482,1,41,,,,,
1.191325306892395,1,42,,,,,
1.2740585803985596,1,43,,,,,
1.2430981397628784,1,44,,,,,
1.2502403259277344,1,45,,,,,
1.098445177078247,1,46,,,,,
1.1059197187423706,1,47,,,,,
1.160804033279419,1,48,,,,,
1.1645249128341675,1,49,,,,,
1.0354830026626587,1,50,,,,,
1.0686314105987549,1,51,,,,,
1.138981819152832,1,52,,,,,
1.062256932258606,1,53,,,,,
,,4,0.7804092764854431,,,,
,,5,0.7780423164367676,,,,
,,6,0.8405101299285889,,,,
,,7,1.006842017173767,,,,
,1,53,,0.8226748704910278,,,
,1,53,,,0.0052083334885537624,1.244464635848999,0.010416666977107525
1.0127513408660889,2,54,,,,,
1.0791736841201782,2,55,,,,,
1.0378870964050293,2,56,,,,,
1.0354187488555908,2,57,,,,,
0.9787939786911011,2,58,,,,,
0.9963275194168091,2,59,,,,,
1.0773863792419434,2,60,,,,,
0.990626335144043,2,61,,,,,
0.955662727355957,2,62,,,,,
0.9490972757339478,2,63,,,,,
1.259376049041748,2,64,,,,,
0.9668188095092773,2,65,,,,,
1.004441499710083,2,66,,,,,
0.9841353893280029,2,67,,,,,
1.0069386959075928,2,68,,,,,
0.9491910338401794,2,69,,,,,
1.0745035409927368,2,70,,,,,
0.9904452562332153,2,71,,,,,
0.9711061716079712,2,72,,,,,
0.8005926609039307,2,73,,,,,
0.9683448076248169,2,74,,,,,
0.8769956231117249,2,75,,,,,
1.0542702674865723,2,76,,,,,
0.8373390436172485,2,77,,,,,
0.8448454737663269,2,78,,,,,
0.9258390069007874,2,79,,,,,
0.9021672010421753,2,80,,,,,
,,8,0.58391273021698,,,,
,,9,0.6182872653007507,,,,
,,10,0.668525218963623,,,,
,,11,0.8433480262756348,,,,
,2,80,,0.6479942798614502,,,
,2,80,,,0.010416666977107525,0.9826102256774902,0.0729166716337204
0.8487981557846069,3,81,,,,,
0.9397380948066711,3,82,,,,,
0.7992233037948608,3,83,,,,,
0.9074386954307556,3,84,,,,,
0.7758690714836121,3,85,,,,,
0.9909031391143799,3,86,,,,,
0.8017087578773499,3,87,,,,,
0.8947751522064209,3,88,,,,,
0.7446004748344421,3,89,,,,,
0.7827714085578918,3,90,,,,,
0.7324398159980774,3,91,,,,,
0.708950936794281,3,92,,,,,
0.900009036064148,3,93,,,,,
0.6939273476600647,3,94,,,,,
0.7419621348381042,3,95,,,,,
0.808946430683136,3,96,,,,,
0.7135699391365051,3,97,,,,,
0.7157672643661499,3,98,,,,,
0.6836563944816589,3,99,,,,,
0.6696857213973999,3,100,,,,,
0.707388162612915,3,101,,,,,
0.5943703055381775,3,102,,,,,
0.786899209022522,3,103,,,,,
0.7483800053596497,3,104,,,,,
0.6124895811080933,3,105,,,,,
0.7232003808021545,3,106,,,,,
0.5699841976165771,3,107,,,,,
,,12,0.2838287353515625,,,,
,,13,0.33622363209724426,,,,
,,14,0.4185188114643097,,,,
,,15,0.5838195085525513,,,,
,3,107,,0.37259364128112793,,,
,3,107,,,0.2569444477558136,0.7628685832023621,0.5868055820465088
0.7106418609619141,4,108,,,,,
0.7341009974479675,4,109,,,,,
0.6275539398193359,4,110,,,,,
0.4717487394809723,4,111,,,,,
0.6640612483024597,4,112,,,,,
0.60328209400177,4,113,,,,,
0.569020688533783,4,114,,,,,
0.6429418921470642,4,115,,,,,
0.5844361782073975,4,116,,,,,
0.5531569719314575,4,117,,,,,
0.49062326550483704,4,118,,,,,
0.4134659767150879,4,119,,,,,
0.5990774035453796,4,120,,,,,
0.6297573447227478,4,121,,,,,
0.5125102400779724,4,122,,,,,
0.5137945413589478,4,123,,,,,
0.47842055559158325,4,124,,,,,
0.5589472651481628,4,125,,,,,
0.5039865970611572,4,126,,,,,
0.44376498460769653,4,127,,,,,
0.5710422992706299,4,128,,,,,
0.39153486490249634,4,129,,,,,
0.3642411530017853,4,130,,,,,
0.47171708941459656,4,131,,,,,
0.3808639645576477,4,132,,,,,
0.38777458667755127,4,133,,,,,
0.41200482845306396,4,134,,,,,
,,16,0.15258847177028656,,,,
,,17,0.18866120278835297,,,,
,,18,0.28795126080513,,,,
,,19,0.43068209290504456,,,,
,4,134,,0.2342834621667862,,,
,4,134,,,0.3680555522441864,0.5290545225143433,0.7500000596046448
0.5789785385131836,5,135,,,,,
0.4805378317832947,5,136,,,,,
0.35245683789253235,5,137,,,,,
0.5081482529640198,5,138,,,,,
0.41990771889686584,5,139,,,,,
0.37552255392074585,5,140,,,,,
0.3219534456729889,5,141,,,,,
0.48785245418548584,5,142,,,,,
0.41122308373451233,5,143,,,,,
0.5003302097320557,5,144,,,,,
0.4736056923866272,5,145,,,,,
0.3345322906970978,5,146,,,,,
0.33739930391311646,5,147,,,,,
0.35222411155700684,5,148,,,,,
0.6364619731903076,5,149,,,,,
0.366003155708313,5,150,,,,,
0.32931363582611084,5,151,,,,,
0.2747763395309448,5,152,,,,,
0.29723718762397766,5,153,,,,,
0.3531143069267273,5,154,,,,,
0.30489885807037354,5,155,,,,,
0.2353896200656891,5,156,,,,,
0.30008983612060547,5,157,,,,,
