csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-accuracy/validator,csv-train_loss_epoch
0.0655638724565506,40,122,,,,,
,,40,0.032700613141059875,,,,
,40,122,,0.032700613141059875,,,
,40,122,,,0.7499999403953552,0.0,0.08629204332828522
0.0754636898636818,41,123,,,,,
0.07425324618816376,41,124,,,,,
0.08574479073286057,41,125,,,,,
,,41,0.03137294203042984,,,,
,41,125,,0.03137294203042984,,,
,41,125,,,0.7083333134651184,0.0,0.07703573256731033
0.06242706626653671,42,126,,,,,
0.08767321705818176,42,127,,,,,
0.07699780911207199,42,128,,,,,
,,42,0.030770083889365196,,,,
,42,128,,0.030770083889365196,,,
,42,128,,,0.7083333134651184,0.0,0.07543967664241791
0.08505450189113617,43,129,,,,,
0.08135749399662018,43,130,,,,,
0.039398226886987686,43,131,,,,,
,,43,0.030716432258486748,,,,
,43,131,,0.030716432258486748,,,
,43,131,,,0.7083333134651184,0.0,0.07444443553686142
0.07095497846603394,44,132,,,,,
0.09354723244905472,44,133,,,,,
0.04879662021994591,44,134,,,,,
,,44,0.030056647956371307,,,,
,44,134,,0.030056647956371307,,,
,44,134,,,0.7916666269302368,0.0,0.07556021213531494
0.06615681946277618,45,135,,,,,
0.04822017624974251,45,136,,,,,
0.0647362694144249,45,137,,,,,
,,45,0.028811845928430557,,,,
,45,137,,0.028811844065785408,,,
,45,137,,,0.8333333134651184,0.0,0.05869805067777634
0.05092424154281616,46,138,,,,,
0.07535859197378159,46,139,,,,,
0.07560937851667404,46,140,,,,,
,,46,0.026973657310009003,,,,
,46,140,,0.026973657310009003,,,
,46,140,,,0.8333333134651184,0.0,0.06563501060009003
0.07821352779865265,47,141,,,,,
0.05651402473449707,47,142,,,,,
0.04643616825342178,47,143,,,,,
,,47,0.025745529681444168,,,,
,47,143,,0.025745531544089317,,,
,47,143,,,0.7916666269302368,0.0,0.06317825615406036
0.06517229974269867,48,144,,,,,
0.05110573768615723,48,145,,,,,
0.07070736587047577,48,146,,,,,
,,48,0.026161815971136093,,,,
