csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
0,0,3.866769313812256,,,,,
0,1,3.9492106437683105,,,,,
0,2,3.8031716346740723,,,,,
0,3,3.9759788513183594,,,,,
0,4,3.6131715774536133,,,,,
0,5,4.073997497558594,,,,,
0,6,3.8046462535858154,,,,,
0,7,3.5304512977600098,,,,,
0,8,3.937126636505127,,,,,
0,9,4.095399856567383,,,,,
0,10,4.0915679931640625,,,,,
0,11,3.5871546268463135,,,,,
0,12,3.5990002155303955,,,,,
0,13,4.1156182289123535,,,,,
0,14,3.9409170150756836,,,,,
0,15,3.88167142868042,,,,,
0,16,3.860935688018799,,,,,
0,17,4.187860012054443,,,,,
0,18,4.29793643951416,,,,,
0,19,3.60923171043396,,,,,
0,20,4.043025016784668,,,,,
0,21,4.149796485900879,,,,,
0,22,3.6789841651916504,,,,,
0,23,3.704643487930298,,,,,
0,24,3.7200608253479004,,,,,
0,25,3.632481098175049,,,,,
0,26,3.597984790802002,,,,,
0,27,3.947101354598999,,,,,
0,28,4.186394691467285,,,,,
0,29,4.1387176513671875,,,,,
0,30,3.594133138656616,,,,,
0,31,3.728243112564087,,,,,
0,32,4.219352722167969,,,,,
0,33,4.063717365264893,,,,,
0,34,3.81978702545166,,,,,
0,35,3.432995319366455,,,,,
0,36,3.8497867584228516,,,,,
0,37,3.695195198059082,,,,,
0,38,3.935333251953125,,,,,
0,39,3.446592092514038,,,,,
0,40,3.817323923110962,,,,,
0,41,3.857853889465332,,,,,
0,42,3.6484055519104004,,,,,
0,43,3.374629497528076,,,,,
0,44,3.6434109210968018,,,,,
0,45,3.7804641723632812,,,,,
0,46,3.5579771995544434,,,,,
0,47,3.915888786315918,,,,,
0,48,3.609867811203003,,,,,
0,49,3.6026663780212402,,,,,
0,50,3.7991418838500977,,,,,
0,51,3.6439809799194336,,,,,
0,52,3.866454601287842,,,,,
0,53,3.4854209423065186,,,,,
0,54,3.7551043033599854,,,,,
0,55,3.537374258041382,,,,,
0,56,3.8427796363830566,,,,,
0,57,3.683349847793579,,,,,
0,58,3.406986713409424,,,,,
0,59,3.72579026222229,,,,,
0,60,3.953439712524414,,,,,
0,61,3.872199773788452,,,,,
0,62,3.5530879497528076,,,,,
0,63,3.6598896980285645,,,,,
0,64,3.483543634414673,,,,,
0,65,3.892861843109131,,,,,
0,66,3.772261142730713,,,,,
0,67,3.936645984649658,,,,,
0,68,3.8952207565307617,,,,,
0,69,3.513896942138672,,,,,
0,70,3.545175075531006,,,,,
0,71,4.006845474243164,,,,,
0,72,3.7088067531585693,,,,,
0,73,3.7053396701812744,,,,,
0,74,3.471928596496582,,,,,
0,75,3.4872701168060303,,,,,
0,76,3.42305850982666,,,,,
0,77,3.4251623153686523,,,,,
0,78,4.067147254943848,,,,,
0,79,3.7750067710876465,,,,,
,0,,2.5638184547424316,,,,
,1,,2.8672497272491455,,,,
